Time,Healthy,Undetectable,Detectable
0,97,3,0
1,97,3,0
2,97,3,0
3,97,3,0
4,97,3,0
5,97,3,0
6,97,3,0
7,97,3,0
8,97,3,0
9,97,3,0
10,97,3,0
11,97,3,0
12,97,3,0
13,97,3,0
14,96,4,0
15,96,4,0
16,96,4,0
17,96,4,0
18,96,4,0
19,96,4,0
20,96,4,0
21,96,4,0
22,96,4,0
23,96,4,0
24,96,4,0
25,96,4,0
26,96,4,0
27,96,4,0
28,96,4,0
29,96,4,0
30,96,4,0
31,96,4,0
32,96,4,0
33,96,4,0
34,96,4,0
35,96,4,0
36,96,4,0
37,96,4,0
38,95,5,0
39,95,5,0
40,95,5,0
41,95,5,0
42,95,5,0
43,95,5,0
44,95,5,0
45,95,5,0
46,95,5,0
47,95,5,0
48,95,5,0
49,95,5,0
50,94,6,0
51,94,6,0
52,94,6,0
53,94,6,0
54,94,6,0
55,94,6,0
56,94,6,0
57,94,6,0
58,94,6,0
59,94,6,0
60,94,6,0
61,94,6,0
62,94,6,0
63,94,6,0
64,94,6,0
65,94,6,0
66,94,6,0
67,94,6,0
68,93,7,0
69,92,7,1
70,92,7,1
71,92,7,1
72,92,7,1
73,92,7,1
74,91,8,1
75,91,8,1
76,91,8,1
77,90,9,1
78,90,8,2
79,90,8,2
80,90,8,2
81,90,8,2
82,90,8,2
83,90,8,2
84,90,7,3
85,90,7,3
86,90,7,3
87,90,7,3
88,90,7,3
89,90,7,3
90,90,7,3
91,90,7,3
92,90,7,3
93,90,7,3
94,90,7,3
95,90,7,3
96,90,7,3
97,90,7,3
98,90,7,3
99,90,7,3
100,90,7,3
101,90,7,3
102,90,7,3
103,90,7,3
104,90,7,3
105,89,8,3
106,89,7,4
107,89,7,4
108,89,7,4
109,88,8,4
110,88,8,4
111,88,8,4
112,88,8,4
113,88,8,4
114,88,8,4
115,88,8,4
116,88,7,5
117,87,8,5
118,87,8,5
119,87,8,5
120,87,8,5
121,87,8,5
122,86,9,5
123,86,9,5
124,86,9,5
125,86,9,5
126,86,9,5
127,86,9,5
128,85,10,5
129,85,10,5
130,85,10,5
131,85,10,5
132,85,10,5
133,85,10,5
134,84,11,5
135,84,11,5
136,84,11,5
137,84,11,5
138,84,10,6
139,84,10,6
140,84,10,6
141,84,10,6
142,84,10,6
143,84,10,6
144,84,10,6
145,84,10,6
146,84,10,6
147,84,10,6
148,84,10,6
149,84,10,6
150,84,10,6
151,84,10,6
152,84,10,6
153,84,10,6
154,84,10,6
155,84,10,6
156,84,10,6
157,83,11,6
158,83,11,6
159,83,11,6
160,83,11,6
161,83,11,6
162,83,11,6
163,83,11,6
164,83,11,6
165,82,12,6
166,82,12,6
167,82,12,6
168,82,12,6
169,82,12,6
170,82,12,6
171,82,12,6
172,82,12,6
173,82,12,6
174,82,12,6
175,82,12,6
176,82,12,6
177,82,12,6
178,82,12,6
179,81,13,6
180,81,13,6
181,81,13,6
182,81,13,6
183,81,13,6
184,81,13,6
185,81,13,6
186,81,13,6
187,81,13,6
188,80,14,6
189,79,15,6
190,79,15,6
191,79,15,6
192,79,14,7
193,79,14,7
194,79,14,7
195,79,14,7
196,79,14,7
197,79,14,7
198,79,14,7
199,79,14,7
200,79,14,7
201,79,14,7
202,79,14,7
203,79,14,7
204,78,15,7
205,78,15,7
206,77,16,7
207,76,17,7
208,76,17,7
209,76,17,7
210,76,17,7
211,76,17,7
212,76,17,7
213,76,17,7
214,76,17,7
215,76,17,7
216,76,17,7
217,76,17,7
218,76,17,7
219,76,17,7
220,76,17,7
221,75,18,7
222,75,18,7
223,75,18,7
224,75,18,7
225,75,18,7
226,75,18,7
227,75,18,7
228,75,18,7
229,75,18,7
230,75,18,7
231,75,18,7
232,74,19,7
233,74,19,7
234,74,19,7
235,74,19,7
236,74,19,7
237,74,19,7
238,74,19,7
239,74,19,7
240,74,19,7
241,74,19,7
242,74,19,7
243,74,19,7
244,74,19,7
245,74,19,7
246,74,19,7
247,74,19,7
248,74,19,7
249,74,19,7
250,74,19,7
251,74,19,7
252,74,19,7
253,74,18,8
254,74,18,8
255,74,18,8
256,74,18,8
257,74,18,8
258,74,18,8
259,74,18,8
260,73,19,8
261,73,19,8
262,73,19,8
263,73,19,8
264,73,19,8
265,73,19,8
266,73,19,8
267,73,19,8
268,73,19,8
269,73,19,8
270,73,19,8
271,73,19,8
272,73,19,8
273,73,19,8
274,73,19,8
275,73,19,8
276,73,19,8
277,71,21,8
278,71,21,8
279,71,21,8
280,71,21,8
281,71,21,8
282,71,21,8
283,71,21,8
284,71,21,8
285,71,21,8
286,70,22,8
287,69,23,8
288,68,24,8
289,68,24,8
290,68,24,8
291,68,24,8
292,68,24,8
293,68,24,8
294,67,25,8
295,67,25,8
296,67,25,8
297,67,25,8
298,67,25,8
299,67,25,8
300,67,24,9
301,67,24,9
302,67,24,9
303,67,24,9
304,67,24,9
305,66,25,9
306,66,25,9
307,66,25,9
308,66,25,9
309,66,25,9
310,66,25,9
311,66,25,9
312,66,25,9
313,66,25,9
314,66,25,9
315,66,25,9
316,66,25,9
317,66,25,9
318,66,25,9
319,66,25,9
320,66,25,9
321,66,25,9
322,66,25,9
323,66,25,9
324,66,25,9
325,66,25,9
326,66,25,9
327,66,25,9
328,66,25,9
329,66,25,9
330,66,25,9
331,66,25,9
332,66,25,9
333,66,25,9
334,66,25,9
335,66,25,9
336,66,25,9
337,66,25,9
338,66,25,9
339,65,26,9
340,65,26,9
341,65,26,9
342,65,26,9
343,65,26,9
344,65,25,10
345,64,26,10
346,64,26,10
347,64,26,10
348,64,26,10
349,64,26,10
350,64,26,10
351,64,26,10
352,64,26,10
353,64,26,10
354,64,26,10
355,64,26,10
356,64,26,10
357,64,26,10
358,64,26,10
359,63,27,10
360,60,30,10
361,60,30,10
362,60,30,10
363,60,30,10
364,60,30,10
365,60,30,10
366,60,30,10
367,60,30,10
368,60,30,10
369,60,30,10
370,60,30,10
371,60,30,10
372,59,31,10
373,59,31,10
374,59,31,10
375,59,31,10
376,58,32,10
377,58,32,10
378,58,32,10
379,58,32,10
380,58,32,10
381,58,32,10
382,58,32,10
383,58,32,10
384,58,31,11
385,58,31,11
386,58,31,11
387,58,31,11
388,58,30,12
389,57,31,12
390,57,30,13
391,57,30,13
392,56,31,13
393,56,31,13
394,56,31,13
395,56,31,13
396,56,29,15
397,56,29,15
398,56,29,15
399,56,29,15
400,56,29,15
401,56,29,15
402,56,29,15
403,56,29,15
404,56,29,15
405,56,29,15
406,56,29,15
407,56,28,16
408,56,28,16
409,56,28,16
410,56,28,16
411,56,28,16
412,56,28,16
413,56,27,17
414,56,27,17
415,56,27,17
416,56,27,17
417,56,27,17
418,56,27,17
419,56,27,17
420,56,27,17
421,56,27,17
422,56,27,17
