Time,Healthy,Undetectable,Detectable
0,100,0,0
1,100,0,0
2,100,0,0
3,100,0,0
4,100,0,0
5,100,0,0
6,100,0,0
7,99,1,0
8,99,1,0
9,99,1,0
10,99,1,0
11,98,2,0
12,98,2,0
13,98,2,0
14,98,2,0
15,98,2,0
16,98,2,0
17,98,2,0
18,98,1,1
19,97,2,1
20,97,2,1
21,97,2,1
22,97,2,1
23,97,2,1
24,97,2,1
25,97,2,1
26,97,2,1
27,97,2,1
28,97,2,1
29,97,2,1
30,97,2,1
31,97,1,2
32,97,1,2
33,97,1,2
34,97,1,2
35,97,1,2
36,97,1,2
37,96,2,2
38,96,2,2
39,96,2,2
40,96,2,2
41,96,2,2
42,96,2,2
43,96,2,2
44,96,2,2
45,96,2,2
46,95,3,2
47,95,3,2
48,95,3,2
49,95,3,2
50,95,3,2
51,95,3,2
52,95,2,3
53,94,3,3
54,94,3,3
55,94,3,3
56,94,3,3
57,94,3,3
58,94,3,3
59,93,4,3
60,93,3,4
61,93,3,4
62,93,3,4
63,93,3,4
64,93,3,4
65,93,3,4
66,93,3,4
67,93,3,4
68,93,3,4
69,92,4,4
70,92,4,4
71,91,5,4
72,91,5,4
73,91,5,4
74,91,5,4
75,91,5,4
76,91,5,4
77,91,5,4
78,91,5,4
79,91,5,4
80,91,5,4
81,91,5,4
82,91,5,4
83,91,5,4
84,91,5,4
85,90,6,4
86,90,6,4
87,90,6,4
88,90,6,4
89,90,5,5
90,90,5,5
91,88,7,5
92,87,8,5
93,86,9,5
94,86,9,5
95,86,9,5
96,85,10,5
97,85,10,5
98,85,9,6
99,84,10,6
100,84,10,6
101,84,10,6
102,84,10,6
103,84,10,6
104,84,9,7
105,84,9,7
106,84,9,7
107,84,9,7
108,84,9,7
109,83,10,7
110,83,10,7
111,83,10,7
112,83,10,7
113,83,10,7
114,83,10,7
115,83,10,7
116,83,10,7
117,83,9,8
118,82,10,8
119,82,10,8
120,82,10,8
121,82,10,8
122,81,11,8
123,81,11,8
124,81,11,8
125,81,11,8
126,81,11,8
127,81,10,9
128,81,10,9
129,81,10,9
130,81,10,9
131,81,10,9
132,81,10,9
133,81,9,10
134,81,9,10
135,81,9,10
136,81,9,10
137,80,10,10
138,80,10,10
139,80,10,10
140,80,10,10
141,80,10,10
142,80,10,10
143,80,10,10
144,80,10,10
145,80,10,10
146,79,10,11
147,79,10,11
148,79,10,11
149,79,10,11
150,79,10,11
151,79,10,11
152,79,10,11
153,78,11,11
154,78,10,12
155,78,10,12
156,78,9,13
157,78,8,14
158,78,8,14
159,78,8,14
160,77,9,14
161,77,8,15
162,77,8,15
163,77,8,15
164,77,8,15
165,77,8,15
166,77,8,15
167,77,8,15
168,77,6,17
169,76,7,17
170,76,5,19
171,76,5,19
172,74,7,19
173,74,7,19
174,74,7,19
175,74,5,21
176,74,4,22
177,74,4,22
178,74,4,22
179,73,5,22
180,73,4,23
181,73,4,23
182,72,5,23
183,72,5,23
184,72,5,23
185,71,6,23
186,71,6,23
187,71,5,24
188,71,4,25
189,71,4,25
190,71,4,25
191,71,4,25
192,71,4,25
193,71,4,25
194,71,4,25
195,71,4,25
196,71,4,25
197,71,4,25
198,71,4,25
199,71,4,25
200,71,4,25
201,71,4,25
202,71,4,25
203,71,4,25
204,71,4,25
205,71,4,25
206,71,4,25
207,70,5,25
208,70,5,25
209,70,5,25
210,70,5,25
211,70,5,25
212,70,5,25
213,69,6,25
214,67,8,25
215,66,9,25
216,66,9,25
217,65,10,25
218,64,11,25
219,64,11,25
220,64,11,25
221,63,12,25
222,63,12,25
223,63,12,25
224,63,12,25
225,63,12,25
226,63,12,25
227,63,12,25
228,63,12,25
229,63,12,25
230,63,12,25
231,62,13,25
232,62,13,25
233,62,13,25
234,62,13,25
235,62,13,25
236,61,14,25
237,60,13,27
238,60,13,27
239,60,13,27
240,60,12,28
241,60,11,29
242,60,11,29
243,60,10,30
244,60,10,30
245,60,10,30
246,59,11,30
247,59,11,30
248,59,11,30
249,59,11,30
250,59,11,30
251,59,11,30
252,59,10,31
253,59,10,31
254,59,10,31
255,59,10,31
256,59,9,32
257,59,9,32
258,59,9,32
259,59,7,34
260,59,7,34
261,59,7,34
262,59,7,34
263,59,7,34
264,59,7,34
265,59,6,35
266,59,6,35
267,59,6,35
268,59,6,35
269,58,7,35
270,57,8,35
271,57,8,35
272,57,8,35
273,57,8,35
274,57,8,35
275,57,8,35
276,57,8,35
277,57,8,35
278,57,8,35
279,57,8,35
280,57,8,35
281,57,8,35
282,57,8,35
283,57,8,35
284,57,8,35
285,57,8,35
286,57,6,37
287,57,6,37
288,57,5,38
289,57,5,38
290,57,5,38
291,57,5,38
292,57,5,38
293,56,6,38
294,56,6,38
295,56,6,38
296,55,7,38
297,55,7,38
298,55,7,38
299,55,7,38
300,55,7,38
301,55,7,38
302,55,7,38
303,55,5,40
304,55,5,40
305,55,5,40
306,55,5,40
307,54,6,40
308,54,6,40
309,54,6,40
310,54,6,40
311,54,6,40
312,53,7,40
313,53,7,40
314,53,7,40
315,53,7,40
316,53,7,40
317,53,7,40
318,53,7,40
319,53,7,40
320,53,7,40
321,53,7,40
322,52,8,40
323,52,7,41
324,52,7,41
325,52,6,42
326,52,6,42
327,52,6,42
328,52,6,42
329,52,6,42
330,52,6,42
331,52,6,42
332,52,6,42
333,52,6,42
334,52,6,42
335,52,6,42
336,51,7,42
337,51,7,42
338,51,7,42
339,51,7,42
340,51,7,42
341,50,8,42
342,50,8,42
343,50,8,42
344,50,7,43
345,49,8,43
346,49,8,43
347,49,8,43
348,49,8,43
349,49,8,43
350,49,8,43
351,49,8,43
352,49,8,43
353,49,8,43
354,48,9,43
355,48,9,43
356,48,9,43
357,48,9,43
358,48,9,43
359,48,8,44
360,48,7,45
361,48,7,45
362,47,8,45
363,46,9,45
364,46,8,46
365,46,8,46
366,46,8,46
367,46,8,46
368,46,8,46
369,46,7,47
370,46,7,47
371,46,7,47
372,46,7,47
373,46,7,47
374,46,7,47
375,46,7,47
376,46,7,47
377,46,7,47
378,46,7,47
379,46,7,47
380,46,7,47
381,46,7,47
382,46,7,47
383,46,7,47
384,46,7,47
385,46,7,47
386,46,7,47
387,46,7,47
388,46,7,47
389,46,7,47
390,46,7,47
391,46,7,47
392,46,7,47
393,46,7,47
394,46,6,48
395,46,6,48
396,46,6,48
397,46,6,48
398,46,6,48
399,46,6,48
400,43,9,48
401,43,9,48
402,43,9,48
403,43,9,48
404,43,9,48
405,43,9,48
406,43,9,48
407,43,9,48
408,42,10,48
409,42,10,48
410,42,9,49
411,42,9,49
412,41,10,49
413,40,11,49
