Radius,Expected Disease Prevalence,Standard Error
0.0,0.9560000000000001,0.006488930513112312
0.05,0.991,0.008774751296988422
0.1,1.057,0.012486253341174845
0.15,1.168,0.018871461147033638
0.2,1.277,0.022062578779462747
0.25,1.467,0.030526098709137403
0.3,1.7000000000000002,0.038568087026711606
0.35,1.838,0.04337791134782771
0.4,2.138,0.05420238777858408
0.45,2.34,0.06148321586335575
0.5,2.549,0.06720219501177027
0.55,2.683,0.07367442869883689
0.6,2.794,0.07880206192479991
0.65,3.2439999999999998,0.08961294056161756
0.7,3.479,0.09667936622102981
0.75,3.492,0.09829339273877975
0.8,3.737,0.10823843975224329
0.85,3.819,0.1121732618447908
0.9,3.752,0.10116695444857476
0.95,3.9859999999999998,0.10779350728545761
1.0,4.184,0.11727686176053655
1.05,4.213,0.11831155901094365
1.1,4.099,0.11606317959456393
1.15,4.2860000000000005,0.11883744578582965
1.2,4.295999999999999,0.11663618430658645
1.25,3.923,0.10941227721969778
1.3,4.267,0.11746280368695444
1.35,3.991,0.10988630264095703
1.4,4.123,0.11622983162725481
