time,state2Mean,state2lower,state2upper
0,1,1,1
0.005,1.04,0.844041,1.23596
0.01,1.05,0.832055,1.26794
0.015,1.1,0.8,1.4
0.02,1.13,0.793697,1.4663
0.025,1.16,0.742388,1.57761
0.03,1.19,0.686115,1.69388
0.035,1.22,0.661789,1.77821
0.04,1.24,0.65485,1.82515
0.045,1.28,0.646281,1.91372
0.05,1.36,0.674143,2.04586
0.055,1.38,0.676011,2.08399
0.06,1.43,0.639367,2.22063
0.065,1.5,0.6456,2.3544
0.07,1.53,0.641687,2.41831
0.075,1.57,0.629202,2.5108
0.08,1.6,0.640834,2.55917
0.085,1.62,0.66313,2.57687
0.09,1.69,0.683074,2.69693
0.095,1.72,0.68966,2.75034
0.1,1.76,0.627569,2.89243
0.105,1.85,0.630369,3.06963
0.11,1.91,0.620853,3.19915
0.115,1.96,0.618956,3.30104
0.12,1.97,0.624972,3.31503
0.125,2.04,0.591414,3.48859
0.13,2.11,0.4982,3.7218
0.135,2.16,0.530767,3.78923
0.14,2.26,0.582979,3.93702
0.145,2.27,0.591578,3.94842
0.15,2.32,0.565691,4.07431
0.155,2.4,0.556091,4.24391
0.16,2.44,0.599783,4.28022
0.165,2.45,0.598649,4.30135
0.17,2.5,0.573864,4.42614
0.175,2.55,0.614154,4.48585
0.18,2.59,0.614677,4.56532
0.185,2.71,0.664053,4.75595
0.19,2.83,0.713139,4.94686
0.195,2.94,0.754502,5.1255
0.2,3.03,0.708556,5.35144
0.205,3.13,0.694204,5.5658
0.21,3.21,0.671122,5.74888
0.215,3.33,0.706815,5.95319
0.22,3.45,0.540103,6.3599
0.225,3.52,0.585788,6.45421
0.23,3.59,0.616467,6.56353
0.235,3.71,0.662723,6.75728
0.24,3.83,0.724988,6.93501
0.245,3.97,0.771704,7.1683
0.25,4.17,0.746391,7.59361
0.255,4.22,0.791939,7.64806
0.26,4.27,0.858681,7.68132
0.265,4.41,0.84042,7.97958
0.27,4.54,0.889192,8.19081
0.275,4.71,0.849184,8.57082
0.28,4.83,0.936274,8.72373
0.285,5,0.918334,9.08167
0.29,5.16,0.979761,9.34024
0.295,5.25,0.999412,9.50059
0.3,5.4,1.01366,9.78634
0.305,5.53,0.992479,10.0675
0.31,5.67,0.93702,10.403
0.315,5.89,1.02812,10.7519
0.32,6.01,1.0532,10.9668
0.325,6.21,1.14385,11.2762
0.33,6.39,1.17484,11.6052
0.335,6.64,1.23534,12.0447
0.34,6.78,1.29624,12.2638
0.345,6.92,1.34204,12.498
0.35,7.08,1.40077,12.7592
0.355,7.21,1.38884,13.0312
0.36,7.45,1.4062,13.4938
0.365,7.57,1.37282,13.7672
0.37,7.76,1.38486,14.1351
0.375,7.95,1.31317,14.5868
0.38,8.1,1.40896,14.791
0.385,8.16,1.38103,14.939
0.39,8.34,1.4187,15.2613
0.395,8.53,1.50511,15.5549
0.4,8.7,1.52295,15.877
0.405,9.05,1.57421,16.5258
0.41,9.24,1.73784,16.7422
0.415,9.45,1.77358,17.1264
0.42,9.68,1.91485,17.4452
0.425,9.93,1.94845,17.9115
0.43,10.15,2.00215,18.2979
0.435,10.35,2.01049,18.6895
0.44,10.49,2.13357,18.8464
0.445,10.58,2.20005,18.96
0.45,10.83,2.19628,19.4637
0.455,11.13,2.22196,20.038
0.46,11.29,2.2365,20.3435
0.465,11.51,2.37053,20.6495
0.47,11.72,2.47329,20.9667
0.475,12.12,2.53639,21.7036
0.48,12.37,2.56729,22.1727
0.485,12.71,2.65088,22.7691
0.49,13.14,2.86671,23.4133
0.495,13.4,2.98079,23.8192
0.5,13.61,3.16022,24.0598
0.505,13.98,3.15412,24.8059
0.51,14.16,3.21676,25.1032
0.515,14.46,3.45144,25.4686
0.52,14.77,3.53892,26.0011
0.525,15.09,3.6217,26.5583
0.53,15.45,3.73559,27.1644
0.535,15.84,3.8803,27.7997
0.54,16.13,4.1128,28.1472
0.545,16.44,4.28573,28.5943
0.55,16.8,4.34608,29.2539
0.555,17.03,4.39477,29.6652
0.56,17.4,4.69173,30.1083
0.565,17.88,4.8115,30.9485
0.57,18.27,4.99984,31.5402
0.575,18.77,5.26752,32.2725
0.58,19.12,5.40047,32.8395
0.585,19.43,5.56187,33.2981
