time,state1Mean,state1lower,state1upper
0,99,99,99
0.005,98.96,98.764,99.156
0.01,98.95,98.7321,99.1679
0.015,98.9,98.6,99.2
0.02,98.87,98.5337,99.2063
0.025,98.82,98.4106,99.2294
0.03,98.79,98.2941,99.2859
0.035,98.75,98.2138,99.2862
0.04,98.72,98.1708,99.2692
0.045,98.66,98.04,99.28
0.05,98.58,97.914,99.246
0.055,98.55,97.8663,99.2337
0.06,98.5,97.719,99.281
0.065,98.42,97.5694,99.2706
0.07,98.39,97.508,99.272
0.075,98.35,97.4186,99.2814
0.08,98.32,97.3726,99.2674
0.085,98.28,97.3096,99.2504
0.09,98.21,97.1971,99.2229
0.095,98.17,97.1399,99.2001
0.1,98.12,97.0039,99.2361
0.105,98.03,96.8262,99.2338
0.11,97.97,96.7015,99.2385
0.115,97.92,96.6033,99.2367
0.12,97.91,96.5902,99.2298
0.125,97.83,96.4154,99.2446
0.13,97.75,96.1477,99.3523
0.135,97.7,96.0845,99.3155
0.14,97.6,95.9387,99.2613
0.145,97.56,95.8729,99.2471
0.15,97.5,95.7479,99.2521
0.155,97.42,95.5751,99.2649
0.16,97.38,95.5427,99.2173
0.165,97.37,95.5225,99.2175
0.17,97.3,95.3687,99.2313
0.175,97.24,95.3003,99.1797
0.18,97.18,95.1982,99.1618
0.185,97.05,94.9649,99.1351
0.19,96.92,94.7721,99.0679
0.195,96.81,94.5978,99.0222
0.2,96.7,94.3484,99.0516
0.205,96.6,94.1424,99.0576
0.21,96.5,93.929,99.071
0.215,96.38,93.72,99.04
0.22,96.23,93.2741,99.1859
0.225,96.14,93.1667,99.1133
0.23,96.05,93.0321,99.0679
0.235,95.92,92.8291,99.0109
0.24,95.77,92.605,98.935
0.245,95.63,92.3753,98.8847
0.25,95.43,91.9594,98.9006
0.255,95.35,91.8276,98.8724
0.26,95.25,91.7106,98.7894
0.265,95.1,91.4054,98.7946
0.27,94.97,91.1926,98.7474
0.275,94.8,90.8,98.8
0.28,94.64,90.5351,98.7449
0.285,94.46,90.1742,98.7458
0.29,94.27,89.8544,98.6856
0.295,94.18,89.7025,98.6575
0.3,94.02,89.4135,98.6265
0.305,93.87,89.1231,98.6169
0.31,93.7,88.7432,98.6568
0.315,93.46,88.3445,98.5755
0.32,93.3,88.0531,98.5469
0.325,93.07,87.664,98.476
0.33,92.87,87.3064,98.4336
0.335,92.59,86.7881,98.3919
0.34,92.39,86.4792,98.3008
0.345,92.18,86.0802,98.2798
0.35,91.98,85.7607,98.1993
0.355,91.8,85.4094,98.1906
0.36,91.56,84.9459,98.1741
0.365,91.41,84.6084,98.2116
0.37,91.2,84.2229,98.1771
0.375,90.98,83.7274,98.2326
0.38,90.8,83.4692,98.1308
0.385,90.66,83.1858,98.1342
0.39,90.44,82.7832,98.0968
0.395,90.2,82.3744,98.0256
0.4,90,82.01,97.99
0.405,89.62,81.3076,97.9324
0.41,89.37,81.0134,97.7266
0.415,89.1,80.4646,97.7354
0.42,88.84,80.079,97.601
0.425,88.55,79.5496,97.5504
0.43,88.3,79.1376,97.4624
0.435,88.09,78.7293,97.4507
0.44,87.91,78.5099,97.3101
0.445,87.74,78.2515,97.2285
0.45,87.41,77.6426,97.1774
0.455,87.05,76.968,97.132
0.46,86.84,76.5651,97.1149
0.465,86.58,76.1376,97.0224
0.47,86.3,75.6788,96.9212
0.475,85.85,74.866,96.834
0.48,85.55,74.3291,96.7709
0.485,85.15,73.631,96.669
0.49,84.64,72.8591,96.4209
0.495,84.34,72.4184,96.2616
0.5,84.02,71.9635,96.0765
0.505,83.54,71.0145,96.0655
0.51,83.24,70.5222,95.9578
0.515,82.82,69.8814,95.7586
0.52,82.48,69.3123,95.6477
0.525,82.09,68.5896,95.5904
0.53,81.65,67.8904,95.4096
0.535,81.18,67.1441,95.2159
0.54,80.79,66.6441,94.9359
0.545,80.44,66.1261,94.7539
0.55,80.01,65.3379,94.6821
0.555,79.67,64.7938,94.5462
0.56,79.22,64.173,94.267
0.565,78.7,63.2783,94.1217
0.57,78.24,62.5913,93.8887
0.575,77.68,61.7754,93.5846
0.58,77.25,61.0745,93.4255
0.585,76.83,60.4184,93.2416
0.59,76.25,59.5297,92.9703
0.595,75.8,58.8059,92.7941
0.6,75.17,57.909,92.431
0.605,74.81,57.3007,92.3193
0.61,74.28,56.3557,92.2043
0.615,73.77,55.5635,91.9765
0.62,73.34,54.8932,91.7868
0.625,72.83,54.0822,91.5778
0.63,72.36,53.3182,91.4018
0.635,71.86,52.5401,91.1799
0.64,71.33,51.7386,90.9214
0.645,70.94,51.1613,90.7187
0.65,70.5,50.5639,90.4361
0.655,70.03,49.8283,90.2317
0.66,69.5,49.0919,89.9081
0.665,69.1,48.445,89.755
0.67,68.66,47.7257,89.5943
0.675,68.16,47.1202,89.1998
0.68,67.59,46.34,88.84
0.685,67.18,45.7868,88.5732
0.69,66.71,45.1075,88.3125
0.695,66.15,44.3636,87.9364
0.7,65.65,43.6612,87.6388
0.705,65.12,42.9577,87.2823
0.71,64.72,42.4516,86.9884
0.715,64.19,41.665,86.715
0.72,63.7,40.9235,86.4765
0.725,63.16,40.2324,86.0876
0.73,62.69,39.6094,85.7706
0.735,62.1,38.7991,85.4009
0.74,61.54,38.0273,85.0527
0.745,61.02,37.4077,84.6323
0.75,60.57,36.7779,84.3621
0.755,60.08,36.111,84.049
0.76,59.66,35.5129,83.8071
0.765,59.19,34.887,83.493
0.77,58.67,34.2364,83.1036
0.775,58.29,33.7469,82.8331
0.78,57.69,33.0122,82.3678
0.785,57.13,32.3285,81.9315
0.79,56.51,31.4982,81.5218
0.795,55.86,30.5717,81.1483
0.8,55.41,30.0297,80.7903
0.805,54.87,29.2959,80.4441
0.81,54.43,28.7033,80.1567
0.815,54.01,28.0433,79.9767
0.82,53.44,27.2972,79.5828
0.825,53.03,26.8054,79.2546
0.83,52.48,26.0632,78.8968
0.835,51.94,25.3269,78.5531
0.84,51.43,24.6706,78.1894
0.845,50.87,23.9039,77.8361
0.85,50.48,23.3671,77.5929
0.855,50.05,22.8752,77.2248
0.86,49.63,22.418,76.842
0.865,49.13,21.8241,76.4359
0.87,48.67,21.2718,76.0682
0.875,48.2,20.6726,75.7274
0.88,47.79,20.1787,75.4013
0.885,47.34,19.652,75.028
0.89,46.94,19.0977,74.7823
0.895,46.45,18.5096,74.3904
0.9,46.09,18.0875,74.0925
0.905,45.67,17.5492,73.7908
0.91,45.15,16.9378,73.3622
0.915,44.74,16.4651,73.0149
0.92,44.21,15.8314,72.5886
0.925,43.83,15.4543,72.2057
0.93,43.48,15.0485,71.9115
0.935,43.13,14.6236,71.6364
0.94,42.54,14.0239,71.0561
0.945,41.95,13.3555,70.5445
0.95,41.51,12.9742,70.0458
0.955,41.06,12.4527,69.6673
0.96,40.53,11.8004,69.2596
0.965,40.15,11.4525,68.8475
0.97,39.77,10.9989,68.5411
0.975,39.41,10.5767,68.2433
0.98,38.87,9.96995,67.7701
0.985,38.43,9.4082,67.4518
0.99,38.08,8.98991,67.1701
0.995,37.6,8.53834,66.6617
1,37.09,7.96163,66.2184
1.005,36.77,7.6527,65.8873
1.01,36.42,7.16588,65.6741
1.015,36.14,6.87636,65.4036
1.02,35.84,6.54539,65.1346
1.025,35.43,6.09563,64.7644
1.03,35.1,5.80341,64.3966
1.035,34.76,5.4953,64.0247
