Time,Susceptible,Infected,Recovered
0,99,1,0
0.0247758,98,2,0
0.0459434,98,1,1
0.498833,97,2,1
0.580782,96,3,1
0.591495,95,4,1
0.609481,94,5,1
0.618484,93,6,1
0.651043,92,7,1
0.659611,91,8,1
0.718502,90,9,1
0.721847,89,10,1
0.875441,88,11,1
0.932892,87,12,1
0.956933,87,11,2
0.966437,86,12,2
1.00505,85,13,2
1.00799,84,14,2
1.06831,83,15,2
1.07888,82,16,2
1.08409,81,17,2
1.09342,80,18,2
1.09872,79,19,2
1.11085,79,18,3
1.13014,78,19,3
1.19314,78,18,4
1.23737,77,19,4
1.25561,76,20,4
1.26165,75,21,4
1.27981,75,20,5
1.29549,74,21,5
1.31359,74,20,6
1.32003,73,21,6
1.32452,72,22,6
1.34498,71,23,6
1.35467,70,24,6
1.38038,69,25,6
1.3912,68,26,6
1.39139,67,27,6
1.39831,66,28,6
1.3988,65,29,6
1.41458,65,28,7
1.42699,64,29,7
1.4289,64,28,8
1.43471,63,29,8
1.43869,62,30,8
1.43951,62,29,9
1.47594,62,28,10
1.47739,62,27,11
1.49205,61,28,11
1.5162,60,29,11
1.51932,59,30,11
1.53167,59,29,12
1.53397,58,30,12
1.54317,57,31,12
1.54883,56,32,12
1.5674,56,31,13
1.57892,56,30,14
1.60953,56,29,15
1.61236,55,30,15
1.613,54,31,15
1.62566,54,30,16
1.63692,53,31,16
1.65081,53,30,17
1.66338,52,31,17
1.69259,52,30,18
1.72042,51,31,18
1.72242,50,32,18
1.73646,49,33,18
1.74018,48,34,18
1.75634,47,35,18
1.76797,47,34,19
1.80042,46,35,19
1.81001,45,36,19
1.81754,45,35,20
1.8182,44,36,20
1.835,43,37,20
1.83658,43,36,21
1.8425,43,35,22
1.84759,42,36,22
1.85867,42,35,23
1.86549,42,34,24
1.90049,42,33,25
1.92516,41,34,25
1.93691,41,33,26
1.93811,40,34,26
1.94968,39,35,26
1.99227,39,34,27
2.01052,39,33,28
2.01451,39,32,29
2.01554,38,33,29
2.0437,37,34,29
2.04497,36,35,29
2.05979,35,36,29
2.07043,34,37,29
2.0827,34,36,30
2.08283,34,35,31
2.08757,34,34,32
2.09731,34,33,33
2.1011,33,34,33
2.10628,32,35,33
2.11543,32,34,34
2.13119,31,35,34
2.13329,31,34,35
2.14066,30,35,35
2.20719,30,34,36
2.29846,29,35,36
2.31136,28,36,36
2.3536,28,35,37
2.40652,28,34,38
2.42546,27,35,38
2.42714,27,34,39
2.45388,26,35,39
2.45577,25,36,39
2.47688,25,35,40
2.49924,25,34,41
2.50429,25,33,42
2.51451,25,32,43
2.51576,25,31,44
2.51965,25,30,45
2.53769,24,31,45
2.57598,23,32,45
2.57867,23,31,46
2.62032,22,32,46
2.62882,22,31,47
2.67696,21,32,47
2.68026,21,31,48
2.69686,21,30,49
2.71569,21,29,50
2.7184,20,30,50
2.74858,20,29,51
2.76113,20,28,52
2.85542,20,27,53
2.8633,20,26,54
2.86502,19,27,54
2.88633,18,28,54
2.9345,17,29,54
2.93501,16,30,54
2.96058,16,29,55
2.96756,16,28,56
3.03133,16,27,57
3.07018,16,26,58
3.14245,16,25,59
3.15337,16,24,60
3.16418,16,23,61
3.16946,16,22,62
3.19074,16,21,63
3.20091,16,20,64
3.31897,16,19,65
3.55358,16,18,66
3.55794,16,17,67
3.59668,15,18,67
3.71185,15,17,68
3.71871,14,18,68
3.71879,13,19,68
3.73964,13,18,69
3.77213,13,17,70
3.79272,12,18,70
3.86902,12,17,71
3.88063,11,18,71
3.89872,11,17,72
3.92362,10,18,72
3.92396,10,17,73
3.94814,10,16,74
3.95239,10,15,75
3.96331,10,14,76
3.99432,10,13,77
4.07007,10,12,78
4.13006,10,11,79
4.16767,9,12,79
4.19208,9,11,80
4.22408,9,10,81
4.42632,9,9,82
4.47144,9,8,83
4.48908,8,9,83
4.49051,8,8,84
4.51827,8,7,85
4.51926,8,6,86
4.672,8,5,87
4.84473,8,4,88
5.19758,8,3,89
5.31222,7,4,89
5.32479,7,3,90
5.42786,7,2,91
5.68817,7,1,92
6.75642,7,0,93
