Time,Susceptible,Infected,Recovered
0,99,1,0
1,99,1,0
2,99,1,0
3,99,1,0
4,99,1,0
5,97,3,0
6,94,6,0
7,87,13,0
8,79,21,0
9,66,33,1
10,50,48,2
11,37,60,3
12,13,80,7
13,3,86,11
14,2,85,13
15,0,81,19
16,0,78,22
17,0,78,22
18,0,75,25
19,0,73,27
20,0,67,33
21,0,62,38
22,0,60,40
23,0,57,43
24,0,55,45
25,0,53,47
26,0,50,50
27,0,48,52
28,0,46,54
29,0,44,56
30,0,41,59
31,0,39,61
32,0,36,64
33,0,34,66
34,0,31,69
35,0,30,70
36,0,29,71
37,0,28,72
38,0,28,72
39,0,26,74
40,0,26,74
41,0,23,77
42,0,23,77
43,0,23,77
44,0,23,77
45,0,22,78
46,0,22,78
47,0,21,79
48,0,20,80
49,0,19,81
50,0,18,82
51,0,18,82
52,0,17,83
53,0,16,84
54,0,16,84
55,0,14,86
56,0,13,87
57,0,13,87
58,0,13,87
59,0,12,88
60,0,12,88
61,0,11,89
62,0,11,89
63,0,10,90
64,0,10,90
65,0,10,90
66,0,9,91
67,0,9,91
68,0,9,91
69,0,9,91
70,0,9,91
71,0,8,92
72,0,7,93
73,0,7,93
74,0,5,95
75,0,4,96
76,0,4,96
77,0,4,96
78,0,4,96
79,0,4,96
80,0,4,96
81,0,4,96
82,0,4,96
83,0,4,96
84,0,4,96
85,0,4,96
86,0,4,96
87,0,4,96
88,0,4,96
89,0,4,96
90,0,4,96
91,0,4,96
92,0,4,96
93,0,4,96
94,0,3,97
95,0,2,98
96,0,2,98
97,0,2,98
98,0,2,98
99,0,2,98
100,0,2,98
101,0,2,98
102,0,2,98
103,0,2,98
104,0,2,98
105,0,2,98
106,0,1,99
107,0,1,99
108,0,1,99
109,0,1,99
110,0,1,99
111,0,1,99
112,0,1,99
113,0,1,99
114,0,1,99
115,0,1,99
116,0,1,99
117,0,1,99
118,0,1,99
119,0,0,100
120,0,0,100
121,0,0,100
122,0,0,100
123,0,0,100
124,0,0,100
125,0,0,100
126,0,0,100
127,0,0,100
128,0,0,100
129,0,0,100
130,0,0,100
131,0,0,100
132,0,0,100
133,0,0,100
134,0,0,100
135,0,0,100
136,0,0,100
137,0,0,100
138,0,0,100
139,0,0,100
140,0,0,100
141,0,0,100
142,0,0,100
143,0,0,100
144,0,0,100
145,0,0,100
146,0,0,100
147,0,0,100
148,0,0,100
149,0,0,100
150,0,0,100
151,0,0,100
152,0,0,100
153,0,0,100
154,0,0,100
155,0,0,100
156,0,0,100
157,0,0,100
158,0,0,100
159,0,0,100
160,0,0,100
161,0,0,100
162,0,0,100
163,0,0,100
164,0,0,100
165,0,0,100
166,0,0,100
167,0,0,100
168,0,0,100
169,0,0,100
170,0,0,100
171,0,0,100
172,0,0,100
173,0,0,100
174,0,0,100
175,0,0,100
176,0,0,100
177,0,0,100
178,0,0,100
179,0,0,100
180,0,0,100
181,0,0,100
182,0,0,100
183,0,0,100
184,0,0,100
185,0,0,100
186,0,0,100
187,0,0,100
188,0,0,100
189,0,0,100
190,0,0,100
191,0,0,100
192,0,0,100
193,0,0,100
194,0,0,100
195,0,0,100
196,0,0,100
197,0,0,100
198,0,0,100
199,0,0,100
