time,susceptible,infected,recovered
0,99,1,0
0.01,99,1,0
0.02,98,2,0
0.03,98,2,0
0.04,97,3,0
0.05,97,3,0
0.06,97,3,0
0.07,97,3,0
0.08,96,4,0
0.09,96,4,0
0.1,96,4,0
0.11,95,5,0
0.12,95,5,0
0.13,93,7,0
0.14,93,7,0
0.15,93,7,0
0.16,92,8,0
0.17,89,11,0
0.18,89,11,0
0.19,88,12,0
0.2,87,13,0
0.21,87,13,0
0.22,86,14,0
0.23,85,14,1
0.24,84,15,1
0.25,83,15,2
0.26,83,15,2
0.27,82,16,2
0.28,82,16,2
0.29,81,16,3
0.3,80,17,3
0.31,78,19,3
0.32,78,19,3
0.33,78,19,3
0.34,77,19,4
0.35,77,19,4
0.36,77,19,4
0.37,77,19,4
0.38,74,22,4
0.39,74,22,4
0.4,71,24,5
0.41,69,26,5
0.42,69,26,5
0.43,67,28,5
0.44,64,30,6
0.45,62,32,6
0.46,61,33,6
0.47,60,34,6
0.48,57,37,6
0.49,54,40,6
0.5,54,40,6
0.51,52,42,6
0.52,52,42,6
0.53,50,43,7
0.54,50,43,7
0.55,49,44,7
0.56,48,43,9
0.57,47,44,9
0.58,47,44,9
0.59,45,46,9
0.6,43,48,9
0.61,43,47,10
0.62,42,47,11
0.63,41,48,11
0.64,41,47,12
0.65,38,50,12
0.66,38,48,14
0.67,38,48,14
0.68,38,48,14
0.69,38,48,14
0.7,38,48,14
0.71,37,49,14
0.72,36,49,15
0.73,36,47,17
0.74,34,48,18
0.75,33,49,18
0.76,32,50,18
0.77,29,53,18
0.78,28,54,18
0.79,27,55,18
0.8,26,55,19
0.81,25,56,19
0.82,22,58,20
0.83,20,60,20
0.84,19,61,20
0.85,18,62,20
0.86,16,64,20
0.87,14,65,21
0.88,13,66,21
0.89,13,66,21
0.9,12,67,21
0.91,12,67,21
0.92,12,67,21
0.93,11,66,23
0.94,11,66,23
0.95,11,66,23
0.96,10,66,24
0.97,10,66,24
0.98,10,65,25
0.99,9,66,25
1,8,67,25
1.01,7,68,25
1.02,5,69,26
1.03,5,69,26
1.04,5,68,27
1.05,4,68,28
1.06,2,70,28
1.07,2,70,28
1.08,2,68,30
1.09,2,68,30
1.1,2,68,30
1.11,2,68,30
1.12,2,67,31
1.13,2,67,31
1.14,2,67,31
1.15,2,67,31
1.16,2,66,32
1.17,2,66,32
1.18,2,65,33
1.19,2,64,34
1.2,2,64,34
1.21,2,64,34
1.22,2,64,34
1.23,2,63,35
1.24,2,62,36
1.25,2,61,37
1.26,2,60,38
1.27,2,60,38
1.28,2,60,38
1.29,2,60,38
1.3,2,59,39
1.31,2,57,41
1.32,1,56,43
1.33,1,54,45
1.34,1,54,45
1.35,1,54,45
1.36,1,54,45
1.37,1,53,46
1.38,1,53,46
1.39,1,52,47
1.4,1,49,50
1.41,1,49,50
1.42,1,48,51
1.43,1,47,52
1.44,1,47,52
1.45,1,46,53
1.46,1,46,53
1.47,1,46,53
1.48,1,46,53
1.49,1,46,53
1.5,1,46,53
1.51,1,46,53
1.52,1,46,53
1.53,1,45,54
1.54,1,45,54
1.55,1,45,54
1.56,1,45,54
1.57,1,45,54
1.58,1,45,54
1.59,1,45,54
1.6,1,45,54
1.61,1,45,54
1.62,1,45,54
1.63,1,44,55
1.64,1,44,55
1.65,1,44,55
1.66,1,41,58
1.67,1,41,58
1.68,1,41,58
1.69,1,41,58
1.7,1,41,58
1.71,1,41,58
1.72,1,41,58
1.73,1,40,59
1.74,1,40,59
1.75,1,40,59
1.76,1,40,59
1.77,1,40,59
1.78,1,39,60
1.79,1,39,60
1.8,1,39,60
1.81,1,39,60
1.82,1,38,61
1.83,1,37,62
1.84,1,37,62
1.85,1,37,62
1.86,1,36,63
1.87,1,36,63
1.88,1,36,63
1.89,1,35,64
1.9,1,34,65
1.91,1,34,65
1.92,1,34,65
1.93,1,33,66
1.94,1,32,67
1.95,1,32,67
1.96,1,32,67
1.97,1,32,67
1.98,1,32,67
1.99,1,32,67
2,1,32,67
2.01,1,31,68
2.02,1,29,70
2.03,1,28,71
2.04,1,28,71
2.05,1,28,71
2.06,1,27,72
2.07,1,25,74
2.08,1,24,75
2.09,1,23,76
2.1,1,23,76
2.11,1,23,76
2.12,1,23,76
2.13,1,23,76
2.14,1,21,78
2.15,1,21,78
2.16,1,21,78
2.17,1,21,78
2.18,1,21,78
2.19,1,20,79
2.2,1,20,79
2.21,1,19,80
2.22,1,19,80
2.23,1,19,80
2.24,1,19,80
2.25,1,18,81
2.26,1,18,81
2.27,1,18,81
2.28,1,18,81
2.29,1,18,81
2.3,1,17,82
2.31,1,17,82
2.32,1,17,82
2.33,1,17,82
2.34,1,16,83
2.35,1,15,84
2.36,1,15,84
2.37,1,15,84
2.38,1,15,84
2.39,1,15,84
2.4,1,15,84
2.41,1,15,84
2.42,1,15,84
2.43,1,15,84
2.44,1,14,85
2.45,1,14,85
2.46,0,15,85
2.47,0,15,85
2.48,0,15,85
2.49,0,14,86
2.5,0,14,86
2.51,0,14,86
2.52,0,14,86
2.53,0,14,86
2.54,0,14,86
2.55,0,14,86
2.56,0,14,86
2.57,0,14,86
2.58,0,14,86
2.59,0,14,86
2.6,0,14,86
2.61,0,14,86
2.62,0,14,86
2.63,0,14,86
2.64,0,14,86
2.65,0,14,86
2.66,0,14,86
2.67,0,14,86
2.68,0,14,86
2.69,0,14,86
2.7,0,13,87
2.71,0,12,88
2.72,0,12,88
2.73,0,12,88
2.74,0,12,88
2.75,0,12,88
2.76,0,12,88
2.77,0,12,88
2.78,0,12,88
2.79,0,12,88
2.8,0,12,88
2.81,0,12,88
2.82,0,12,88
2.83,0,12,88
2.84,0,12,88
2.85,0,12,88
2.86,0,12,88
2.87,0,12,88
2.88,0,12,88
2.89,0,12,88
2.9,0,12,88
2.91,0,12,88
2.92,0,12,88
2.93,0,12,88
2.94,0,12,88
2.95,0,12,88
2.96,0,12,88
2.97,0,12,88
2.98,0,12,88
2.99,0,12,88
3,0,12,88
3.01,0,12,88
3.02,0,12,88
3.03,0,12,88
3.04,0,12,88
3.05,0,12,88
3.06,0,12,88
3.07,0,12,88
3.08,0,12,88
3.09,0,12,88
3.1,0,12,88
3.11,0,12,88
3.12,0,12,88
3.13,0,11,89
3.14,0,11,89
3.15,0,11,89
3.16,0,11,89
3.17,0,11,89
3.18,0,11,89
3.19,0,11,89
3.2,0,11,89
3.21,0,11,89
3.22,0,11,89
3.23,0,11,89
3.24,0,11,89
3.25,0,11,89
3.26,0,11,89
3.27,0,10,90
3.28,0,10,90
3.29,0,10,90
3.3,0,10,90
3.31,0,10,90
3.32,0,9,91
3.33,0,9,91
3.34,0,9,91
3.35,0,9,91
3.36,0,8,92
3.37,0,8,92
3.38,0,8,92
3.39,0,8,92
3.4,0,7,93
3.41,0,7,93
3.42,0,7,93
3.43,0,7,93
3.44,0,7,93
3.45,0,7,93
3.46,0,7,93
3.47,0,6,94
3.48,0,6,94
3.49,0,6,94
3.5,0,6,94
3.51,0,6,94
3.52,0,6,94
3.53,0,6,94
3.54,0,6,94
3.55,0,6,94
3.56,0,5,95
3.57,0,5,95
3.58,0,5,95
3.59,0,5,95
3.6,0,5,95
3.61,0,5,95
3.62,0,5,95
3.63,0,5,95
3.64,0,5,95
3.65,0,5,95
3.66,0,5,95
3.67,0,5,95
3.68,0,5,95
3.69,0,5,95
3.7,0,5,95
3.71,0,5,95
3.72,0,5,95
3.73,0,5,95
3.74,0,5,95
3.75,0,5,95
3.76,0,5,95
3.77,0,5,95
3.78,0,5,95
3.79,0,5,95
3.8,0,5,95
3.81,0,5,95
