Time,Susceptible,Infected
0,97,3
0.005,97,3
0.01,97,3
0.015,97,3
0.02,96,4
0.025,96,4
0.03,96,4
0.035,96,4
0.04,96,4
0.045,96,4
0.05,96,4
0.055,96,4
0.06,96,4
0.065,96,4
0.07,95,5
0.075,95,5
0.08,95,5
0.085,95,5
0.09,95,5
0.095,95,5
0.1,95,5
0.105,94,6
0.11,94,6
0.115,94,6
0.12,94,6
0.125,94,6
0.13,94,6
0.135,94,6
0.14,94,6
0.145,94,6
0.15,93,7
0.155,93,7
0.16,92,8
0.165,92,8
0.17,92,8
0.175,92,8
0.18,92,8
0.185,92,8
0.19,92,8
0.195,92,8
0.2,92,8
0.205,92,8
0.21,91,9
0.215,90,10
0.22,90,10
0.225,90,10
0.23,90,10
0.235,90,10
0.24,89,11
0.245,89,11
0.25,88,12
0.255,88,12
0.26,88,12
0.265,88,12
0.27,88,12
0.275,88,12
0.28,88,12
0.285,88,12
0.29,88,12
0.295,88,12
0.3,88,12
0.305,88,12
0.31,88,12
0.315,88,12
0.32,87,13
0.325,87,13
0.33,85,15
0.335,85,15
0.34,85,15
0.345,86,14
0.35,86,14
0.355,86,14
0.36,86,14
0.365,86,14
0.37,86,14
0.375,86,14
0.38,86,14
0.385,86,14
0.39,86,14
0.395,86,14
0.4,86,14
0.405,86,14
0.41,86,14
0.415,86,14
0.42,86,14
0.425,86,14
0.43,86,14
0.435,86,14
0.44,86,14
0.445,86,14
0.45,86,14
0.455,86,14
0.46,86,14
0.465,86,14
0.47,86,14
0.475,85,15
0.48,84,16
0.485,84,16
0.49,84,16
0.495,84,16
0.5,84,16
0.505,83,17
0.51,82,18
0.515,81,19
0.52,81,19
0.525,80,20
0.53,78,22
0.535,78,22
0.54,78,22
0.545,77,23
0.55,76,24
0.555,76,24
0.56,75,25
0.565,74,26
0.57,74,26
0.575,74,26
0.58,74,26
0.585,74,26
0.59,74,26
0.595,73,27
0.6,74,26
0.605,72,28
0.61,71,29
0.615,71,29
0.62,72,28
0.625,72,28
0.63,72,28
0.635,71,29
0.64,71,29
0.645,71,29
0.65,71,29
0.655,71,29
0.66,71,29
0.665,71,29
0.67,72,28
0.675,72,28
0.68,72,28
0.685,73,27
0.69,73,27
0.695,73,27
0.7,73,27
0.705,72,28
0.71,72,28
0.715,72,28
0.72,72,28
0.725,73,27
0.73,73,27
0.735,73,27
0.74,73,27
0.745,73,27
0.75,73,27
0.755,73,27
0.76,73,27
0.765,73,27
0.77,73,27
0.775,74,26
0.78,74,26
0.785,74,26
0.79,74,26
0.795,74,26
0.8,74,26
0.805,73,27
0.81,73,27
0.815,73,27
0.82,73,27
0.825,73,27
0.83,72,28
0.835,70,30
0.84,70,30
0.845,70,30
0.85,71,29
0.855,71,29
0.86,71,29
0.865,70,30
0.87,70,30
0.875,69,31
0.88,69,31
0.885,68,32
0.89,68,32
0.895,67,33
0.9,66,34
0.905,66,34
0.91,66,34
0.915,65,35
0.92,65,35
0.925,64,36
0.93,64,36
0.935,63,37
0.94,64,36
0.945,63,37
0.95,63,37
0.955,63,37
0.96,63,37
0.965,63,37
0.97,63,37
0.975,62,38
0.98,62,38
0.985,61,39
0.99,61,39
0.995,61,39
1,62,38
1.005,62,38
1.01,62,38
1.015,60,40
1.02,59,41
1.025,58,42
1.03,58,42
1.035,58,42
1.04,58,42
1.045,57,43
1.05,57,43
1.055,57,43
1.06,55,45
1.065,55,45
1.07,54,46
1.075,54,46
1.08,54,46
1.085,54,46
1.09,54,46
1.095,55,45
1.1,54,46
1.105,54,46
1.11,55,45
1.115,55,45
1.12,55,45
1.125,54,46
1.13,54,46
1.135,54,46
1.14,54,46
1.145,53,47
1.15,51,49
1.155,51,49
1.16,51,49
1.165,50,50
1.17,51,49
1.175,50,50
1.18,49,51
1.185,50,50
1.19,48,52
1.195,48,52
1.2,48,52
1.205,48,52
1.21,48,52
1.215,48,52
1.22,48,52
1.225,47,53
1.23,47,53
1.235,45,55
1.24,45,55
1.245,45,55
1.25,45,55
1.255,48,52
1.26,47,53
1.265,47,53
1.27,47,53
1.275,47,53
1.28,46,54
1.285,46,54
1.29,48,52
1.295,48,52
1.3,48,52
1.305,47,53
1.31,46,54
1.315,46,54
1.32,46,54
1.325,46,54
1.33,46,54
1.335,45,55
1.34,43,57
1.345,44,56
1.35,43,57
1.355,43,57
1.36,43,57
1.365,44,56
1.37,44,56
1.375,44,56
1.38,43,57
1.385,44,56
1.39,43,57
1.395,42,58
1.4,42,58
1.405,42,58
1.41,41,59
1.415,41,59
1.42,42,58
1.425,41,59
1.43,41,59
1.435,41,59
1.44,42,58
1.445,42,58
1.45,42,58
1.455,42,58
1.46,41,59
1.465,41,59
1.47,43,57
1.475,42,58
1.48,41,59
1.485,41,59
1.49,41,59
1.495,40,60
1.5,39,61
1.505,38,62
1.51,37,63
1.515,37,63
1.52,35,65
1.525,35,65
1.53,35,65
1.535,35,65
1.54,35,65
1.545,35,65
1.55,35,65
1.555,36,64
1.56,35,65
1.565,35,65
1.57,35,65
1.575,35,65
1.58,34,66
1.585,34,66
1.59,34,66
1.595,34,66
1.6,34,66
1.605,34,66
1.61,34,66
1.615,35,65
1.62,34,66
1.625,34,66
1.63,35,65
1.635,35,65
1.64,35,65
1.645,36,64
1.65,36,64
1.655,35,65
1.66,35,65
1.665,35,65
1.67,34,66
1.675,35,65
1.68,36,64
1.685,35,65
1.69,36,64
1.695,36,64
1.7,37,63
1.705,37,63
1.71,37,63
1.715,37,63
1.72,37,63
1.725,37,63
1.73,37,63
1.735,36,64
1.74,36,64
1.745,36,64
1.75,37,63
1.755,38,62
1.76,38,62
1.765,37,63
1.77,38,62
1.775,38,62
1.78,38,62
1.785,39,61
1.79,39,61
1.795,38,62
1.8,39,61
1.805,38,62
1.81,38,62
1.815,38,62
1.82,37,63
1.825,37,63
1.83,37,63
1.835,37,63
1.84,37,63
1.845,36,64
1.85,36,64
1.855,35,65
1.86,35,65
1.865,35,65
1.87,35,65
1.875,36,64
1.88,38,62
1.885,36,64
1.89,36,64
1.895,35,65
1.9,37,63
1.905,37,63
1.91,37,63
1.915,38,62
1.92,38,62
1.925,38,62
1.93,37,63
1.935,36,64
1.94,37,63
1.945,38,62
1.95,39,61
1.955,39,61
1.96,38,62
1.965,38,62
1.97,39,61
1.975,38,62
1.98,37,63
1.985,37,63
1.99,37,63
1.995,36,64
2,37,63
2.005,36,64
2.01,36,64
2.015,36,64
