Nsentinel,EDT mean
0,3779.9999999999995
1,3750.0
2,3600.0
3,3510.0
4,3540.0
5,3450.0
6,3600.0
7,3629.9999999999995
8,3660.0
9,3570.0000000000005
10,3660.0
11,3720.0000000000005
12,3600.0
13,3600.0
14,3510.0
15,3690.0
16,3450.0
17,3840.0
18,3390.0
19,3810.0
20,3570.0000000000005
21,3510.0
22,3690.0
23,3600.0
24,3540.0
25,3450.0
26,3720.0000000000005
27,3570.0000000000005
28,3660.0
29,4110.0
30,3779.9999999999995
31,3750.0
32,3870.0000000000005
33,3960.0
34,3660.0
35,3840.0
36,3750.0
37,3660.0
38,3929.9999999999995
39,3990.0
40,4079.9999999999995
41,4020.0000000000005
42,4050.0
43,4260.0
44,4320.0
45,4170.0
46,4290.0
47,4530.0
48,4680.0
49,4680.0
50,4530.0
