Nsentinel,EDT STD
0,1315.902731967679
1,1299.038105676658
2,1200.0
3,1126.8983982595776
4,1152.5623627379123
5,1071.2142642814274
6,1200.0
7,1221.9247112649787
8,1242.7389106324779
9,1176.9027147559814
10,1242.738910632478
11,1281.2493902437577
12,1200.0
13,1200.0
14,1126.8983982595776
15,1262.4975247500497
16,1071.2142642814274
17,1346.996659238619
18,1008.9103032480137
19,1331.8783728253877
20,1176.9027147559814
21,1126.8983982595773
22,1262.49752475005
23,1200.0
24,1152.5623627379125
25,1071.2142642814274
26,1281.2493902437577
27,1176.9027147559812
28,1242.7389106324779
29,1448.4129245487954
30,1315.902731967679
31,1299.038105676658
32,1361.2861565446115
33,1399.4284547628718
34,1242.7389106324786
35,1346.9966592386193
36,1299.038105676658
37,1242.7389106324779
38,1387.4797295816616
39,1410.6381534610491
40,1439.999999999999
41,1421.1263138792424
42,1430.9088021254186
43,1540.2597183592113
44,1489.160837518904
45,1463.2498077908626
46,1485.2272553383873
47,1615.2708751166167
48,1489.1608375189041
49,1548.418548067674
50,1558.5570249432649
