Time,Healthy,Undetectable,Detectable
0,97,3,0
1,96,4,0
2,96,4,0
3,96,4,0
4,96,4,0
5,96,4,0
6,96,4,0
7,96,4,0
8,96,4,0
9,96,4,0
10,96,4,0
11,96,4,0
12,96,4,0
13,96,4,0
14,96,4,0
15,95,5,0
16,94,6,0
17,94,6,0
18,94,6,0
19,94,6,0
20,94,6,0
21,93,7,0
22,93,7,0
23,93,7,0
24,93,7,0
25,93,7,0
26,93,7,0
27,93,7,0
28,93,7,0
29,92,8,0
30,92,8,0
31,92,8,0
32,92,8,0
33,92,8,0
34,92,8,0
35,91,9,0
36,91,9,0
37,89,11,0
38,88,12,0
39,88,12,0
40,88,12,0
41,88,12,0
42,88,12,0
43,88,12,0
44,88,12,0
45,88,12,0
46,88,12,0
47,88,12,0
48,88,12,0
49,88,12,0
50,88,12,0
51,88,12,0
52,88,12,0
53,88,12,0
54,88,12,0
55,88,12,0
56,88,12,0
57,87,13,0
58,86,14,0
59,86,14,0
60,86,14,0
61,86,14,0
62,86,14,0
63,86,14,0
64,86,14,0
65,86,14,0
66,86,14,0
67,86,14,0
68,85,14,1
69,85,14,1
70,85,14,1
71,85,14,1
72,84,15,1
73,84,15,1
74,83,16,1
75,83,16,1
76,83,16,1
77,83,16,1
78,83,16,1
79,82,17,1
80,82,17,1
81,82,17,1
82,82,17,1
83,82,17,1
84,82,17,1
85,82,17,1
86,82,17,1
87,82,17,1
88,81,18,1
89,80,19,1
90,79,20,1
