time,healthy crops mean
0.0,97.0
1.0,96.94
2.0,96.84
3.0,96.77
4.0,96.71
5.0,96.65
6.0,96.62
7.0,96.51
8.0,96.44
9.0,96.4
10.0,96.28
11.0,96.17
12.0,96.04
13.0,95.96
14.0,95.86
15.0,95.76
16.0,95.61
17.0,95.54
18.0,95.44
19.0,95.36
20.0,95.31
21.0,95.25
22.0,95.12
23.0,95.05
24.0,94.94
25.0,94.87
26.0,94.81
27.0,94.73
28.0,94.65
29.0,94.51
30.0,94.45
31.0,94.38
32.0,94.29
33.0,94.19
34.0,94.08
35.0,94.02
36.0,93.92
37.0,93.79
38.0,93.7
39.0,93.61
40.0,93.54
41.0,93.44
42.0,93.38
43.0,93.23
44.0,93.1
45.0,93.01
46.0,92.85
47.0,92.72
48.0,92.69
49.0,92.61
50.0,92.48
51.0,92.39
52.0,92.28
53.0,92.18
54.0,92.07
55.0,91.99
56.0,91.84
57.0,91.78
58.0,91.69
59.0,91.64
60.0,91.57
61.0,91.46
62.0,91.31
63.0,91.25
64.0,91.1
65.0,90.99
66.0,90.88
67.0,90.69
68.0,90.62
69.0,90.54
70.0,90.41
71.0,90.32
72.0,90.26
73.0,90.15
74.0,90.04
75.0,89.95
76.0,89.88
77.0,89.78
78.0,89.71
79.0,89.58
80.0,89.47
81.0,89.35
82.0,89.31
83.0,89.19
84.0,89.08
85.0,88.91
86.0,88.83
87.0,88.75
88.0,88.58
89.0,88.49
90.0,88.4
91.0,88.29
92.0,88.11
93.0,87.93
94.0,87.86
95.0,87.77
96.0,87.69
97.0,87.57
98.0,87.48
99.0,87.35
100.0,87.23
101.0,87.14
102.0,87.05
103.0,86.93
104.0,86.84
105.0,86.69
106.0,86.6
107.0,86.51
108.0,86.36
109.0,86.2
110.0,86.05
111.0,85.93
112.0,85.83
113.0,85.75
114.0,85.63
115.0,85.5
116.0,85.41
117.0,85.26
118.0,85.15
119.0,85.0
120.0,84.87
121.0,84.72
122.0,84.53
123.0,84.37
124.0,84.26
125.0,84.17
126.0,84.11
127.0,84.02
128.0,83.91
129.0,83.79
130.0,83.63
131.0,83.54
132.0,83.38
133.0,83.28
134.0,83.2
135.0,83.1
136.0,83.02
137.0,82.91
138.0,82.8
139.0,82.66
140.0,82.56
141.0,82.48
142.0,82.38
143.0,82.25
144.0,82.19
145.0,82.04
146.0,81.96
147.0,81.8
148.0,81.69
149.0,81.61
150.0,81.51
151.0,81.41
152.0,81.34
153.0,81.17
154.0,81.07
155.0,80.95
156.0,80.77
157.0,80.65
158.0,80.54
159.0,80.4
160.0,80.3
161.0,80.11
162.0,79.99
163.0,79.82
164.0,79.66
165.0,79.54
166.0,79.39
167.0,79.27
168.0,79.13
169.0,78.93
170.0,78.78
171.0,78.64
172.0,78.53
173.0,78.35
174.0,78.24
175.0,78.05
176.0,77.88
177.0,77.78
178.0,77.66
179.0,77.46
180.0,77.38
181.0,77.27
182.0,77.1
183.0,76.99
184.0,76.88
185.0,76.67
186.0,76.57
187.0,76.36
188.0,76.19
189.0,76.0
190.0,75.87
191.0,75.76
192.0,75.55
193.0,75.51
194.0,75.41
195.0,75.3
196.0,75.18
197.0,75.06
198.0,74.94
199.0,74.78
200.0,74.6
201.0,74.51
202.0,74.36
203.0,74.23
204.0,74.06
205.0,73.94
206.0,73.8
207.0,73.69
208.0,73.56
209.0,73.48
210.0,73.3
211.0,73.16
212.0,72.99
213.0,72.87
214.0,72.66
215.0,72.51
216.0,72.38
217.0,72.31
218.0,72.2
219.0,72.05
220.0,71.89
221.0,71.7
222.0,71.61
223.0,71.43
224.0,71.3
225.0,71.16
226.0,71.02
227.0,70.86
228.0,70.7
229.0,70.6
230.0,70.46
231.0,70.35
232.0,70.28
233.0,70.11
234.0,70.04
235.0,69.87
236.0,69.72
237.0,69.61
238.0,69.52
239.0,69.39
240.0,69.28
241.0,69.12
242.0,68.96
243.0,68.85
244.0,68.68
245.0,68.51
246.0,68.37
247.0,68.29
248.0,68.12
249.0,67.98
250.0,67.8
251.0,67.66
252.0,67.54
253.0,67.37
254.0,67.27
255.0,67.09
256.0,66.95
257.0,66.8
258.0,66.72
259.0,66.58
260.0,66.42
261.0,66.32
262.0,66.16
263.0,66.05
264.0,65.91
265.0,65.78
266.0,65.63
267.0,65.51
268.0,65.38
269.0,65.19
270.0,65.08
271.0,64.97
272.0,64.87
273.0,64.79
274.0,64.68
275.0,64.5
276.0,64.4
277.0,64.27
278.0,64.16
279.0,63.98
280.0,63.93
281.0,63.84
282.0,63.77
283.0,63.64
284.0,63.49
285.0,63.36
286.0,63.24
287.0,63.15
288.0,63.0
289.0,62.86
290.0,62.72
291.0,62.56
292.0,62.47
293.0,62.38
294.0,62.3
295.0,62.13
296.0,62.05
297.0,61.97
298.0,61.88
299.0,61.8
300.0,61.69
301.0,61.54
302.0,61.44
303.0,61.36
304.0,61.28
305.0,61.16
306.0,61.03
307.0,60.88
308.0,60.73
309.0,60.6
310.0,60.45
311.0,60.37
312.0,60.34
313.0,60.27
314.0,60.17
315.0,60.04
316.0,59.86
317.0,59.8
318.0,59.65
319.0,59.58
320.0,59.42
321.0,59.33
322.0,59.23
323.0,59.13
324.0,59.07
325.0,58.98
326.0,58.84
327.0,58.73
328.0,58.61
329.0,58.48
330.0,58.33
331.0,58.15
332.0,58.06
333.0,57.96
334.0,57.88
335.0,57.75
336.0,57.62
337.0,57.56
338.0,57.5
339.0,57.37
340.0,57.18
341.0,57.07
342.0,56.95
343.0,56.76
344.0,56.64
345.0,56.48
346.0,56.4
347.0,56.27
348.0,56.15
349.0,56.05
350.0,55.94
351.0,55.8
352.0,55.67
353.0,55.58
354.0,55.47
355.0,55.33
356.0,55.21
357.0,55.1
358.0,54.99
359.0,54.88
360.0,54.65
361.0,54.61
362.0,54.54
363.0,54.48
364.0,54.26
365.0,54.15
366.0,54.04
367.0,53.91
368.0,53.81
369.0,53.7
370.0,53.56
371.0,53.44
372.0,53.34
373.0,53.26
374.0,53.13
375.0,53.04
376.0,52.86
377.0,52.78
378.0,52.68
379.0,52.59
380.0,52.43
381.0,52.38
382.0,52.23
383.0,52.1
384.0,51.99
385.0,51.84
386.0,51.68
387.0,51.46
388.0,51.36
389.0,51.25
390.0,51.14
391.0,51.04
392.0,50.91
393.0,50.82
394.0,50.7
395.0,50.64
396.0,50.57
397.0,50.4
398.0,50.34
399.0,50.27
400.0,50.2
401.0,50.14
402.0,50.01
403.0,49.93
404.0,49.85
405.0,49.79
406.0,49.72
407.0,49.58
408.0,49.48
409.0,49.35
410.0,49.23
411.0,49.09
412.0,48.99
413.0,48.83
414.0,48.7
415.0,48.64
416.0,48.54
417.0,48.46
418.0,48.34
419.0,48.25
420.0,48.11
421.0,47.98
422.0,47.83
423.0,47.66
424.0,47.58
425.0,47.5
426.0,47.39
427.0,47.31
428.0,47.2
429.0,47.16
430.0,47.08
431.0,47.02
432.0,46.92
433.0,46.86
434.0,46.75
435.0,46.66
436.0,46.54
437.0,46.41
438.0,46.32
439.0,46.23
440.0,46.12
441.0,45.99
442.0,45.87
443.0,45.8
444.0,45.65
445.0,45.53
446.0,45.41
447.0,45.3
448.0,45.24
449.0,45.17
450.0,45.05
451.0,44.89
452.0,44.78
453.0,44.72
454.0,44.63
455.0,44.52
456.0,44.39
457.0,44.27
458.0,44.16
459.0,44.01
460.0,43.91
461.0,43.83
462.0,43.77
463.0,43.65
464.0,43.54
465.0,43.45
466.0,43.35
467.0,43.24
468.0,43.07
469.0,42.96
470.0,42.82
471.0,42.79
472.0,42.65
473.0,42.58
474.0,42.5
475.0,42.41
476.0,42.3
477.0,42.25
478.0,42.12
479.0,42.01
480.0,41.89
481.0,41.76
482.0,41.66
483.0,41.6
484.0,41.47
485.0,41.37
486.0,41.31
487.0,41.19
488.0,41.16
489.0,41.06
490.0,40.92
491.0,40.81
492.0,40.73
493.0,40.65
494.0,40.59
495.0,40.43
496.0,40.36
497.0,40.25
498.0,40.18
499.0,40.07
500.0,40.0
501.0,39.89
502.0,39.8
503.0,39.72
504.0,39.69
505.0,39.59
506.0,39.53
507.0,39.47
508.0,39.4
509.0,39.36
510.0,39.27
511.0,39.15
512.0,39.04
513.0,38.92
514.0,38.86
515.0,38.8
516.0,38.74
517.0,38.64
518.0,38.54
519.0,38.47
520.0,38.41
521.0,38.33
522.0,38.26
523.0,38.18
524.0,38.14
525.0,38.08
526.0,38.02
527.0,37.92
528.0,37.81
529.0,37.72
530.0,37.7
531.0,37.64
532.0,37.56
533.0,37.49
534.0,37.46
535.0,37.39
536.0,37.35
537.0,37.3
538.0,37.25
539.0,37.12
540.0,37.07
541.0,37.04
542.0,37.0
543.0,36.96
544.0,36.92
545.0,36.8
546.0,36.74
547.0,36.64
548.0,36.54
549.0,36.52
550.0,36.42
551.0,36.34
552.0,36.24
553.0,36.2
554.0,36.11
555.0,36.01
556.0,35.99
557.0,35.89
558.0,35.79
559.0,35.71
560.0,35.61
561.0,35.54
562.0,35.5
563.0,35.48
564.0,35.38
565.0,35.26
566.0,35.22
567.0,35.12
568.0,35.01
569.0,34.96
570.0,34.91
571.0,34.83
572.0,34.76
573.0,34.67
574.0,34.54
575.0,34.49
576.0,34.44
577.0,34.37
578.0,34.3
579.0,34.22
580.0,34.17
581.0,34.14
582.0,34.08
583.0,33.97
584.0,33.91
585.0,33.84
586.0,33.79
587.0,33.68
588.0,33.62
589.0,33.58
590.0,33.5
591.0,33.38
592.0,33.34
593.0,33.27
594.0,33.15
595.0,33.08
596.0,33.05
597.0,33.0
598.0,32.92
599.0,32.87
600.0,32.79
601.0,32.73
602.0,32.67
603.0,32.56
604.0,32.5
605.0,32.46
606.0,32.39
607.0,32.3
608.0,32.25
609.0,32.17
610.0,32.08
611.0,32.02
612.0,31.97
613.0,31.95
614.0,31.89
615.0,31.82
616.0,31.71
617.0,31.65
618.0,31.63
619.0,31.52
620.0,31.43
621.0,31.38
622.0,31.32
623.0,31.28
624.0,31.21
625.0,31.18
626.0,31.14
627.0,31.11
628.0,31.02
629.0,30.98
630.0,30.94
631.0,30.89
632.0,30.79
633.0,30.71
634.0,30.63
635.0,30.57
636.0,30.5
637.0,30.48
638.0,30.4
639.0,30.35
640.0,30.31
641.0,30.26
642.0,30.23
643.0,30.18
644.0,30.1
645.0,30.04
646.0,29.96
647.0,29.87
648.0,29.83
649.0,29.76
650.0,29.72
651.0,29.65
652.0,29.61
653.0,29.56
654.0,29.53
655.0,29.46
656.0,29.43
657.0,29.36
658.0,29.25
659.0,29.18
660.0,29.09
661.0,29.03
662.0,28.97
663.0,28.91
664.0,28.89
665.0,28.84
666.0,28.76
667.0,28.63
668.0,28.54
669.0,28.48
670.0,28.45
671.0,28.41
672.0,28.36
673.0,28.3
674.0,28.27
675.0,28.21
676.0,28.15
677.0,28.1
678.0,28.07
679.0,28.02
680.0,27.99
681.0,27.9
682.0,27.84
683.0,27.79
684.0,27.73
685.0,27.68
686.0,27.67
687.0,27.58
688.0,27.52
689.0,27.49
690.0,27.44
691.0,27.38
692.0,27.34
693.0,27.27
694.0,27.21
695.0,27.16
696.0,27.11
697.0,27.08
698.0,27.05
699.0,27.02
700.0,26.91
701.0,26.86
702.0,26.83
703.0,26.76
704.0,26.71
705.0,26.66
706.0,26.64
707.0,26.55
708.0,26.53
709.0,26.47
710.0,26.4
711.0,26.35
712.0,26.32
713.0,26.28
714.0,26.23
715.0,26.2
716.0,26.16
717.0,26.11
718.0,26.04
719.0,25.97
720.0,25.91
721.0,25.87
722.0,25.83
723.0,25.81
724.0,25.76
725.0,25.66
726.0,25.62
727.0,25.57
728.0,25.51
729.0,25.45
730.0,25.38
731.0,25.36
732.0,25.29
733.0,25.24
734.0,25.18
735.0,25.17
736.0,25.11
737.0,25.05
738.0,25.01
739.0,24.97
740.0,24.89
741.0,24.83
742.0,24.77
743.0,24.72
744.0,24.67
745.0,24.64
746.0,24.58
747.0,24.57
748.0,24.48
749.0,24.46
750.0,24.44
751.0,24.42
752.0,24.39
753.0,24.34
754.0,24.32
755.0,24.26
756.0,24.24
757.0,24.16
758.0,24.11
759.0,24.06
760.0,24.06
761.0,24.04
762.0,24.0
763.0,23.97
764.0,23.93
765.0,23.92
766.0,23.89
767.0,23.85
768.0,23.84
769.0,23.82
770.0,23.77
771.0,23.72
772.0,23.65
773.0,23.61
774.0,23.58
775.0,23.5
776.0,23.45
777.0,23.42
778.0,23.36
779.0,23.33
780.0,23.31
781.0,23.27
782.0,23.2
783.0,23.16
784.0,23.12
785.0,23.09
786.0,23.09
787.0,23.02
788.0,23.0
789.0,22.95
790.0,22.92
791.0,22.89
792.0,22.86
793.0,22.81
794.0,22.78
795.0,22.75
796.0,22.7
797.0,22.68
798.0,22.64
799.0,22.59
800.0,22.51
801.0,22.5
802.0,22.49
803.0,22.46
804.0,22.43
805.0,22.38
806.0,22.38
807.0,22.37
808.0,22.33
809.0,22.32
810.0,22.28
811.0,22.26
812.0,22.23
813.0,22.18
814.0,22.16
815.0,22.12
816.0,22.09
817.0,22.07
818.0,22.06
819.0,22.05
820.0,22.05
821.0,22.0
822.0,21.92
823.0,21.91
824.0,21.87
825.0,21.83
826.0,21.81
827.0,21.75
828.0,21.68
829.0,21.64
830.0,21.62
831.0,21.6
832.0,21.59
833.0,21.57
834.0,21.53
835.0,21.49
836.0,21.47
837.0,21.46
838.0,21.42
839.0,21.38
840.0,21.31
841.0,21.29
842.0,21.25
843.0,21.25
844.0,21.24
845.0,21.21
846.0,21.14
847.0,21.11
848.0,21.1
849.0,21.03
850.0,21.01
851.0,21.0
852.0,20.95
853.0,20.93
854.0,20.93
855.0,20.9
856.0,20.87
857.0,20.84
858.0,20.83
859.0,20.79
860.0,20.76
861.0,20.72
862.0,20.67
863.0,20.66
864.0,20.64
865.0,20.59
866.0,20.58
867.0,20.53
868.0,20.43
869.0,20.41
870.0,20.38
871.0,20.38
872.0,20.36
873.0,20.34
874.0,20.33
875.0,20.27
876.0,20.24
877.0,20.22
878.0,20.18
879.0,20.15
880.0,20.13
881.0,20.11
882.0,20.1
883.0,20.08
884.0,20.06
885.0,20.05
886.0,20.02
887.0,20.02
888.0,19.99
889.0,19.97
890.0,19.96
891.0,19.94
892.0,19.93
893.0,19.9
894.0,19.84
895.0,19.8
896.0,19.77
897.0,19.73
898.0,19.7
899.0,19.66
900.0,19.62
901.0,19.61
902.0,19.6
903.0,19.56
904.0,19.51
905.0,19.48
906.0,19.47
907.0,19.43
908.0,19.41
909.0,19.38
910.0,19.34
911.0,19.24
912.0,19.18
913.0,19.15
914.0,19.12
915.0,19.05
916.0,19.01
917.0,18.97
918.0,18.93
919.0,18.9
920.0,18.88
921.0,18.85
922.0,18.83
923.0,18.79
924.0,18.76
925.0,18.72
926.0,18.67
927.0,18.66
928.0,18.64
929.0,18.62
930.0,18.6
931.0,18.55
932.0,18.53
933.0,18.52
934.0,18.49
935.0,18.44
936.0,18.41
937.0,18.36
938.0,18.35
939.0,18.33
940.0,18.33
941.0,18.31
942.0,18.28
943.0,18.26
944.0,18.22
945.0,18.17
946.0,18.15
947.0,18.14
948.0,18.11
949.0,18.07
950.0,18.02
951.0,18.0
952.0,18.0
953.0,17.98
954.0,17.94
955.0,17.93
956.0,17.88
957.0,17.87
958.0,17.83
959.0,17.8
960.0,17.76
961.0,17.73
962.0,17.68
963.0,17.65
964.0,17.64
965.0,17.6
966.0,17.59
967.0,17.55
968.0,17.54
969.0,17.51
970.0,17.5
971.0,17.47
972.0,17.46
973.0,17.46
974.0,17.42
975.0,17.4
976.0,17.38
977.0,17.33
978.0,17.31
979.0,17.28
980.0,17.27
981.0,17.24
982.0,17.23
983.0,17.23
984.0,17.2
985.0,17.19
986.0,17.18
987.0,17.18
988.0,17.13
989.0,17.1
990.0,17.08
991.0,17.07
992.0,17.02
993.0,16.99
994.0,16.95
995.0,16.92
996.0,16.88
997.0,16.87
998.0,16.86
999.0,16.83
1000.0,16.81
1001.0,16.79
1002.0,16.76
1003.0,16.73
1004.0,16.72
1005.0,16.72
1006.0,16.7
1007.0,16.68
1008.0,16.66
1009.0,16.64
1010.0,16.63
1011.0,16.61
1012.0,16.58
1013.0,16.56
1014.0,16.55
1015.0,16.54
1016.0,16.51
1017.0,16.5
1018.0,16.49
1019.0,16.48
1020.0,16.47
1021.0,16.47
1022.0,16.44
1023.0,16.43
1024.0,16.41
1025.0,16.4
1026.0,16.36
1027.0,16.36
1028.0,16.35
1029.0,16.35
1030.0,16.35
1031.0,16.34
1032.0,16.3
1033.0,16.26
1034.0,16.26
1035.0,16.26
1036.0,16.24
1037.0,16.23
1038.0,16.21
1039.0,16.18
1040.0,16.16
1041.0,16.13
1042.0,16.11
1043.0,16.11
1044.0,16.11
1045.0,16.11
1046.0,16.07
1047.0,16.04
1048.0,16.03
1049.0,16.01
1050.0,15.98
1051.0,15.96
1052.0,15.94
1053.0,15.93
1054.0,15.9
1055.0,15.88
1056.0,15.86
1057.0,15.86
1058.0,15.84
1059.0,15.83
1060.0,15.83
1061.0,15.83
1062.0,15.81
1063.0,15.79
1064.0,15.79
1065.0,15.76
1066.0,15.74
1067.0,15.73
1068.0,15.71
1069.0,15.69
1070.0,15.68
1071.0,15.67
1072.0,15.65
1073.0,15.62
1074.0,15.57
1075.0,15.57
1076.0,15.57
1077.0,15.55
1078.0,15.54
1079.0,15.53
1080.0,15.52
1081.0,15.47
1082.0,15.45
1083.0,15.43
1084.0,15.4
1085.0,15.38
1086.0,15.38
1087.0,15.37
1088.0,15.35
1089.0,15.35
1090.0,15.31
1091.0,15.28
1092.0,15.26
1093.0,15.25
1094.0,15.24
1095.0,15.24
1096.0,15.23
1097.0,15.2
1098.0,15.2
1099.0,15.16
1100.0,15.16
1101.0,15.14
1102.0,15.11
1103.0,15.1
1104.0,15.08
1105.0,15.06
1106.0,15.04
1107.0,15.02
1108.0,15.02
1109.0,14.99
1110.0,14.99
1111.0,14.99
1112.0,14.97
1113.0,14.96
1114.0,14.95
1115.0,14.94
1116.0,14.91
1117.0,14.87
1118.0,14.86
1119.0,14.85
1120.0,14.85
1121.0,14.83
1122.0,14.81
1123.0,14.79
1124.0,14.76
1125.0,14.75
1126.0,14.74
1127.0,14.73
1128.0,14.73
1129.0,14.71
1130.0,14.7
1131.0,14.68
1132.0,14.67
1133.0,14.63
1134.0,14.63
1135.0,14.62
1136.0,14.61
1137.0,14.61
1138.0,14.58
1139.0,14.56
1140.0,14.54
1141.0,14.54
1142.0,14.53
1143.0,14.52
1144.0,14.51
1145.0,14.47
1146.0,14.45
1147.0,14.43
1148.0,14.4
1149.0,14.39
1150.0,14.38
1151.0,14.36
1152.0,14.34
1153.0,14.33
1154.0,14.33
1155.0,14.28
1156.0,14.25
1157.0,14.24
1158.0,14.22
1159.0,14.21
1160.0,14.16
1161.0,14.14
1162.0,14.14
1163.0,14.12
1164.0,14.1
1165.0,14.09
1166.0,14.07
1167.0,14.06
1168.0,14.06
1169.0,14.04
1170.0,14.04
1171.0,14.03
1172.0,14.02
1173.0,14.0
1174.0,14.0
1175.0,14.0
1176.0,13.99
1177.0,13.98
1178.0,13.96
1179.0,13.95
1180.0,13.95
1181.0,13.93
1182.0,13.93
1183.0,13.93
1184.0,13.92
1185.0,13.91
1186.0,13.85
1187.0,13.84
1188.0,13.83
1189.0,13.83
1190.0,13.81
1191.0,13.8
1192.0,13.79
1193.0,13.79
1194.0,13.79
1195.0,13.78
1196.0,13.75
1197.0,13.74
1198.0,13.72
1199.0,13.7
1200.0,13.67
1201.0,13.67
1202.0,13.65
1203.0,13.63
1204.0,13.6
1205.0,13.6
1206.0,13.59
1207.0,13.58
1208.0,13.58
1209.0,13.54
1210.0,13.52
1211.0,13.49
1212.0,13.46
1213.0,13.46
1214.0,13.44
1215.0,13.42
1216.0,13.41
1217.0,13.39
1218.0,13.37
1219.0,13.36
1220.0,13.36
1221.0,13.35
1222.0,13.35
1223.0,13.33
1224.0,13.31
1225.0,13.3
1226.0,13.3
1227.0,13.29
1228.0,13.29
1229.0,13.28
1230.0,13.26
1231.0,13.26
1232.0,13.25
1233.0,13.24
1234.0,13.21
1235.0,13.19
1236.0,13.19
1237.0,13.18
1238.0,13.16
1239.0,13.15
1240.0,13.15
1241.0,13.15
1242.0,13.15
1243.0,13.15
1244.0,13.12
1245.0,13.1
1246.0,13.08
1247.0,13.07
1248.0,13.07
1249.0,13.06
1250.0,13.05
1251.0,13.04
1252.0,13.02
1253.0,13.02
1254.0,13.0
1255.0,12.99
1256.0,12.97
1257.0,12.93
1258.0,12.93
1259.0,12.92
1260.0,12.91
1261.0,12.89
1262.0,12.87
1263.0,12.87
1264.0,12.86
1265.0,12.86
1266.0,12.83
1267.0,12.82
1268.0,12.81
1269.0,12.79
1270.0,12.77
1271.0,12.77
1272.0,12.74
1273.0,12.73
1274.0,12.7
1275.0,12.7
1276.0,12.68
1277.0,12.67
1278.0,12.67
1279.0,12.66
1280.0,12.66
1281.0,12.65
1282.0,12.65
1283.0,12.64
1284.0,12.64
1285.0,12.62
1286.0,12.62
1287.0,12.59
1288.0,12.59
1289.0,12.58
1290.0,12.56
1291.0,12.55
1292.0,12.55
1293.0,12.55
1294.0,12.55
1295.0,12.55
1296.0,12.52
1297.0,12.5
1298.0,12.49
1299.0,12.48
1300.0,12.47
1301.0,12.47
1302.0,12.46
1303.0,12.46
1304.0,12.46
1305.0,12.46
1306.0,12.44
1307.0,12.44
1308.0,12.43
1309.0,12.43
1310.0,12.41
1311.0,12.38
1312.0,12.37
1313.0,12.36
1314.0,12.36
1315.0,12.33
1316.0,12.32
1317.0,12.3
1318.0,12.3
1319.0,12.27
1320.0,12.26
1321.0,12.25
1322.0,12.24
1323.0,12.23
1324.0,12.23
1325.0,12.23
1326.0,12.21
1327.0,12.21
1328.0,12.18
1329.0,12.15
1330.0,12.15
1331.0,12.15
1332.0,12.15
1333.0,12.12
1334.0,12.11
1335.0,12.11
1336.0,12.1
1337.0,12.1
1338.0,12.1
1339.0,12.1
1340.0,12.1
1341.0,12.1
1342.0,12.09
1343.0,12.08
1344.0,12.07
1345.0,12.06
1346.0,12.05
1347.0,12.05
1348.0,12.05
1349.0,12.05
1350.0,12.05
1351.0,12.04
1352.0,12.03
1353.0,12.02
1354.0,12.02
1355.0,12.02
1356.0,12.01
1357.0,12.01
1358.0,12.0
1359.0,11.99
1360.0,11.98
1361.0,11.97
1362.0,11.96
1363.0,11.96
1364.0,11.96
1365.0,11.96
1366.0,11.95
1367.0,11.93
1368.0,11.92
1369.0,11.92
1370.0,11.92
1371.0,11.91
1372.0,11.91
1373.0,11.88
1374.0,11.85
1375.0,11.83
1376.0,11.81
1377.0,11.79
1378.0,11.78
1379.0,11.77
1380.0,11.76
1381.0,11.73
1382.0,11.73
1383.0,11.73
1384.0,11.73
1385.0,11.73
1386.0,11.73
1387.0,11.72
1388.0,11.7
1389.0,11.68
1390.0,11.68
1391.0,11.68
1392.0,11.67
1393.0,11.67
1394.0,11.65
1395.0,11.64
1396.0,11.63
1397.0,11.63
1398.0,11.63
1399.0,11.61
1400.0,11.6
1401.0,11.6
1402.0,11.59
1403.0,11.57
1404.0,11.57
1405.0,11.56
1406.0,11.55
1407.0,11.54
1408.0,11.51
1409.0,11.51
1410.0,11.49
1411.0,11.48
1412.0,11.48
1413.0,11.46
1414.0,11.44
1415.0,11.44
1416.0,11.44
1417.0,11.42
1418.0,11.4
1419.0,11.39
1420.0,11.38
1421.0,11.38
1422.0,11.37
1423.0,11.37
1424.0,11.36
1425.0,11.34
1426.0,11.34
1427.0,11.3
1428.0,11.29
1429.0,11.29
1430.0,11.28
1431.0,11.28
1432.0,11.28
1433.0,11.26
1434.0,11.25
1435.0,11.24
1436.0,11.23
1437.0,11.23
1438.0,11.21
1439.0,11.21
1440.0,11.2
1441.0,11.2
1442.0,11.2
1443.0,11.19
1444.0,11.19
1445.0,11.17
