Time,Healthy,Undetectable,Detectable
0,999,1,0
1,999,1,0
2,999,1,0
3,998,2,0
4,997,3,0
5,994,6,0
6,994,6,0
7,994,6,0
8,991,9,0
9,989,11,0
10,988,12,0
11,988,12,0
12,988,12,0
13,984,16,0
14,983,17,0
15,983,17,0
16,982,18,0
17,981,19,0
18,979,21,0
19,977,23,0
20,972,28,0
21,965,35,0
22,965,35,0
23,964,35,1
24,961,38,1
25,957,42,1
26,953,45,2
27,949,49,2
28,945,53,2
29,943,55,2
30,941,57,2
31,941,57,2
32,938,60,2
33,930,68,2
34,926,72,2
35,924,74,2
36,919,78,3
37,914,83,3
38,912,84,4
39,909,87,4
40,906,89,5
41,905,90,5
42,903,92,5
43,899,96,5
44,897,98,5
45,893,101,6
46,887,107,6
47,879,114,7
48,871,122,7
49,865,128,7
50,854,139,7
51,844,149,7
52,841,152,7
53,833,158,9
54,827,164,9
55,822,168,10
56,814,176,10
57,807,183,10
58,798,192,10
59,792,198,10
60,780,209,11
