Number of Sentinels, EDP Mean
50,0.349143
49,0.349143
48,0.349143
47,0.349143
46,0.349143
45,0.349143
44,0.349143
43,0.349143
42,0.349143
41,0.349143
40,0.349143
39,0.349143
38,0.349143
37,0.349143
36,0.467619
35,0.467619
34,0.467619
33,0.522857
32,0.522857
31,0.522857
30,0.477905
29,0.477905
28,0.477905
27,0.477905
26,0.477905
25,0.477905
24,0.477905
23,0.477905
22,0.477905
21,0.477905
20,0.596381
19,0.596381
18,0.596381
17,0.596381
16,0.596381
15,0.596381
14,0.596381
13,0.596381
12,0.596381
11,0.596381
10,0.525143
9,0.649714
8,0.649714
7,0.594476
6,0.594476
5,0.594476
4,0.594476
3,0.594476
2,0.594476
1,0.520952
0,0.520952
