Number of Sentinels, EDP Mean
0,0.0352
1,0.03261
2,0.03181
3,0.02916
4,0.0303
5,0.02993
6,0.0287
7,0.02889
8,0.02845
9,0.02631
10,0.02651
11,0.02608
12,0.02542
13,0.02514
14,0.02529
15,0.02509
16,0.02399
17,0.02384
18,0.02332
19,0.02449
20,0.0249
21,0.02729
22,0.02736
23,0.02678
24,0.02733
25,0.02729
26,0.02698
27,0.02698
28,0.02639
29,0.02639
30,0.02645
31,0.02674
32,0.02655
33,0.02761
34,0.02866
35,0.02866
36,0.0288
37,0.02862
38,0.02771
39,0.02771
40,0.02809
41,0.02857
42,0.02856
43,0.02842
44,0.02956
45,0.03096
46,0.03108
47,0.03096
48,0.03054
49,0.03152
50,0.03134
