Number of Sentinels, EDP STD
50,0.267088
49,0.267088
48,0.267088
47,0.267088
46,0.267088
45,0.267088
44,0.267088
43,0.267088
42,0.267088
41,0.267088
40,0.267088
39,0.267088
38,0.267088
37,0.267088
36,0.35513
35,0.35513
34,0.35513
33,0.393431
32,0.393431
31,0.393431
30,0.351689
29,0.351689
28,0.351689
27,0.351689
26,0.351689
25,0.351689
24,0.351689
23,0.351689
22,0.351689
21,0.351689
20,0.285753
19,0.285753
18,0.285753
17,0.285753
16,0.285753
15,0.285753
14,0.285753
13,0.285753
12,0.285753
11,0.285753
10,0.302421
9,0.192207
8,0.192207
7,0.160595
6,0.160595
5,0.160595
4,0.160595
3,0.160595
2,0.160595
1,0.19975
0,0.19975
