Number of Sentinels, EDP STD
0,0.0341017
1,0.0305448
2,0.0305243
3,0.0279175
4,0.0305043
5,0.0275909
6,0.0267772
7,0.0266795
8,0.0266008
9,0.0246846
10,0.0257311
11,0.0250118
12,0.0240858
13,0.0233982
14,0.023693
15,0.0237776
16,0.0202058
17,0.0202418
18,0.0191701
19,0.0205994
20,0.021061
21,0.0241562
22,0.0240922
23,0.0239032
24,0.0250515
25,0.0245008
26,0.0245513
27,0.0245513
28,0.0243555
29,0.0243555
30,0.0249295
31,0.0251113
32,0.0239606
33,0.0250671
34,0.0258852
35,0.0258852
36,0.0259109
37,0.02552
38,0.0245753
39,0.0243258
40,0.0244718
41,0.0246053
42,0.0244604
43,0.0240774
44,0.0247143
45,0.0281058
46,0.0277986
47,0.0278731
48,0.0277505
49,0.029813
50,0.0298522
