Number of Sentinels, EDP Mean
50,0.75071
49,0.745811
48,0.726173
47,0.707604
46,0.683904
45,0.65843
44,0.631962
43,0.60946
42,0.590652
41,0.575542
40,0.557295
39,0.539988
38,0.526596
37,0.516597
36,0.502367
35,0.492027
34,0.481732
33,0.471145
32,0.461495
31,0.452143
30,0.44539
29,0.437964
28,0.433428
27,0.426438
26,0.418839
25,0.410307
24,0.403227
23,0.40184
22,0.397954
21,0.389352
20,0.383747
19,0.378741
18,0.376228
17,0.373044
16,0.3705
15,0.366603
14,0.36551
13,0.363745
12,0.362337
11,0.361254
10,0.359888
9,0.358527
8,0.357501
7,0.356481
6,0.356114
5,0.35576
4,0.355075
3,0.354029
2,0.354029
1,0.353683
0,0.353693
