Number of Sentinels, EDP STD
50,0.191374
49,0.189462
48,0.191968
47,0.194193
46,0.195709
45,0.195525
44,0.195695
43,0.191138
42,0.188282
41,0.185292
40,0.183493
39,0.182515
38,0.183185
37,0.183665
36,0.185155
35,0.184594
34,0.184279
33,0.18451
32,0.183671
31,0.182738
30,0.182157
29,0.181141
28,0.179823
27,0.178048
26,0.17594
25,0.173976
24,0.172592
23,0.172276
22,0.170647
21,0.167733
20,0.165427
19,0.163129
18,0.161901
17,0.160544
16,0.159221
15,0.157642
14,0.156993
13,0.155811
12,0.154584
11,0.153669
10,0.153152
9,0.152456
8,0.151905
7,0.151409
6,0.15117
5,0.150875
4,0.150363
3,0.1497
2,0.1497
1,0.149392
0,0.149467
