time,undetectable crops mean
0.0,3.0
1.0,3.06
2.0,3.16
3.0,3.21
4.0,3.25
5.0,3.31
6.0,3.33
7.0,3.42
8.0,3.48
9.0,3.52
10.0,3.64
11.0,3.75
12.0,3.88
13.0,3.95
14.0,4.04
15.0,4.14
16.0,4.27
17.0,4.33
18.0,4.43
19.0,4.5
20.0,4.54
21.0,4.59
22.0,4.71
23.0,4.76
24.0,4.87
25.0,4.93
26.0,4.98
27.0,5.06
28.0,5.14
29.0,5.25
30.0,5.3
31.0,5.36
32.0,5.44
33.0,5.53
34.0,5.62
35.0,5.67
36.0,5.75
37.0,5.87
38.0,5.95
39.0,6.04
40.0,6.07
41.0,6.15
42.0,6.21
43.0,6.34
44.0,6.47
45.0,6.55
46.0,6.68
47.0,6.8
48.0,6.82
49.0,6.89
50.0,7.0
51.0,7.05
52.0,7.13
53.0,7.21
54.0,7.3
55.0,7.38
56.0,7.51
57.0,7.56
58.0,7.63
59.0,7.67
60.0,7.73
61.0,7.83
62.0,7.97
63.0,8.0
64.0,8.15
65.0,8.23
66.0,8.31
67.0,8.48
68.0,8.51
69.0,8.53
70.0,8.63
71.0,8.72
72.0,8.75
73.0,8.86
74.0,8.96
75.0,9.03
76.0,9.08
77.0,9.16
78.0,9.2
79.0,9.33
80.0,9.42
81.0,9.52
82.0,9.53
83.0,9.63
84.0,9.7
85.0,9.86
86.0,9.92
87.0,9.97
88.0,10.12
89.0,10.21
90.0,10.28
91.0,10.39
92.0,10.56
93.0,10.71
94.0,10.75
95.0,10.8
96.0,10.85
97.0,10.94
98.0,10.98
99.0,11.07
100.0,11.18
101.0,11.25
102.0,11.32
103.0,11.41
104.0,11.48
105.0,11.62
106.0,11.66
107.0,11.71
108.0,11.85
109.0,11.98
110.0,12.12
111.0,12.2
112.0,12.29
113.0,12.36
114.0,12.47
115.0,12.56
116.0,12.63
117.0,12.76
118.0,12.86
119.0,12.98
120.0,13.09
121.0,13.21
122.0,13.4
123.0,13.55
124.0,13.63
125.0,13.66
126.0,13.68
127.0,13.71
128.0,13.8
129.0,13.86
130.0,14.0
131.0,14.08
132.0,14.21
133.0,14.28
134.0,14.33
135.0,14.37
136.0,14.42
137.0,14.5
138.0,14.57
139.0,14.66
140.0,14.74
141.0,14.79
142.0,14.83
143.0,14.9
144.0,14.92
145.0,15.01
146.0,15.06
147.0,15.19
148.0,15.28
149.0,15.33
150.0,15.38
151.0,15.43
152.0,15.48
153.0,15.61
154.0,15.7
155.0,15.81
156.0,15.97
157.0,16.07
158.0,16.14
159.0,16.24
160.0,16.31
161.0,16.48
162.0,16.54
163.0,16.66
164.0,16.72
165.0,16.8
166.0,16.92
167.0,17.0
168.0,17.13
169.0,17.29
170.0,17.42
171.0,17.5
172.0,17.58
173.0,17.7
174.0,17.79
175.0,17.96
176.0,18.06
177.0,18.11
178.0,18.18
179.0,18.33
180.0,18.37
181.0,18.43
182.0,18.56
183.0,18.65
184.0,18.72
185.0,18.88
186.0,18.94
187.0,19.14
188.0,19.26
189.0,19.39
190.0,19.49
191.0,19.55
192.0,19.68
193.0,19.69
194.0,19.76
195.0,19.83
196.0,19.88
197.0,19.96
198.0,20.01
199.0,20.14
200.0,20.32
201.0,20.33
202.0,20.44
203.0,20.54
204.0,20.67
205.0,20.75
206.0,20.87
207.0,20.96
208.0,21.05
209.0,21.08
210.0,21.2
211.0,21.27
212.0,21.37
213.0,21.47
214.0,21.61
215.0,21.74
216.0,21.85
217.0,21.86
218.0,21.91
219.0,22.03
220.0,22.1
221.0,22.24
222.0,22.29
223.0,22.42
224.0,22.51
225.0,22.6
226.0,22.68
227.0,22.75
228.0,22.8
229.0,22.87
230.0,22.96
231.0,23.03
232.0,23.06
233.0,23.17
234.0,23.2
235.0,23.33
236.0,23.4
237.0,23.43
238.0,23.45
239.0,23.54
240.0,23.56
241.0,23.66
242.0,23.78
243.0,23.82
244.0,23.9
245.0,23.98
246.0,24.07
247.0,24.08
248.0,24.18
249.0,24.27
250.0,24.4
251.0,24.53
252.0,24.58
253.0,24.68
254.0,24.72
255.0,24.89
256.0,24.96
257.0,25.03
258.0,25.05
259.0,25.11
260.0,25.23
261.0,25.27
262.0,25.36
263.0,25.39
264.0,25.47
265.0,25.53
266.0,25.61
267.0,25.73
268.0,25.82
269.0,25.96
270.0,26.0
271.0,26.06
272.0,26.12
273.0,26.08
274.0,26.12
275.0,26.26
276.0,26.29
277.0,26.33
278.0,26.42
279.0,26.56
280.0,26.52
281.0,26.55
282.0,26.58
283.0,26.65
284.0,26.76
285.0,26.79
286.0,26.84
287.0,26.91
288.0,27.03
289.0,27.11
290.0,27.18
291.0,27.26
292.0,27.31
293.0,27.36
294.0,27.36
295.0,27.46
296.0,27.48
297.0,27.5
298.0,27.54
299.0,27.51
300.0,27.56
301.0,27.63
302.0,27.69
303.0,27.68
304.0,27.75
305.0,27.8
306.0,27.78
307.0,27.88
308.0,27.98
309.0,28.03
310.0,28.13
311.0,28.17
312.0,28.14
313.0,28.17
314.0,28.2
315.0,28.28
316.0,28.38
317.0,28.36
318.0,28.38
319.0,28.39
320.0,28.5
321.0,28.52
322.0,28.56
323.0,28.62
324.0,28.62
325.0,28.67
326.0,28.77
327.0,28.82
328.0,28.85
329.0,28.94
330.0,29.01
331.0,29.13
332.0,29.15
333.0,29.14
334.0,29.14
335.0,29.23
336.0,29.28
337.0,29.3
338.0,29.33
339.0,29.42
340.0,29.51
341.0,29.59
342.0,29.67
343.0,29.81
344.0,29.87
345.0,29.99
346.0,30.04
347.0,30.07
348.0,30.12
349.0,30.13
350.0,30.16
351.0,30.25
352.0,30.3
353.0,30.33
354.0,30.39
355.0,30.45
356.0,30.52
357.0,30.57
358.0,30.62
359.0,30.71
360.0,30.9
361.0,30.86
362.0,30.83
363.0,30.84
364.0,31.0
365.0,31.04
366.0,31.13
367.0,31.19
368.0,31.2
369.0,31.22
370.0,31.28
371.0,31.38
372.0,31.34
373.0,31.33
374.0,31.39
375.0,31.42
376.0,31.51
377.0,31.55
378.0,31.52
379.0,31.54
380.0,31.65
381.0,31.62
382.0,31.72
383.0,31.82
384.0,31.86
385.0,31.96
386.0,32.04
387.0,32.13
388.0,32.17
389.0,32.21
390.0,32.21
391.0,32.2
392.0,32.29
393.0,32.31
394.0,32.34
395.0,32.34
396.0,32.35
397.0,32.41
398.0,32.38
399.0,32.4
400.0,32.4
401.0,32.41
402.0,32.46
403.0,32.47
404.0,32.49
405.0,32.47
406.0,32.51
407.0,32.57
