time,detectable crops mean
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.02
4.0,0.04
5.0,0.04
6.0,0.05
7.0,0.07
8.0,0.08
9.0,0.08
10.0,0.08
11.0,0.08
12.0,0.08
13.0,0.09
14.0,0.1
15.0,0.1
16.0,0.12
17.0,0.13
18.0,0.13
19.0,0.14
20.0,0.15
21.0,0.16
22.0,0.17
23.0,0.19
24.0,0.19
25.0,0.2
26.0,0.21
27.0,0.21
28.0,0.21
29.0,0.24
30.0,0.25
31.0,0.26
32.0,0.27
33.0,0.28
34.0,0.3
35.0,0.31
36.0,0.33
37.0,0.34
38.0,0.35
39.0,0.35
40.0,0.39
41.0,0.41
42.0,0.41
43.0,0.43
44.0,0.43
45.0,0.44
46.0,0.47
47.0,0.48
48.0,0.49
49.0,0.5
50.0,0.52
51.0,0.56
52.0,0.59
53.0,0.61
54.0,0.63
55.0,0.63
56.0,0.65
57.0,0.66
58.0,0.68
59.0,0.69
60.0,0.7
61.0,0.71
62.0,0.72
63.0,0.75
64.0,0.75
65.0,0.78
66.0,0.81
67.0,0.83
68.0,0.87
69.0,0.93
70.0,0.96
71.0,0.96
72.0,0.99
73.0,0.99
74.0,1.0
75.0,1.02
76.0,1.04
77.0,1.06
78.0,1.09
79.0,1.09
80.0,1.11
81.0,1.13
82.0,1.16
83.0,1.18
84.0,1.22
85.0,1.23
86.0,1.25
87.0,1.28
88.0,1.3
89.0,1.3
90.0,1.32
91.0,1.32
92.0,1.33
93.0,1.36
94.0,1.39
95.0,1.43
96.0,1.46
97.0,1.49
98.0,1.54
99.0,1.58
100.0,1.59
101.0,1.61
102.0,1.63
103.0,1.66
104.0,1.68
105.0,1.69
106.0,1.74
107.0,1.78
108.0,1.79
109.0,1.82
110.0,1.83
111.0,1.87
112.0,1.88
113.0,1.89
114.0,1.9
115.0,1.94
116.0,1.96
117.0,1.98
118.0,1.99
119.0,2.02
120.0,2.04
121.0,2.07
122.0,2.07
123.0,2.08
124.0,2.11
125.0,2.17
126.0,2.21
127.0,2.27
128.0,2.29
129.0,2.35
130.0,2.37
131.0,2.38
132.0,2.41
133.0,2.44
134.0,2.47
135.0,2.53
136.0,2.56
137.0,2.59
138.0,2.63
139.0,2.68
140.0,2.7
141.0,2.73
142.0,2.79
143.0,2.85
144.0,2.89
145.0,2.95
146.0,2.98
147.0,3.01
148.0,3.03
149.0,3.06
150.0,3.11
151.0,3.16
152.0,3.18
153.0,3.22
154.0,3.23
155.0,3.24
156.0,3.26
157.0,3.28
158.0,3.32
159.0,3.36
160.0,3.39
161.0,3.41
162.0,3.47
163.0,3.52
164.0,3.62
165.0,3.66
166.0,3.69
167.0,3.73
168.0,3.74
169.0,3.78
170.0,3.8
171.0,3.86
172.0,3.89
173.0,3.95
174.0,3.97
175.0,3.99
176.0,4.06
177.0,4.11
178.0,4.16
179.0,4.21
180.0,4.25
181.0,4.3
182.0,4.34
183.0,4.36
184.0,4.4
185.0,4.45
186.0,4.49
187.0,4.5
188.0,4.55
189.0,4.61
190.0,4.64
191.0,4.69
192.0,4.77
193.0,4.8
194.0,4.83
195.0,4.87
196.0,4.94
197.0,4.98
198.0,5.05
199.0,5.08
200.0,5.08
201.0,5.16
202.0,5.2
203.0,5.23
204.0,5.27
205.0,5.31
206.0,5.33
207.0,5.35
208.0,5.39
209.0,5.44
210.0,5.5
211.0,5.57
212.0,5.64
213.0,5.66
214.0,5.73
215.0,5.75
216.0,5.77
217.0,5.83
218.0,5.89
219.0,5.92
220.0,6.01
221.0,6.06
222.0,6.1
223.0,6.15
224.0,6.19
225.0,6.24
226.0,6.3
227.0,6.39
228.0,6.5
229.0,6.53
230.0,6.58
231.0,6.62
232.0,6.66
233.0,6.72
