Time,Healthy,Undetectable,Detectable
0,97,3,0
1,97,3,0
2,97,3,0
3,97,3,0
4,97,3,0
5,97,3,0
6,97,3,0
7,97,3,0
8,97,3,0
9,97,3,0
10,97,3,0
11,97,3,0
12,97,3,0
13,97,3,0
14,97,3,0
15,97,3,0
16,97,3,0
17,97,3,0
18,97,3,0
19,97,3,0
20,97,3,0
21,97,3,0
22,97,3,0
23,97,3,0
24,97,3,0
25,97,3,0
26,97,3,0
27,97,3,0
28,97,3,0
29,97,3,0
30,97,3,0
31,97,3,0
32,97,3,0
33,97,3,0
34,97,3,0
35,97,3,0
36,97,3,0
37,97,3,0
38,97,3,0
39,97,3,0
40,97,3,0
41,97,3,0
42,97,3,0
43,97,3,0
44,97,3,0
45,97,3,0
46,97,3,0
47,97,3,0
48,97,3,0
49,97,3,0
50,97,3,0
51,97,3,0
52,97,3,0
53,97,3,0
54,97,3,0
55,97,3,0
56,97,3,0
57,97,3,0
58,97,3,0
59,97,3,0
60,97,3,0
61,97,3,0
62,97,3,0
63,97,3,0
64,97,3,0
65,97,3,0
66,97,3,0
67,97,3,0
68,97,3,0
69,97,3,0
70,97,3,0
71,97,3,0
72,97,3,0
73,97,3,0
74,97,3,0
75,97,3,0
76,97,3,0
77,97,3,0
78,97,3,0
79,97,3,0
80,97,3,0
81,97,3,0
82,97,3,0
83,97,3,0
84,97,3,0
85,97,3,0
86,97,3,0
87,97,3,0
88,97,3,0
89,97,3,0
90,97,3,0
91,97,3,0
92,97,3,0
93,97,3,0
94,97,3,0
95,97,3,0
96,97,3,0
97,97,3,0
98,97,3,0
99,97,3,0
100,97,3,0
101,97,3,0
102,97,3,0
103,97,3,0
104,97,3,0
105,97,3,0
106,97,3,0
107,97,3,0
108,97,3,0
109,97,3,0
110,97,3,0
111,97,3,0
112,97,3,0
113,97,3,0
114,97,3,0
115,97,3,0
116,97,3,0
117,97,3,0
118,97,3,0
119,97,3,0
120,97,3,0
121,97,3,0
122,97,3,0
123,97,3,0
124,97,3,0
125,97,3,0
126,97,3,0
127,97,3,0
128,97,3,0
129,97,3,0
130,97,3,0
131,97,3,0
132,97,3,0
133,97,3,0
134,97,3,0
135,97,3,0
136,97,3,0
137,97,3,0
138,97,3,0
139,97,3,0
140,97,3,0
141,97,3,0
142,97,3,0
143,97,3,0
144,97,3,0
145,97,3,0
146,97,3,0
147,97,3,0
148,97,3,0
149,97,3,0
150,97,3,0
151,97,3,0
152,97,3,0
153,97,3,0
154,97,3,0
155,97,3,0
156,97,3,0
157,97,3,0
158,97,3,0
159,97,3,0
160,97,3,0
161,97,3,0
162,97,3,0
163,97,3,0
164,97,3,0
165,97,3,0
166,97,3,0
167,97,3,0
168,97,3,0
169,97,3,0
170,97,3,0
171,97,3,0
172,97,3,0
173,97,3,0
174,97,3,0
175,97,3,0
176,97,3,0
177,97,3,0
178,97,3,0
179,97,3,0
180,97,3,0
181,97,3,0
182,97,3,0
183,97,3,0
184,97,3,0
185,97,2,1
186,97,2,1
187,97,2,1
188,96,3,1
189,96,3,1
190,96,3,1
191,96,3,1
192,96,3,1
193,96,3,1
194,96,3,1
195,96,3,1
196,96,3,1
197,96,3,1
198,96,3,1
199,96,3,1
200,96,3,1
201,96,3,1
202,96,3,1
203,96,3,1
204,96,3,1
205,96,3,1
206,96,3,1
207,96,3,1
208,96,3,1
209,96,3,1
210,96,3,1
211,96,3,1
212,96,3,1
213,96,3,1
214,96,3,1
215,96,3,1
216,96,3,1
217,96,3,1
218,96,3,1
219,96,3,1
220,96,3,1
221,96,3,1
222,95,4,1
223,95,4,1
224,95,4,1
225,95,4,1
226,95,4,1
227,95,3,2
228,95,3,2
229,95,3,2
230,95,3,2
231,95,3,2
232,95,3,2
233,95,3,2
234,95,3,2
235,95,3,2
236,95,3,2
237,95,3,2
238,95,3,2
239,95,3,2
240,95,3,2
241,95,3,2
242,95,3,2
243,95,3,2
244,95,3,2
245,95,3,2
246,95,3,2
247,95,3,2
248,95,3,2
249,95,3,2
250,95,3,2
251,95,3,2
252,95,3,2
253,95,3,2
254,94,4,2
255,94,4,2
256,94,4,2
257,94,4,2
258,94,4,2
259,94,4,2
260,94,4,2
261,94,4,2
262,94,4,2
263,94,4,2
264,94,4,2
265,94,4,2
266,94,4,2
267,94,4,2
268,94,4,2
269,94,4,2
270,94,4,2
271,94,4,2
272,94,4,2
273,94,4,2
274,94,4,2
275,94,4,2
276,94,4,2
277,94,4,2
278,94,4,2
279,94,3,3
280,94,3,3
281,94,3,3
282,94,3,3
283,94,3,3
284,94,3,3
285,94,3,3
286,94,3,3
287,94,3,3
288,94,3,3
289,94,3,3
290,94,3,3
291,94,3,3
292,94,3,3
293,94,3,3
294,94,3,3
295,94,3,3
296,94,3,3
297,94,3,3
298,94,3,3
299,94,3,3
300,94,3,3
301,94,3,3
302,94,3,3
303,94,3,3
304,94,3,3
305,94,3,3
306,94,3,3
307,94,3,3
308,94,3,3
309,94,3,3
310,94,3,3
311,94,3,3
312,94,3,3
313,94,3,3
314,93,4,3
315,93,4,3
316,93,4,3
317,93,4,3
318,93,4,3
319,93,4,3
320,93,4,3
321,93,4,3
322,93,4,3
323,93,4,3
324,93,4,3
325,93,4,3
326,93,4,3
327,93,4,3
328,93,4,3
329,93,4,3
330,93,4,3
331,93,3,4
332,93,3,4
333,93,3,4
334,93,3,4
335,93,3,4
336,93,3,4
337,93,3,4
338,93,3,4
339,93,3,4
340,93,3,4
341,93,3,4
342,93,3,4
343,93,3,4
344,93,3,4
345,93,3,4
346,93,3,4
347,93,3,4
348,93,3,4
349,93,3,4
350,93,3,4
351,93,3,4
352,93,3,4
353,93,3,4
354,93,3,4
355,93,3,4
356,93,3,4
357,93,3,4
358,93,3,4
359,93,3,4
360,93,3,4
361,93,3,4
362,93,3,4
363,93,3,4
364,93,3,4
365,93,3,4
366,93,3,4
367,93,3,4
368,93,3,4
369,93,3,4
370,93,3,4
371,93,3,4
372,93,3,4
373,93,3,4
374,93,3,4
375,92,4,4
376,92,4,4
377,92,4,4
378,92,4,4
379,92,4,4
380,92,4,4
381,92,4,4
382,92,4,4
383,92,4,4
384,92,4,4
385,92,4,4
386,91,5,4
387,91,4,5
388,91,4,5
389,91,4,5
390,91,4,5
391,91,4,5
392,91,4,5
393,91,4,5
394,91,4,5
395,91,4,5
396,91,4,5
397,91,4,5
398,91,4,5
399,91,4,5
400,91,4,5
401,91,4,5
402,91,4,5
403,91,4,5
404,90,5,5
405,90,5,5
406,90,5,5
407,90,5,5
408,90,5,5
409,90,5,5
410,90,5,5
411,89,6,5
412,88,7,5
413,88,7,5
414,88,7,5
415,88,7,5
416,88,7,5
417,88,7,5
418,88,7,5
419,88,7,5
420,88,7,5
421,88,7,5
422,88,7,5
