time,undetectable sentinels mean
0.0,0.0
1.0,0.07
2.0,0.15
3.0,0.26
4.0,0.38
5.0,0.44
6.0,0.49
7.0,0.56
8.0,0.59
9.0,0.72
10.0,0.76
11.0,0.84
12.0,0.87
13.0,0.91
14.0,0.95
15.0,1.01
16.0,1.09
17.0,1.18
18.0,1.21
19.0,1.33
20.0,1.33
21.0,1.38
22.0,1.45
23.0,1.52
24.0,1.57
25.0,1.64
26.0,1.73
27.0,1.78
28.0,1.82
29.0,1.88
30.0,1.91
31.0,1.95
32.0,1.98
33.0,1.96
34.0,2.03
35.0,2.02
36.0,2.02
37.0,2.05
38.0,2.08
39.0,2.16
40.0,2.24
41.0,2.34
42.0,2.41
43.0,2.42
44.0,2.44
45.0,2.48
46.0,2.61
47.0,2.62
48.0,2.67
49.0,2.71
50.0,2.75
51.0,2.78
52.0,2.79
53.0,2.83
54.0,2.91
55.0,2.99
56.0,3.05
57.0,3.1
58.0,3.06
59.0,3.07
60.0,3.13
61.0,3.09
62.0,3.1
63.0,3.14
64.0,3.21
65.0,3.24
66.0,3.24
67.0,3.32
68.0,3.3
69.0,3.33
70.0,3.34
71.0,3.38
72.0,3.47
73.0,3.52
74.0,3.59
75.0,3.73
76.0,3.75
77.0,3.77
78.0,3.83
79.0,3.94
80.0,3.96
81.0,4.1
82.0,4.09
83.0,4.19
84.0,4.26
85.0,4.3
86.0,4.32
87.0,4.37
88.0,4.37
89.0,4.38
90.0,4.37
91.0,4.43
92.0,4.55
93.0,4.53
94.0,4.58
95.0,4.64
96.0,4.7
97.0,4.68
98.0,4.66
99.0,4.62
100.0,4.61
101.0,4.65
102.0,4.7
103.0,4.65
104.0,4.66
105.0,4.72
106.0,4.77
107.0,4.83
108.0,4.82
109.0,4.86
110.0,4.92
111.0,4.9
112.0,4.96
113.0,4.95
114.0,4.93
115.0,4.91
116.0,4.88
117.0,4.9
118.0,4.93
119.0,4.94
120.0,5.07
121.0,5.14
122.0,5.17
123.0,5.16
124.0,5.25
125.0,5.24
126.0,5.29
127.0,5.27
128.0,5.29
129.0,5.28
130.0,5.34
131.0,5.36
132.0,5.38
133.0,5.35
134.0,5.35
135.0,5.33
136.0,5.29
137.0,5.38
138.0,5.47
139.0,5.45
140.0,5.44
141.0,5.4
142.0,5.39
143.0,5.4
144.0,5.4
145.0,5.39
146.0,5.33
147.0,5.35
148.0,5.35
149.0,5.25
150.0,5.2
151.0,5.21
152.0,5.25
153.0,5.39
154.0,5.42
155.0,5.53
156.0,5.55
157.0,5.66
158.0,5.7
159.0,5.7
160.0,5.7
161.0,5.67
162.0,5.69
163.0,5.68
164.0,5.62
165.0,5.69
166.0,5.73
167.0,5.73
168.0,5.63
169.0,5.66
170.0,5.65
171.0,5.66
172.0,5.7
173.0,5.77
174.0,5.88
175.0,5.84
176.0,5.73
177.0,5.67
178.0,5.68
179.0,5.8
180.0,5.92
181.0,5.97
182.0,6.0
183.0,6.03
184.0,6.05
185.0,6.07
186.0,6.07
187.0,6.03
188.0,6.05
189.0,6.04
190.0,6.03
191.0,6.02
192.0,6.0
193.0,5.99
194.0,5.99
195.0,5.98
196.0,6.02
197.0,5.95
198.0,5.95
199.0,5.86
200.0,5.8
201.0,5.8
202.0,5.85
203.0,5.76
204.0,5.72
205.0,5.77
206.0,5.75
207.0,5.8
208.0,5.79
209.0,5.88
210.0,5.83
211.0,5.81
212.0,5.8
213.0,5.84
214.0,5.8
215.0,5.83
216.0,5.81
217.0,5.83
218.0,5.92
219.0,5.85
220.0,5.85
221.0,5.85
222.0,5.99
223.0,6.04
224.0,6.01
225.0,6.03
226.0,6.01
227.0,6.05
228.0,6.11
229.0,6.12
230.0,6.18
231.0,6.18
232.0,6.19
233.0,6.23
234.0,6.27
235.0,6.27
236.0,6.26
237.0,6.27
238.0,6.23
239.0,6.21
240.0,6.14
241.0,6.08
242.0,6.09
243.0,6.21
244.0,6.21
245.0,6.21
246.0,6.2
247.0,6.25
248.0,6.32
249.0,6.28
250.0,6.27
251.0,6.22
252.0,6.17
253.0,6.2
254.0,6.21
255.0,6.25
256.0,6.24
257.0,6.21
258.0,6.16
259.0,6.1
260.0,6.15
261.0,6.18
262.0,6.12
263.0,6.15
264.0,6.26
265.0,6.19
266.0,6.28
267.0,6.29
268.0,6.33
269.0,6.4
270.0,6.47
271.0,6.42
272.0,6.4
273.0,6.42
274.0,6.4
275.0,6.43
276.0,6.44
277.0,6.49
278.0,6.55
279.0,6.43
280.0,6.43
281.0,6.42
282.0,6.42
283.0,6.36
284.0,6.44
285.0,6.38
286.0,6.35
287.0,6.34
288.0,6.31
289.0,6.37
290.0,6.46
291.0,6.44
292.0,6.35
293.0,6.44
294.0,6.42
295.0,6.4
296.0,6.42
297.0,6.38
298.0,6.37
299.0,6.43
300.0,6.43
301.0,6.46
302.0,6.49
303.0,6.46
304.0,6.38
305.0,6.37
306.0,6.31
307.0,6.36
308.0,6.35
309.0,6.46
310.0,6.43
311.0,6.42
312.0,6.38
313.0,6.38
314.0,6.4
315.0,6.37
316.0,6.35
317.0,6.39
318.0,6.33
319.0,6.31
320.0,6.28
321.0,6.31
322.0,6.37
323.0,6.26
324.0,6.29
325.0,6.29
326.0,6.28
327.0,6.25
328.0,6.19
329.0,6.19
330.0,6.29
331.0,6.25
332.0,6.26
333.0,6.22
334.0,6.21
335.0,6.22
336.0,6.25
337.0,6.19
338.0,6.2
339.0,6.12
340.0,6.04
341.0,5.96
342.0,5.99
343.0,5.99
344.0,6.01
345.0,5.98
346.0,6.09
347.0,6.17
348.0,6.16
349.0,6.15
350.0,6.2
351.0,6.28
352.0,6.28
353.0,6.38
354.0,6.39
355.0,6.42
356.0,6.47
357.0,6.47
358.0,6.45
359.0,6.43
360.0,6.41
361.0,6.4
362.0,6.41
363.0,6.44
364.0,6.49
365.0,6.44
366.0,6.47
367.0,6.61
368.0,6.55
369.0,6.48
370.0,6.37
371.0,6.32
372.0,6.36
373.0,6.39
374.0,6.31
375.0,6.32
376.0,6.27
377.0,6.24
378.0,6.15
379.0,6.12
380.0,6.14
381.0,6.1
382.0,6.1
383.0,6.08
384.0,6.13
385.0,6.1
386.0,6.0
387.0,5.89
388.0,5.87
389.0,5.8
390.0,5.76
391.0,5.74
392.0,5.73
393.0,5.82
394.0,5.8
395.0,5.78
396.0,5.82
397.0,5.81
398.0,5.84
399.0,5.78
400.0,5.88
401.0,5.82
402.0,5.8
403.0,5.82
404.0,5.82
405.0,5.74
406.0,5.72
407.0,5.61
408.0,5.6
409.0,5.51
410.0,5.51
411.0,5.44
412.0,5.42
413.0,5.45
414.0,5.53
415.0,5.52
416.0,5.57
417.0,5.65
418.0,5.62
419.0,5.67
420.0,5.6
421.0,5.6
422.0,5.68
423.0,5.63
424.0,5.62
425.0,5.63
426.0,5.68
427.0,5.67
428.0,5.7
429.0,5.68
430.0,5.66
431.0,5.68
432.0,5.62
433.0,5.65
434.0,5.68
435.0,5.61
436.0,5.51
437.0,5.49
438.0,5.47
439.0,5.43
440.0,5.47
441.0,5.49
442.0,5.47
443.0,5.49
444.0,5.57
445.0,5.54
446.0,5.52
447.0,5.47
448.0,5.56
449.0,5.54
450.0,5.47
451.0,5.39
452.0,5.39
453.0,5.38
454.0,5.42
455.0,5.36
456.0,5.41
457.0,5.44
458.0,5.4
459.0,5.42
460.0,5.39
461.0,5.34
462.0,5.33
463.0,5.37
464.0,5.41
465.0,5.46
466.0,5.48
467.0,5.49
468.0,5.43
469.0,5.4
470.0,5.43
471.0,5.4
472.0,5.4
473.0,5.43
474.0,5.35
475.0,5.37
476.0,5.38
477.0,5.39
478.0,5.35
479.0,5.42
480.0,5.41
481.0,5.4
482.0,5.33
483.0,5.4
484.0,5.36
485.0,5.32
486.0,5.31
487.0,5.27
488.0,5.29
489.0,5.28
490.0,5.4
491.0,5.39
492.0,5.4
493.0,5.37
494.0,5.43
495.0,5.41
496.0,5.41
497.0,5.45
498.0,5.42
499.0,5.47
500.0,5.49
501.0,5.5
502.0,5.5
503.0,5.58
504.0,5.58
505.0,5.45
506.0,5.45
507.0,5.35
508.0,5.29
509.0,5.23
510.0,5.25
511.0,5.27
512.0,5.39
513.0,5.43
514.0,5.41
515.0,5.39
516.0,5.35
517.0,5.25
518.0,5.27
519.0,5.12
520.0,5.14
521.0,5.08
522.0,5.01
523.0,4.95
524.0,4.94
525.0,4.9
526.0,4.85
527.0,4.84
528.0,4.85
529.0,4.82
530.0,4.84
531.0,4.79
532.0,4.78
533.0,4.75
534.0,4.73
535.0,4.69
536.0,4.77
537.0,4.73
538.0,4.72
539.0,4.65
540.0,4.6
541.0,4.64
542.0,4.59
543.0,4.59
544.0,4.55
545.0,4.58
546.0,4.59
547.0,4.53
548.0,4.53
549.0,4.47
550.0,4.43
551.0,4.46
552.0,4.38
553.0,4.42
554.0,4.47
555.0,4.5
556.0,4.46
557.0,4.5
558.0,4.55
559.0,4.54
560.0,4.5
561.0,4.51
562.0,4.44
563.0,4.39
564.0,4.37
565.0,4.34
566.0,4.31
567.0,4.31
568.0,4.29
569.0,4.32
570.0,4.25
571.0,4.26
572.0,4.26
573.0,4.19
574.0,4.17
575.0,4.21
576.0,4.26
577.0,4.23
578.0,4.17
579.0,4.16
580.0,4.15
581.0,4.15
582.0,4.12
583.0,4.13
584.0,4.14
585.0,4.19
586.0,4.16
587.0,4.12
588.0,4.11
589.0,4.13
590.0,4.11
591.0,4.1
592.0,4.1
593.0,4.03
594.0,3.97
595.0,4.01
596.0,4.09
597.0,4.11
598.0,4.11
599.0,4.02
600.0,4.03
601.0,4.04
602.0,4.0
603.0,4.06
604.0,4.03
605.0,4.02
606.0,3.97
607.0,4.01
608.0,3.91
609.0,3.91
610.0,3.94
611.0,3.95
612.0,3.85
613.0,3.9
614.0,3.91
615.0,3.91
616.0,3.88
617.0,3.87
618.0,3.84
619.0,3.81
620.0,3.82
621.0,3.82
622.0,3.81
623.0,3.75
624.0,3.77
625.0,3.8
626.0,3.81
627.0,3.82
628.0,3.81
629.0,3.77
630.0,3.76
631.0,3.77
632.0,3.77
633.0,3.81
634.0,3.82
635.0,3.76
636.0,3.73
637.0,3.74
638.0,3.72
639.0,3.7
640.0,3.66
641.0,3.59
642.0,3.57
643.0,3.54
644.0,3.5
645.0,3.49
646.0,3.54
647.0,3.45
648.0,3.44
649.0,3.45
650.0,3.44
651.0,3.47
652.0,3.47
653.0,3.39
654.0,3.43
655.0,3.4
656.0,3.41
657.0,3.38
658.0,3.39
659.0,3.35
660.0,3.34
661.0,3.38
662.0,3.39
663.0,3.31
664.0,3.27
665.0,3.19
666.0,3.16
667.0,3.19
668.0,3.21
669.0,3.23
670.0,3.24
671.0,3.26
672.0,3.29
673.0,3.31
674.0,3.32
675.0,3.26
676.0,3.26
677.0,3.27
678.0,3.28
679.0,3.23
680.0,3.28
681.0,3.27
682.0,3.27
683.0,3.26
684.0,3.19
685.0,3.17
686.0,3.18
687.0,3.17
688.0,3.14
689.0,3.14
690.0,3.15
691.0,3.18
692.0,3.17
693.0,3.11
694.0,3.2
695.0,3.17
696.0,3.18
697.0,3.12
698.0,3.07
699.0,3.05
700.0,3.07
701.0,3.08
702.0,3.09
703.0,3.09
704.0,3.09
705.0,3.05
706.0,3.08
707.0,3.02
708.0,3.06
709.0,3.07
710.0,3.02
711.0,2.95
712.0,2.98
713.0,2.98
714.0,2.92
715.0,2.89
716.0,2.88
717.0,2.87
718.0,2.84
719.0,2.81
720.0,2.81
721.0,2.78
722.0,2.77
723.0,2.76
724.0,2.73
725.0,2.74
726.0,2.79
727.0,2.82
728.0,2.81
729.0,2.78
730.0,2.75
731.0,2.76
732.0,2.72
733.0,2.68
734.0,2.68
735.0,2.72
736.0,2.7
737.0,2.7
738.0,2.69
739.0,2.71
740.0,2.73
741.0,2.72
742.0,2.75
743.0,2.73
744.0,2.7
745.0,2.72
746.0,2.75
747.0,2.76
748.0,2.77
749.0,2.76
750.0,2.78
751.0,2.8
752.0,2.82
753.0,2.79
754.0,2.8
755.0,2.77
756.0,2.72
757.0,2.72
758.0,2.71
759.0,2.66
760.0,2.68
761.0,2.69
762.0,2.65
763.0,2.65
764.0,2.61
765.0,2.61
766.0,2.55
767.0,2.56
768.0,2.58
769.0,2.6
770.0,2.57
771.0,2.58
772.0,2.62
773.0,2.67
774.0,2.7
775.0,2.69
776.0,2.69
777.0,2.71
778.0,2.68
779.0,2.67
780.0,2.66
781.0,2.65
782.0,2.59
783.0,2.56
784.0,2.53
785.0,2.52
786.0,2.51
787.0,2.57
788.0,2.56
789.0,2.53
790.0,2.5
791.0,2.46
792.0,2.41
793.0,2.4
794.0,2.4
795.0,2.38
796.0,2.35
797.0,2.29
798.0,2.34
799.0,2.31
800.0,2.28
801.0,2.27
802.0,2.25
803.0,2.2
804.0,2.18
805.0,2.17
806.0,2.18
807.0,2.17
808.0,2.17
809.0,2.14
810.0,2.08
811.0,2.11
812.0,2.11
813.0,2.09
814.0,2.1
815.0,2.07
816.0,2.05
817.0,2.08
818.0,2.06
819.0,2.09
820.0,2.02
821.0,2.01
822.0,2.03
823.0,1.99
824.0,2.01
825.0,2.01
826.0,1.95
827.0,2.0
828.0,1.99
829.0,2.02
830.0,2.02
831.0,2.0
832.0,1.98
833.0,2.02
834.0,2.0
835.0,2.0
836.0,2.03
837.0,1.99
838.0,1.94
839.0,1.95
840.0,1.97
841.0,1.97
842.0,1.97
843.0,2.0
844.0,2.01
845.0,2.06
846.0,2.05
847.0,2.09
848.0,2.1
849.0,2.07
850.0,2.04
851.0,2.05
852.0,2.08
853.0,2.08
854.0,2.08
855.0,2.06
856.0,2.06
857.0,2.05
858.0,2.02
859.0,1.99
860.0,1.99
861.0,1.99
862.0,1.99
863.0,1.99
864.0,2.03
865.0,2.02
866.0,2.03
867.0,2.05
868.0,2.03
869.0,2.0
870.0,1.95
871.0,1.95
872.0,1.94
873.0,1.88
874.0,1.88
875.0,1.83
876.0,1.81
877.0,1.84
878.0,1.77
879.0,1.77
880.0,1.73
881.0,1.74
882.0,1.72
883.0,1.71
884.0,1.68
885.0,1.68
886.0,1.65
887.0,1.64
888.0,1.68
889.0,1.68
890.0,1.66
891.0,1.66
892.0,1.67
