time,detectable sentinels mean
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.01
4.0,0.01
5.0,0.02
6.0,0.02
7.0,0.02
8.0,0.02
9.0,0.03
10.0,0.06
11.0,0.06
12.0,0.09
13.0,0.1
14.0,0.11
15.0,0.13
16.0,0.16
17.0,0.18
18.0,0.24
19.0,0.28
20.0,0.33
21.0,0.37
22.0,0.41
23.0,0.42
24.0,0.43
25.0,0.46
26.0,0.49
27.0,0.52
28.0,0.58
29.0,0.61
30.0,0.62
31.0,0.7
32.0,0.73
33.0,0.78
34.0,0.81
35.0,0.87
36.0,0.94
37.0,1.01
38.0,1.03
39.0,1.07
40.0,1.11
41.0,1.14
42.0,1.18
43.0,1.23
44.0,1.29
45.0,1.3
46.0,1.32
47.0,1.4
48.0,1.44
49.0,1.49
50.0,1.53
51.0,1.57
52.0,1.64
53.0,1.69
54.0,1.75
55.0,1.82
56.0,1.87
57.0,1.95
58.0,2.04
59.0,2.1
60.0,2.15
61.0,2.23
62.0,2.31
63.0,2.35
64.0,2.42
65.0,2.5
66.0,2.57
67.0,2.62
68.0,2.72
69.0,2.77
70.0,2.85
71.0,2.93
72.0,2.97
73.0,3.04
74.0,3.12
75.0,3.17
76.0,3.25
77.0,3.35
78.0,3.43
79.0,3.51
80.0,3.59
81.0,3.62
82.0,3.73
83.0,3.78
84.0,3.83
85.0,3.9
86.0,3.97
87.0,4.05
88.0,4.18
89.0,4.28
90.0,4.39
91.0,4.47
92.0,4.52
93.0,4.65
94.0,4.7
95.0,4.78
96.0,4.86
97.0,4.97
98.0,5.07
99.0,5.22
100.0,5.29
101.0,5.37
102.0,5.44
103.0,5.59
104.0,5.7
105.0,5.78
106.0,5.88
107.0,5.92
108.0,6.0
109.0,6.05
110.0,6.08
111.0,6.19
112.0,6.29
113.0,6.35
114.0,6.44
115.0,6.54
116.0,6.65
117.0,6.76
118.0,6.86
119.0,6.96
120.0,7.03
121.0,7.15
122.0,7.24
123.0,7.4
124.0,7.47
125.0,7.56
126.0,7.63
127.0,7.8
128.0,7.89
129.0,7.98
130.0,8.08
131.0,8.16
132.0,8.29
133.0,8.4
134.0,8.46
135.0,8.58
136.0,8.71
137.0,8.8
138.0,8.89
139.0,9.0
140.0,9.16
141.0,9.29
142.0,9.36
143.0,9.45
144.0,9.57
145.0,9.7
146.0,9.86
147.0,9.97
148.0,10.1
149.0,10.24
150.0,10.41
151.0,10.52
152.0,10.65
153.0,10.73
154.0,10.87
155.0,10.97
156.0,11.07
157.0,11.13
158.0,11.21
159.0,11.38
160.0,11.49
161.0,11.6
162.0,11.71
163.0,11.83
164.0,11.99
165.0,12.05
166.0,12.17
167.0,12.28
168.0,12.4
169.0,12.49
170.0,12.62
171.0,12.71
172.0,12.81
173.0,12.87
174.0,12.91
175.0,13.07
176.0,13.23
177.0,13.36
178.0,13.49
179.0,13.55
180.0,13.62
181.0,13.7
182.0,13.81
183.0,13.91
184.0,14.0
185.0,14.13
186.0,14.28
187.0,14.39
188.0,14.52
189.0,14.67
190.0,14.78
191.0,14.91
192.0,15.04
193.0,15.14
194.0,15.26
195.0,15.4
196.0,15.51
197.0,15.65
198.0,15.81
199.0,16.03
200.0,16.14
201.0,16.25
202.0,16.39
203.0,16.55
204.0,16.68
205.0,16.76
206.0,16.93
207.0,17.02
208.0,17.18
209.0,17.27
210.0,17.42
211.0,17.54
212.0,17.67
213.0,17.77
214.0,17.93
215.0,18.08
216.0,18.23
217.0,18.4
218.0,18.46
219.0,18.64
220.0,18.76
221.0,18.9
222.0,18.98
223.0,19.07
224.0,19.24
225.0,19.37
226.0,19.53
227.0,19.61
228.0,19.75
229.0,19.89
230.0,19.97
231.0,20.1
232.0,20.25
233.0,20.33
