Time,Healthy,Undetectable,Detectable
0,97,3,0
1,97,3,0
2,97,3,0
3,97,3,0
4,97,3,0
5,97,3,0
6,97,3,0
7,97,3,0
8,97,3,0
9,97,3,0
10,97,3,0
11,97,3,0
12,97,3,0
13,97,2,1
14,97,2,1
15,97,2,1
16,97,2,1
17,97,2,1
18,96,3,1
19,96,3,1
20,96,3,1
21,96,3,1
22,96,3,1
23,96,3,1
24,96,3,1
25,96,3,1
26,96,3,1
27,96,3,1
28,96,3,1
29,96,3,1
30,96,3,1
31,96,3,1
32,96,3,1
33,96,3,1
34,96,3,1
35,96,3,1
36,96,3,1
37,96,3,1
38,96,3,1
39,96,3,1
40,96,3,1
41,95,4,1
42,95,4,1
43,95,4,1
44,94,5,1
45,94,5,1
46,94,5,1
47,94,5,1
48,94,5,1
49,94,5,1
50,94,5,1
51,94,5,1
52,94,5,1
53,94,5,1
54,94,5,1
55,94,5,1
56,94,5,1
57,94,5,1
58,94,5,1
59,94,5,1
60,94,5,1
61,94,5,1
62,94,5,1
63,94,5,1
64,94,5,1
65,94,5,1
66,93,6,1
67,91,8,1
68,91,8,1
69,91,8,1
70,91,8,1
71,91,8,1
72,91,8,1
73,91,8,1
74,91,8,1
75,91,8,1
76,91,8,1
77,91,8,1
78,91,8,1
79,91,8,1
80,91,8,1
81,90,9,1
82,90,9,1
83,90,9,1
84,90,9,1
85,90,9,1
86,90,9,1
87,90,9,1
88,90,9,1
89,90,9,1
90,90,9,1
91,90,9,1
92,90,9,1
93,89,10,1
94,89,10,1
95,89,10,1
96,89,10,1
97,89,9,2
98,89,8,3
99,88,9,3
100,88,9,3
101,88,9,3
102,88,9,3
103,88,9,3
104,88,9,3
105,88,9,3
106,88,9,3
107,88,9,3
108,87,10,3
109,87,10,3
110,87,10,3
111,87,10,3
112,87,10,3
113,87,10,3
114,87,10,3
115,87,10,3
116,87,10,3
117,86,11,3
118,86,11,3
119,86,11,3
120,86,11,3
121,85,12,3
122,85,12,3
123,85,12,3
124,85,12,3
125,85,12,3
126,85,12,3
127,85,12,3
128,85,12,3
129,84,13,3
130,84,13,3
131,84,13,3
132,84,13,3
133,84,13,3
134,84,13,3
135,84,13,3
136,84,13,3
137,84,13,3
138,84,13,3
139,84,13,3
140,84,13,3
141,84,13,3
142,84,13,3
143,84,13,3
144,84,13,3
145,84,13,3
146,84,13,3
147,84,13,3
148,84,13,3
149,84,13,3
150,84,13,3
151,84,13,3
152,84,13,3
153,84,13,3
154,84,13,3
155,84,13,3
156,83,14,3
157,83,14,3
158,83,14,3
159,83,14,3
160,83,14,3
161,83,14,3
162,83,14,3
163,83,14,3
164,83,14,3
165,83,14,3
166,83,14,3
167,83,14,3
168,83,14,3
169,83,14,3
170,83,14,3
171,83,14,3
172,83,14,3
173,82,15,3
174,82,15,3
175,82,15,3
176,81,16,3
177,81,16,3
178,81,16,3
179,81,16,3
180,81,16,3
181,81,16,3
182,81,16,3
183,81,16,3
184,81,16,3
185,81,16,3
186,81,16,3
187,81,16,3
188,81,16,3
189,81,16,3
190,81,16,3
191,81,16,3
192,79,18,3
193,79,18,3
194,79,18,3
195,79,18,3
196,79,18,3
197,79,18,3
198,79,18,3
199,79,18,3
200,79,18,3
201,79,17,4
202,78,18,4
203,78,18,4
204,78,18,4
205,78,18,4
206,77,19,4
207,77,19,4
208,77,19,4
209,77,19,4
210,77,19,4
211,77,19,4
212,77,19,4
213,77,19,4
214,77,19,4
215,77,19,4
216,77,19,4
217,76,20,4
218,76,20,4
219,76,20,4
220,76,19,5
221,76,19,5
222,75,20,5
223,75,20,5
224,75,20,5
225,74,21,5
226,74,20,6
227,74,20,6
228,73,21,6
229,73,21,6
230,73,21,6
231,73,21,6
232,73,21,6
233,72,22,6
234,72,22,6
235,71,23,6
236,71,23,6
237,71,23,6
238,71,23,6
239,71,23,6
240,71,23,6
241,71,23,6
242,71,23,6
243,71,22,7
244,71,22,7
245,71,22,7
246,71,22,7
247,71,22,7
248,71,22,7
249,71,22,7
250,71,22,7
251,71,22,7
252,71,22,7
253,71,22,7
254,71,22,7
255,71,22,7
256,70,23,7
257,70,23,7
258,69,24,7
259,69,24,7
260,69,24,7
261,69,24,7
262,69,24,7
263,68,25,7
264,67,26,7
265,67,25,8
266,67,25,8
267,67,25,8
268,67,25,8
269,67,25,8
270,67,24,9
271,67,24,9
272,67,24,9
273,67,24,9
274,67,23,10
275,67,23,10
276,67,23,10
277,67,23,10
278,67,23,10
279,67,23,10
280,67,23,10
281,66,24,10
282,66,24,10
283,66,24,10
284,66,24,10
285,66,24,10
286,66,24,10
287,66,24,10
288,66,24,10
289,66,24,10
290,66,24,10
291,66,24,10
292,66,24,10
293,66,24,10
294,66,24,10
295,66,24,10
296,66,24,10
297,66,24,10
298,66,24,10
299,66,23,11
300,66,23,11
301,66,23,11
302,66,22,12
303,66,22,12
304,66,22,12
305,66,22,12
306,65,23,12
307,65,23,12
308,65,23,12
309,65,23,12
310,65,23,12
311,65,23,12
312,65,23,12
313,65,23,12
314,65,23,12
315,65,23,12
316,65,23,12
317,65,23,12
318,65,23,12
319,65,23,12
320,64,24,12
321,64,24,12
322,64,24,12
323,63,25,12
324,63,25,12
325,63,25,12
326,63,25,12
327,62,26,12
328,61,27,12
329,61,27,12
330,61,27,12
331,61,27,12
332,60,28,12
333,60,28,12
334,60,28,12
335,60,28,12
336,60,28,12
337,60,28,12
338,60,28,12
339,60,28,12
340,60,26,14
341,60,26,14
342,60,26,14
343,60,26,14
344,60,26,14
345,59,27,14
346,59,27,14
347,59,27,14
348,59,27,14
349,59,27,14
350,59,27,14
351,59,27,14
352,59,26,15
353,59,26,15
354,59,26,15
355,59,26,15
356,58,27,15
357,58,27,15
358,57,28,15
359,57,28,15
360,56,29,15
361,56,29,15
362,56,29,15
363,56,29,15
364,56,29,15
365,56,29,15
366,55,30,15
367,55,30,15
368,55,30,15
369,55,30,15
370,55,30,15
371,55,30,15
372,55,30,15
373,55,30,15
374,55,30,15
375,55,30,15
376,55,30,15
377,55,30,15
378,55,29,16
379,55,29,16
380,54,30,16
381,54,30,16
382,53,31,16
383,53,31,16
384,53,31,16
385,53,31,16
386,52,32,16
387,52,32,16
388,52,32,16
389,51,33,16
390,50,34,16
391,50,34,16
392,50,34,16
393,50,34,16
394,50,34,16
395,50,34,16
396,50,34,16
397,49,35,16
398,49,35,16
399,49,35,16
400,48,36,16
401,48,35,17
402,48,35,17
403,48,35,17
404,48,34,18
405,48,34,18
406,48,34,18
407,48,34,18
408,48,34,18
409,48,34,18
410,48,34,18
411,48,34,18
412,48,34,18
413,47,35,18
414,46,36,18
415,46,35,19
416,46,35,19
417,46,35,19
418,46,35,19
419,45,36,19
420,45,36,19
421,44,37,19
422,43,38,19
