Time,Healthy,Undetectable,Detectable
0,100,0,0
1,100,0,0
2,100,0,0
3,100,0,0
4,100,0,0
5,100,0,0
6,100,0,0
7,100,0,0
8,100,0,0
9,100,0,0
10,100,0,0
11,100,0,0
12,100,0,0
13,100,0,0
14,100,0,0
15,100,0,0
16,100,0,0
17,100,0,0
18,100,0,0
19,100,0,0
20,100,0,0
21,100,0,0
22,100,0,0
23,100,0,0
24,99,1,0
25,98,2,0
26,98,2,0
27,98,2,0
28,98,2,0
29,98,2,0
30,98,2,0
31,98,2,0
32,98,2,0
33,98,2,0
34,98,2,0
35,98,2,0
36,98,2,0
37,98,2,0
38,98,2,0
39,96,4,0
40,96,4,0
41,96,4,0
42,96,3,1
43,96,3,1
44,96,3,1
45,96,2,2
46,96,2,2
47,96,2,2
48,96,2,2
49,96,2,2
50,96,2,2
51,96,2,2
52,96,2,2
53,96,2,2
54,95,3,2
55,95,3,2
56,95,3,2
57,95,3,2
58,95,3,2
59,95,3,2
60,95,3,2
61,95,3,2
62,95,3,2
63,95,3,2
64,94,4,2
65,94,4,2
66,94,4,2
67,93,4,3
68,93,4,3
69,93,4,3
70,93,3,4
71,93,3,4
72,93,3,4
73,92,4,4
74,92,3,5
75,92,2,6
76,92,2,6
77,91,3,6
78,91,3,6
79,90,4,6
80,90,3,7
81,87,6,7
82,87,6,7
83,87,6,7
84,87,6,7
85,87,6,7
86,87,6,7
87,86,7,7
88,86,7,7
89,86,6,8
90,86,6,8
91,86,6,8
92,86,6,8
93,85,7,8
94,84,8,8
95,83,9,8
96,83,8,9
97,83,8,9
98,83,8,9
99,83,8,9
100,83,8,9
101,82,8,10
102,81,9,10
103,81,9,10
104,81,9,10
105,81,8,11
106,80,9,11
107,80,9,11
108,80,9,11
109,80,9,11
110,79,10,11
111,79,10,11
112,78,11,11
113,77,12,11
114,77,11,12
115,77,11,12
116,77,10,13
117,77,10,13
118,76,11,13
119,76,11,13
120,76,11,13
121,76,11,13
122,76,11,13
123,76,10,14
124,75,11,14
125,75,10,15
126,75,9,16
127,74,10,16
128,74,10,16
129,74,10,16
130,74,10,16
131,74,10,16
132,74,10,16
133,74,10,16
134,74,10,16
135,74,9,17
136,74,9,17
137,74,9,17
138,74,9,17
139,74,9,17
140,74,9,17
141,74,9,17
142,74,9,17
143,74,9,17
144,73,10,17
145,73,10,17
146,73,9,18
147,73,9,18
148,73,9,18
149,73,9,18
150,73,9,18
151,73,9,18
152,72,9,19
153,72,9,19
154,72,8,20
155,72,8,20
156,72,8,20
157,72,8,20
158,72,8,20
159,72,6,22
160,72,6,22
161,71,7,22
162,70,8,22
163,70,8,22
164,70,8,22
165,70,8,22
166,70,7,23
167,70,7,23
168,70,7,23
169,70,7,23
170,70,7,23
171,70,7,23
172,70,7,23
173,69,8,23
174,69,8,23
175,69,8,23
176,69,8,23
177,68,9,23
178,68,9,23
179,67,10,23
180,67,10,23
181,67,10,23
182,67,10,23
183,67,9,24
184,66,10,24
185,66,10,24
186,66,9,25
187,66,9,25
188,66,9,25
189,66,9,25
190,66,9,25
191,66,9,25
192,65,10,25
193,65,10,25
194,65,10,25
195,65,9,26
196,65,9,26
197,65,9,26
198,65,9,26
199,65,9,26
200,65,9,26
201,65,9,26
202,64,10,26
203,64,10,26
204,64,10,26
205,64,10,26
206,64,9,27
207,64,9,27
208,64,8,28
209,64,8,28
210,64,8,28
211,64,8,28
212,64,8,28
213,64,7,29
214,64,6,30
215,64,6,30
216,64,6,30
217,63,7,30
218,63,7,30
219,63,7,30
220,63,7,30
221,63,7,30
222,63,7,30
223,62,8,30
224,62,8,30
225,61,9,30
226,61,8,31
227,61,8,31
228,61,8,31
229,61,8,31
230,61,8,31
231,61,8,31
232,61,8,31
233,61,8,31
234,61,8,31
235,61,8,31
236,61,8,31
237,61,7,32
238,61,7,32
239,61,7,32
240,61,7,32
241,61,7,32
242,61,6,33
243,61,6,33
244,61,6,33
245,61,6,33
246,61,6,33
247,61,6,33
248,61,6,33
249,61,5,34
250,61,5,34
251,61,5,34
252,61,5,34
253,61,4,35
254,61,4,35
255,61,4,35
256,61,4,35
257,61,3,36
258,61,3,36
259,61,3,36
260,61,3,36
261,61,3,36
262,61,2,37
263,61,2,37
264,61,2,37
265,61,2,37
266,61,2,37
267,61,2,37
268,61,2,37
269,61,2,37
270,61,2,37
271,61,2,37
272,61,2,37
273,61,2,37
274,60,3,37
275,60,3,37
276,60,3,37
277,60,3,37
278,59,4,37
279,58,5,37
280,58,5,37
281,58,5,37
282,58,5,37
283,58,5,37
284,58,5,37
285,58,5,37
286,58,5,37
287,58,5,37
288,58,4,38
289,58,4,38
290,57,5,38
291,57,4,39
292,57,3,40
293,57,3,40
294,57,3,40
295,57,3,40
296,57,3,40
297,57,3,40
298,57,3,40
299,57,3,40
300,56,4,40
301,56,4,40
302,56,4,40
303,56,4,40
304,56,3,41
305,56,3,41
306,56,3,41
307,56,3,41
308,56,3,41
309,55,4,41
310,55,4,41
311,55,4,41
312,55,4,41
313,55,4,41
314,55,4,41
315,55,4,41
316,55,4,41
317,55,4,41
318,55,4,41
319,55,4,41
320,55,4,41
321,55,4,41
322,55,4,41
323,55,4,41
324,55,3,42
325,55,3,42
326,55,3,42
327,55,3,42
328,55,3,42
329,55,3,42
330,55,3,42
331,55,3,42
332,55,3,42
333,55,3,42
334,55,3,42
335,55,3,42
336,55,3,42
337,55,3,42
338,55,3,42
339,55,3,42
340,55,3,42
341,55,3,42
342,55,3,42
343,55,3,42
344,54,3,43
345,54,3,43
346,54,3,43
347,54,3,43
348,54,3,43
349,54,3,43
350,54,3,43
351,53,4,43
352,53,4,43
353,53,4,43
354,53,4,43
355,53,4,43
356,53,4,43
357,53,3,44
358,53,3,44
359,53,3,44
360,53,3,44
361,53,2,45
362,53,2,45
363,53,2,45
364,53,2,45
365,53,2,45
366,53,2,45
367,53,2,45
368,53,2,45
369,53,2,45
370,53,2,45
371,53,2,45
372,53,2,45
373,53,2,45
374,53,2,45
375,53,2,45
376,53,2,45
377,53,2,45
378,53,2,45
379,53,2,45
380,53,2,45
381,53,2,45
382,53,2,45
383,53,2,45
384,53,2,45
385,53,2,45
386,53,2,45
387,53,2,45
388,53,2,45
389,53,2,45
390,53,2,45
391,51,4,45
392,51,4,45
393,51,4,45
394,51,4,45
395,51,4,45
396,51,4,45
397,51,4,45
398,51,4,45
399,51,3,46
400,51,3,46
401,51,3,46
402,51,3,46
403,51,3,46
404,51,3,46
405,51,3,46
406,51,3,46
407,51,3,46
408,51,3,46
409,51,3,46
410,51,3,46
411,51,3,46
412,51,3,46
413,51,3,46
