# Radius,Expected Disease Prevalence (%),Standard Error
0.1,0.947,0.007088118884161015
0.11,0.9570000000000001,0.0064181271163011415
0.12,1.0959999999999999,0.016341702264452133
0.13,1.1159999999999999,0.014309053430049104
0.14,1.157,0.016632125844761998
0.15,1.094,0.016106618543195218
0.16,1.126,0.01588636590416449
0.17,1.133,0.016234975393421454
0.18,1.141,0.015917672453000156
0.19,1.121,0.016511548197579776
0.2,1.278,0.02193621416416242
0.21,1.269,0.021426581496449687
0.22,1.286,0.02224181667724109
0.23,1.424,0.027910610479188736
0.24,1.381,0.02661856707279714
0.25,1.3860000000000001,0.02756380348819807
