# Radius,Expected Disease Prevalence (%),Standard Error
0.0,0.955,0.006558816849402032
0.05,0.9570000000000001,0.0064181271163011415
0.1,0.947,0.007088118884161015
0.11,0.9570000000000001,0.0064181271163011415
0.12,1.0959999999999999,0.016341702264452133
0.13,1.1159999999999999,0.014309053430049104
0.14,1.157,0.016632125844761998
0.15,1.094,0.016106618543195218
0.16,1.126,0.01588636590416449
0.17,1.133,0.016234975393421454
0.18,1.141,0.015917672453000156
0.19,1.121,0.016511548197579776
0.2,1.278,0.02193621416416242
0.21,1.269,0.021426581496449687
0.22,1.286,0.02224181667724109
0.23,1.424,0.027910610479188736
0.24,1.381,0.02661856707279714
0.25,1.3860000000000001,0.02756380348819807
0.3,1.6389999999999998,0.03644177152801439
0.35,1.798,0.04215410989334255
0.4,1.87,0.04642476587339995
0.45,2.308,0.05838260261756066
0.5,2.448,0.05963929175971157
0.55,2.41,0.060593350929784365
0.6,2.8819999999999997,0.07997779675885051
0.65,3.0220000000000002,0.07974884785625433
0.7,3.1759999999999997,0.08560570231065218
0.75,3.3489999999999998,0.08963950369396297
0.8,3.544,0.09750693428469588
0.85,3.672,0.09939955746430665
0.9,3.833,0.10379733700630282
0.95,3.7199999999999998,0.10054714802718176
1.0,3.9379999999999997,0.11106962694139205
1.05,4.217,0.11760004653740576
1.1,4.023000000000001,0.11242371423547613
1.15,4.076,0.11648091647347217
1.2,4.202999999999999,0.11366048102836798
1.25,4.063,0.10986859388606009
1.3,4.057,0.11726674247202401
1.35,4.202,0.11514548661758306
1.4,4.186,0.11307609211676888
