Radius,Expected Disease Prevalence,Standard Error
0.1,1.057,0.012486253341174845
0.11,1.052,0.012468006999075677
0.12,1.082,0.014611272306031394
0.13,1.085,0.014211845014775529
0.14,1.121,0.016511548197579776
0.15,1.168,0.018871461147033638
0.16,1.164,0.018853625901030284
0.17,1.213,0.019900434674875823
0.18,1.238,0.021950792264175796
0.19,1.2919999999999998,0.023049241032211884
0.2,1.277,0.022062578779462747
0.21,1.324,0.024364274197192906
0.22,1.357,0.026272455782891713
0.23,1.396,0.027856061189550828
0.24,1.448,0.029019621254609787
0.25,1.467,0.030526098709137403
