# Radius,Expected Disease Prevalence (%),Standard Error
0.1,1.059,0.013330296871450388
0.11,1.0659999999999998,0.012954207189326565
0.12,1.068,0.013840783354131369
0.13,1.064,0.014145816657231214
0.14,1.054,0.012216099960666662
0.15,1.165,0.018113621305774284
0.16,1.192,0.019988377616605105
0.17,1.172,0.01883534793615451
0.18,1.179,0.018146287634003822
0.19,1.173,0.01758922080138856
0.2,1.262,0.02249138363018158
0.21,1.258,0.02240397827565453
0.22,1.233,0.020763957835538003
0.23,1.514,0.031445088219958936
0.24,1.421,0.026579418075364254
0.25,1.503,0.032234044873394346
