# Radius,Expected Disease Prevalence (%),Standard Error
0.0,0.954,0.006627817747946906
0.05,0.951,0.0068297607993252595
0.1,1.059,0.013330296871450388
0.15,1.165,0.018113621305774284
0.2,1.262,0.02249138363018158
0.25,1.503,0.032234044873394346
0.3,1.617,0.035490558407835736
0.35,1.754,0.03766841903239371
0.4,1.999,0.047129953791617496
0.45,2.419,0.06324112601464335
0.5,2.493,0.06429669429760757
0.55,2.709,0.07467181107285399
0.6,2.978,0.08069721492653881
0.65,3.033,0.0875875017202797
0.7,3.251,0.08787337162075892
0.75,3.6700000000000004,0.09806476006394958
0.8,3.6830000000000003,0.1045632406555956
0.85,3.678,0.10617726717334554
0.9,3.984,0.11080620921230001
0.95,4.198,0.1177227429106203
1.0,4.134,0.11165338339745914
1.05,3.94,0.11483716454571664
1.1,4.1209999999999996,0.11635252800046933
1.15,4.156,0.11800671544450343
1.2,4.237,0.11740778005566752
1.25,4.321,0.12064215764648775
1.3,4.22,0.1115888729331917
1.35,4.288,0.11774930604296571
1.4,4.167,0.11870652749069867
