time,exposed mean
0.0,0.0
0.005,0.07
0.01,0.1
0.015,0.15
0.02,0.15
0.025,0.21
0.03,0.21
0.035,0.25
0.04,0.29
0.045,0.3
0.05,0.35
0.055,0.4
0.06,0.41
0.065,0.49
0.07,0.51
0.075,0.53
0.08,0.58
0.085,0.6
0.09,0.65
0.095,0.68
0.1,0.69
0.105,0.69
0.11,0.7
0.115,0.71
0.12,0.75
0.125,0.8
0.13,0.84
0.135,0.9
0.14,0.91
0.145,0.91
0.15,0.95
0.155,0.99
0.16,1.02
0.165,1.08
0.17,1.09
0.175,1.12
0.18,1.18
0.185,1.2
0.19,1.25
0.195,1.28
0.2,1.29
0.205,1.33
0.21,1.36
0.215,1.39
0.22,1.4
0.225,1.43
0.23,1.47
0.235,1.5
0.24,1.54
0.245,1.55
0.25,1.55
0.255,1.62
0.26,1.67
0.265,1.68
0.27,1.75
0.275,1.77
0.28,1.82
0.285,1.83
0.29,1.85
0.295,1.88
0.3,1.91
0.305,1.92
0.31,1.95
0.315,1.98
0.32,2.0
0.325,2.01
0.33,2.03
0.335,2.08
0.34,2.11
0.345,2.13
0.35,2.14
0.355,2.12
0.36,2.13
0.365,2.17
0.37,2.2
0.375,2.2
0.38,2.2
0.385,2.25
0.39,2.26
0.395,2.29
0.4,2.27
0.405,2.29
0.41,2.33
0.415,2.39
0.42,2.39
0.425,2.45
0.43,2.47
0.435,2.49
0.44,2.48
0.445,2.5
0.45,2.49
0.455,2.49
0.46,2.52
0.465,2.57
0.47,2.59
0.475,2.62
0.48,2.63
0.485,2.64
0.49,2.64
0.495,2.68
0.5,2.71
0.505,2.74
0.51,2.77
0.515,2.78
0.52,2.8
0.525,2.8
0.53,2.81
0.535,2.83
0.54,2.85
0.545,2.9
0.55,2.88
0.555,2.87
0.56,2.87
0.565,2.86
0.57,2.9
0.575,2.91
0.58,2.96
0.585,2.97
0.59,2.96
0.595,2.98
0.6,3.0
0.605,3.01
0.61,3.12
0.615,3.12
0.62,3.16
0.625,3.22
0.63,3.24
0.635,3.26
0.64,3.29
0.645,3.3
0.65,3.36
0.655,3.39
0.66,3.4
0.665,3.42
0.67,3.44
0.675,3.5
0.68,3.5
0.685,3.5
0.69,3.55
0.695,3.57
0.7,3.6
0.705,3.62
0.71,3.69
0.715,3.72
0.72,3.71
0.725,3.75
0.73,3.8
0.735,3.81
0.74,3.86
0.745,3.9
0.75,3.96
0.755,3.97
0.76,4.0
0.765,4.02
0.77,4.04
0.775,4.1
0.78,4.12
0.785,4.1
0.79,4.11
0.795,4.13
0.8,4.15
0.805,4.17
0.81,4.21
0.815,4.2
0.82,4.24
0.825,4.28
0.83,4.28
0.835,4.26
0.84,4.31
0.845,4.3
0.85,4.33
0.855,4.37
0.86,4.41
0.865,4.43
0.87,4.49
0.875,4.49
0.88,4.53
0.885,4.6
0.89,4.62
0.895,4.63
0.9,4.64
0.905,4.67
0.91,4.7
0.915,4.73
0.92,4.78
0.925,4.8
0.93,4.83
0.935,4.8
0.94,4.81
0.945,4.85
0.95,4.89
0.955,4.95
0.96,4.97
0.965,4.96
0.97,4.99
0.975,5.01
0.98,5.04
0.985,5.15
0.99,5.1
0.995,5.04
1.0,5.07
1.005,5.06
1.01,5.07
1.015,5.07
1.02,5.1
1.025,5.09
1.03,5.16
1.035,5.23
1.04,5.26
1.045,5.23
1.05,5.31
1.055,5.31
1.06,5.39
1.065,5.49
1.07,5.54
1.075,5.58
1.08,5.55
1.085,5.6
1.09,5.6
1.095,5.66
1.1,5.68
1.105,5.69
1.11,5.71
1.115,5.76
1.12,5.76
1.125,5.77
1.13,5.78
1.135,5.84
1.14,5.91
1.145,5.93
1.15,5.96
1.155,6.0
1.16,6.03
1.165,6.05
1.17,6.1
1.175,6.17
1.18,6.22
1.185,6.26
1.19,6.33
1.195,6.32
1.2,6.35
1.205,6.39
1.21,6.38
1.215,6.39
1.22,6.4
1.225,6.44
1.23,6.49
1.235,6.52
1.24,6.55
1.245,6.62
1.25,6.63
1.255,6.6
1.26,6.66
1.265,6.69
1.27,6.78
1.275,6.81
1.28,6.9
1.285,6.91
1.29,6.93
1.295,6.99
1.3,7.06
1.305,7.08
1.31,7.16
1.315,7.25
1.32,7.23
1.325,7.27
1.33,7.3
1.335,7.34
1.34,7.36
1.345,7.39
1.35,7.4
1.355,7.4
1.36,7.44
1.365,7.51
1.37,7.62
1.375,7.66
1.38,7.76
1.385,7.85
1.39,7.89
1.395,7.94
1.4,7.95
1.405,8.0
1.41,8.06
1.415,8.09
1.42,8.1
1.425,8.12
1.43,8.12
1.435,8.15
1.44,8.18
1.445,8.19
1.45,8.2
1.455,8.25
1.46,8.24
1.465,8.26
1.47,8.31
1.475,8.4
1.48,8.49
1.485,8.55
1.49,8.61
1.495,8.67
1.5,8.69
1.505,8.68
1.51,8.71
1.515,8.8
1.52,8.86
1.525,8.95
1.53,8.98
1.535,9.02
1.54,9.09
1.545,9.11
1.55,9.15
1.555,9.19
1.56,9.24
1.565,9.29
1.57,9.29
1.575,9.32
1.58,9.36
1.585,9.39
1.59,9.44
1.595,9.49
1.6,9.56
1.605,9.68
1.61,9.71
1.615,9.76
1.62,9.79
1.625,9.83
1.63,9.95
1.635,10.03
1.64,10.06
1.645,10.13
1.65,10.14
1.655,10.17
1.66,10.14
1.665,10.19
1.67,10.22
1.675,10.26
1.68,10.28
1.685,10.26
1.69,10.3
1.695,10.34
1.7,10.37
1.705,10.46
1.71,10.46
1.715,10.5
1.72,10.56
1.725,10.69
1.73,10.72
1.735,10.77
1.74,10.85
1.745,10.98
1.75,11.04
1.755,11.06
1.76,11.17
1.765,11.19
1.77,11.24
1.775,11.31
1.78,11.34
1.785,11.42
1.79,11.48
1.795,11.5
1.8,11.51
1.805,11.58
1.81,11.61
1.815,11.6
1.82,11.67
1.825,11.66
1.83,11.76
1.835,11.84
1.84,11.85
1.845,11.85
1.85,11.87
1.855,11.97
1.86,12.02
1.865,12.03
1.87,12.1
1.875,12.16
1.88,12.23
1.885,12.29
1.89,12.29
1.895,12.42
1.9,12.58
1.905,12.66
1.91,12.75
1.915,12.8
1.92,12.76
1.925,12.83
1.93,12.88
1.935,12.86
1.94,12.9
1.945,13.0
1.95,13.0
1.955,13.02
1.96,13.1
1.965,13.18
1.97,13.28
1.975,13.32
1.98,13.3
1.985,13.36
1.99,13.38
1.995,13.45
2.0,13.53
2.005,13.61
2.01,13.66
2.015,13.73
2.02,13.78
2.025,13.81
2.03,13.92
2.035,14.01
2.04,14.13
2.045,14.2
2.05,14.19
2.055,14.32
2.06,14.44
2.065,14.57
2.07,14.53
2.075,14.59
2.08,14.62
2.085,14.75
2.09,14.75
2.095,14.83
2.1,14.98
2.105,14.99
2.11,15.08
2.115,15.08
2.12,15.09
2.125,15.13
2.13,15.16
2.135,15.24
2.14,15.27
2.145,15.3
2.15,15.37
2.155,15.38
2.16,15.43
2.165,15.49
2.17,15.54
2.175,15.59
2.18,15.65
2.185,15.72
2.19,15.77
2.195,15.87
2.2,15.93
2.205,15.97
2.21,16.07
2.215,16.13
2.22,16.21
2.225,16.24
2.23,16.39
2.235,16.46
2.24,16.47
2.245,16.52
2.25,16.58
2.255,16.65
2.26,16.74
2.265,16.87
2.27,16.9
2.275,16.94
2.28,16.97
2.285,17.01
2.29,17.1
2.295,17.23
2.3,17.34
2.305,17.38
2.31,17.44
2.315,17.52
2.32,17.59
2.325,17.62
2.33,17.7
2.335,17.83
2.34,17.8
2.345,17.82
2.35,17.85
2.355,17.92
2.36,17.95
2.365,18.0
2.37,18.07
2.375,18.12
2.38,18.18
2.385,18.27
2.39,18.39
2.395,18.45
2.4,18.54
2.405,18.53
2.41,18.55
2.415,18.67
2.42,18.67
2.425,18.71
2.43,18.76
2.435,18.86
2.44,18.94
2.445,19.03
2.45,19.13
2.455,19.16
2.46,19.24
2.465,19.31
2.47,19.36
2.475,19.41
2.48,19.53
2.485,19.64
2.49,19.66
2.495,19.78
2.5,19.92
2.505,19.86
2.51,19.94
2.515,19.99
2.52,20.13
2.525,20.21
2.53,20.25
2.535,20.29
2.54,20.29
2.545,20.37
2.55,20.46
2.555,20.51
2.56,20.5
2.565,20.55
2.57,20.59
2.575,20.66
2.58,20.74
2.585,20.76
2.59,20.83
2.595,20.83
2.6,20.92
2.605,20.95
2.61,20.96
2.615,21.01
2.62,21.07
2.625,21.14
2.63,21.24
2.635,21.32
2.64,21.39
2.645,21.38
2.65,21.53
2.655,21.55
2.66,21.6
2.665,21.63
2.67,21.69
2.675,21.76
2.68,21.79
2.685,21.84
2.69,21.83
2.695,21.89
2.7,21.94
2.705,22.04
2.71,22.11
2.715,22.15
2.72,22.15
2.725,22.22
2.73,22.2
2.735,22.27
2.74,22.21
2.745,22.23
2.75,22.25
2.755,22.2
2.76,22.23
2.765,22.26
2.77,22.36
2.775,22.42
2.78,22.45
2.785,22.45
2.79,22.5
2.795,22.52
2.8,22.56
2.805,22.6
2.81,22.64
2.815,22.71
2.82,22.79
2.825,22.84
2.83,22.89
2.835,22.94
2.84,22.91
2.845,22.98
2.85,23.0
2.855,23.03
2.86,23.01
2.865,23.07
2.87,23.11
2.875,23.19
2.88,23.24
2.885,23.25
2.89,23.28
2.895,23.28
2.9,23.36
2.905,23.38
2.91,23.47
2.915,23.42
2.92,23.46
2.925,23.52
2.93,23.52
2.935,23.62
2.94,23.64
2.945,23.75
2.95,23.74
2.955,23.72
2.96,23.69
2.965,23.65
2.97,23.61
2.975,23.58
2.98,23.61
2.985,23.67
2.99,23.59
2.995,23.54
3.0,23.58
3.005,23.63
3.01,23.75
3.015,23.77
3.02,23.88
3.025,23.92
3.03,23.95
3.035,23.88
3.04,23.88
3.045,23.86
3.05,23.88
3.055,23.86
3.06,23.88
3.065,23.97
3.07,23.95
3.075,23.98
3.08,23.91
3.085,24.03
3.09,23.96
3.095,24.01
3.1,24.0
3.105,23.96
3.11,23.99
3.115,24.04
3.12,24.04
3.125,23.99
3.13,24.08
3.135,24.1
3.14,24.18
3.145,24.23
3.15,24.27
3.155,24.35
3.16,24.37
3.165,24.41
3.17,24.46
3.175,24.56
3.18,24.55
3.185,24.54
3.19,24.54
3.195,24.62
3.2,24.51
3.205,24.53
3.21,24.48
3.215,24.52
3.22,24.55
3.225,24.55
3.23,24.61
3.235,24.64
3.24,24.62
3.245,24.55
3.25,24.56
3.255,24.59
3.26,24.56
3.265,24.65
3.27,24.63
3.275,24.67
3.28,24.7
3.285,24.75
3.29,24.81
3.295,24.87
3.3,24.88
3.305,24.88
3.31,24.92
3.315,24.86
3.32,24.87
3.325,24.87
3.33,24.9
3.335,24.77
3.34,24.76
3.345,24.78
3.35,24.78
3.355,24.72
3.36,24.71
3.365,24.83
3.37,24.85
3.375,24.81
3.38,24.86
3.385,24.8
3.39,24.88
3.395,24.84
3.4,24.86
3.405,24.82
3.41,24.8
3.415,24.77
3.42,24.76
3.425,24.77
3.43,24.79
3.435,24.77
3.44,24.8
3.445,24.86
3.45,24.83
3.455,24.78
3.46,24.77
3.465,24.76
3.47,24.73
3.475,24.75
3.48,24.76
3.485,24.68
3.49,24.75
3.495,24.74
3.5,24.74
3.505,24.77
3.51,24.73
3.515,24.69
3.52,24.76
3.525,24.79
3.53,24.69
3.535,24.66
3.54,24.68
3.545,24.69
3.55,24.69
3.555,24.68
3.56,24.71
3.565,24.69
3.57,24.72
3.575,24.72
3.58,24.65
3.585,24.67
3.59,24.64
3.595,24.63
3.6,24.58
3.605,24.58
3.61,24.58
3.615,24.57
3.62,24.51
3.625,24.49
3.63,24.44
3.635,24.38
3.64,24.39
3.645,24.41
3.65,24.39
3.655,24.48
3.66,24.51
3.665,24.5
3.67,24.49
3.675,24.51
3.68,24.49
3.685,24.51
3.69,24.5
3.695,24.4
3.7,24.38
3.705,24.41
3.71,24.49
3.715,24.57
3.72,24.56
3.725,24.53
3.73,24.48
3.735,24.44
3.74,24.48
3.745,24.53
3.75,24.57
3.755,24.5
3.76,24.49
3.765,24.5
3.77,24.56
3.775,24.58
3.78,24.59
3.785,24.6
3.79,24.6
3.795,24.56
3.8,24.6
3.805,24.58
3.81,24.62
3.815,24.61
3.82,24.62
3.825,24.63
3.83,24.59
3.835,24.6
3.84,24.62
3.845,24.56
3.85,24.56
3.855,24.57
3.86,24.55
3.865,24.55
3.87,24.57
3.875,24.59
3.88,24.53
3.885,24.58
3.89,24.55
3.895,24.57
3.9,24.54
3.905,24.57
3.91,24.62
3.915,24.53
3.92,24.5
3.925,24.5
3.93,24.4
3.935,24.37
3.94,24.31
3.945,24.29
3.95,24.23
3.955,24.23
3.96,24.13
3.965,24.1
3.97,24.12
3.975,24.07
3.98,24.05
3.985,24.06
3.99,23.91
3.995,23.9
4.0,23.9
4.005,23.93
4.01,23.93
4.015,23.89
4.02,23.9
4.025,23.91
4.03,23.84
4.035,23.78
4.04,23.82
4.045,23.8
4.05,23.76
4.055,23.73
4.06,23.67
4.065,23.63
4.07,23.61
4.075,23.57
4.08,23.54
4.085,23.51
4.09,23.45
4.095,23.45
4.1,23.46
4.105,23.45
4.11,23.39
4.115,23.39
4.12,23.42
4.125,23.44
4.13,23.47
4.135,23.48
4.14,23.44
4.145,23.42
4.15,23.46
4.155,23.53
4.16,23.53
4.165,23.53
4.17,23.44
4.175,23.43
4.18,23.42
4.185,23.37
4.19,23.35
4.195,23.32
4.2,23.33
4.205,23.3
4.21,23.28
4.215,23.28
4.22,23.2
4.225,23.17
4.23,23.17
4.235,23.17
4.24,23.11
4.245,23.12
4.25,23.1
4.255,23.09
4.26,23.11
4.265,23.02
4.27,23.03
4.275,22.95
4.28,22.85
4.285,22.81
4.29,22.79
4.295,22.73
4.3,22.65
4.305,22.58
4.31,22.58
4.315,22.55
4.32,22.53
4.325,22.46
4.33,22.49
4.335,22.48
4.34,22.44
4.345,22.34
4.35,22.31
4.355,22.23
4.36,22.24
4.365,22.19
4.37,22.16
4.375,22.18
4.38,22.11
4.385,22.14
4.39,22.12
4.395,22.05
4.4,22.06
4.405,22.08
4.41,22.02
4.415,21.89
4.42,21.9
4.425,21.87
4.43,21.86
4.435,21.87
4.44,21.85
4.445,21.8
4.45,21.76
4.455,21.71
4.46,21.62
4.465,21.59
4.47,21.53
4.475,21.5
4.48,21.45
4.485,21.4
4.49,21.32
4.495,21.25
4.5,21.2
4.505,21.16
4.51,21.13
4.515,21.08
4.52,21.04
4.525,20.91
4.53,20.89
4.535,20.86
4.54,20.79
4.545,20.73
4.55,20.66
4.555,20.66
4.56,20.64
4.565,20.65
4.57,20.61
4.575,20.58
4.58,20.57
4.585,20.57
4.59,20.52
4.595,20.55
4.6,20.49
4.605,20.42
4.61,20.42
4.615,20.39
4.62,20.39
4.625,20.41
4.63,20.4
4.635,20.4
4.64,20.34
4.645,20.26
4.65,20.18
4.655,20.18
4.66,20.16
4.665,20.11
4.67,20.09
4.675,20.04
4.68,19.96
4.685,19.89
4.69,19.84
4.695,19.82
4.7,19.82
4.705,19.78
4.71,19.74
4.715,19.72
4.72,19.7
4.725,19.68
4.73,19.66
4.735,19.65
4.74,19.57
4.745,19.52
4.75,19.49
4.755,19.46
4.76,19.41
4.765,19.38
4.77,19.37
4.775,19.31
4.78,19.34
4.785,19.24
4.79,19.24
4.795,19.19
4.8,19.11
4.805,19.08
4.81,19.01
4.815,18.99
4.82,18.97
4.825,18.91
4.83,18.87
4.835,18.84
4.84,18.79
4.845,18.73
4.85,18.66
4.855,18.66
4.86,18.62
4.865,18.6
4.87,18.51
4.875,18.52
4.88,18.45
4.885,18.43
4.89,18.38
4.895,18.38
4.9,18.31
4.905,18.3
4.91,18.25
4.915,18.16
4.92,18.11
4.925,18.12
4.93,18.1
4.935,18.05
4.94,18.06
4.945,18.05
4.95,18.02
4.955,18.0
4.96,17.96
4.965,17.93
4.97,17.86
4.975,17.86
4.98,17.84
4.985,17.82
4.99,17.8
4.995,17.78
5.0,17.76
