time,infectious mean
0.0,1.0
0.005,1.0
0.01,1.0
0.015,1.0
0.02,0.99
0.025,0.98
0.03,0.98
0.035,0.97
0.04,0.96
0.045,0.95
0.05,0.95
0.055,0.95
0.06,0.93
0.065,0.93
0.07,0.93
0.075,0.93
0.08,0.93
0.085,0.93
0.09,0.93
0.095,0.93
0.1,0.91
0.105,0.91
0.11,0.89
0.115,0.89
0.12,0.9
0.125,0.9
0.13,0.9
0.135,0.9
0.14,0.9
0.145,0.9
0.15,0.9
0.155,0.91
0.16,0.94
0.165,0.94
0.17,0.93
0.175,0.93
0.18,0.93
0.185,0.94
0.19,0.93
0.195,0.92
0.2,0.92
0.205,0.93
0.21,0.93
0.215,0.89
0.22,0.87
0.225,0.89
0.23,0.89
0.235,0.9
0.24,0.9
0.245,0.91
0.25,0.89
0.255,0.86
0.26,0.86
0.265,0.87
0.27,0.86
0.275,0.85
0.28,0.85
0.285,0.85
0.29,0.84
0.295,0.82
0.3,0.82
0.305,0.84
0.31,0.84
0.315,0.84
0.32,0.84
0.325,0.84
0.33,0.84
0.335,0.84
0.34,0.83
0.345,0.82
0.35,0.81
0.355,0.84
0.36,0.84
0.365,0.82
0.37,0.81
0.375,0.8
0.38,0.8
0.385,0.8
0.39,0.81
0.395,0.81
0.4,0.84
0.405,0.83
0.41,0.84
0.415,0.83
0.42,0.83
0.425,0.83
0.43,0.82
0.435,0.82
0.44,0.85
0.445,0.87
0.45,0.89
0.455,0.89
0.46,0.88
0.465,0.89
0.47,0.9
0.475,0.9
0.48,0.9
0.485,0.91
0.49,0.92
0.495,0.91
0.5,0.91
0.505,0.91
0.51,0.91
0.515,0.89
0.52,0.88
0.525,0.88
0.53,0.88
0.535,0.88
0.54,0.89
0.545,0.88
0.55,0.91
0.555,0.94
0.56,0.96
0.565,0.99
0.57,1.0
0.575,1.0
0.58,0.99
0.585,1.01
0.59,1.02
0.595,1.01
0.6,1.02
0.605,1.02
0.61,1.03
0.615,1.03
0.62,1.03
0.625,1.04
0.63,1.04
0.635,1.04
0.64,1.04
0.645,1.06
0.65,1.05
0.655,1.06
0.66,1.08
0.665,1.08
0.67,1.09
0.675,1.09
0.68,1.1
0.685,1.12
0.69,1.12
0.695,1.12
0.7,1.14
0.705,1.15
0.71,1.15
0.715,1.16
0.72,1.17
0.725,1.17
0.73,1.18
0.735,1.21
0.74,1.22
0.745,1.22
0.75,1.22
0.755,1.24
0.76,1.25
0.765,1.24
0.77,1.26
0.775,1.27
0.78,1.28
0.785,1.3
0.79,1.31
0.795,1.32
0.8,1.32
0.805,1.34
0.81,1.33
0.815,1.34
0.82,1.34
0.825,1.32
0.83,1.35
0.835,1.35
0.84,1.35
0.845,1.37
0.85,1.37
0.855,1.38
0.86,1.37
0.865,1.39
0.87,1.39
0.875,1.39
0.88,1.42
0.885,1.43
0.89,1.42
0.895,1.44
0.9,1.46
0.905,1.47
0.91,1.46
0.915,1.46
0.92,1.42
0.925,1.46
0.93,1.47
0.935,1.48
0.94,1.52
0.945,1.52
0.95,1.53
0.955,1.53
0.96,1.54
0.965,1.57
0.97,1.58
0.975,1.57
0.98,1.57
0.985,1.57
0.99,1.6
0.995,1.65
1.0,1.68
1.005,1.71
1.01,1.73
1.015,1.75
1.02,1.76
1.025,1.78
1.03,1.76
1.035,1.75
1.04,1.74
1.045,1.8
1.05,1.79
1.055,1.8
1.06,1.81
1.065,1.78
1.07,1.79
1.075,1.79
1.08,1.82
1.085,1.82
1.09,1.84
1.095,1.82
1.1,1.84
1.105,1.84
1.11,1.84
1.115,1.85
1.12,1.88
1.125,1.9
1.13,1.95
1.135,1.93
1.14,1.94
1.145,1.97
1.15,1.99
1.155,2.03
1.16,2.01
1.165,2.05
1.17,2.07
1.175,2.07
1.18,2.1
1.185,2.11
1.19,2.1
1.195,2.12
1.2,2.13
1.205,2.08
1.21,2.1
1.215,2.13
1.22,2.16
1.225,2.18
1.23,2.18
1.235,2.2
1.24,2.2
1.245,2.2
1.25,2.24
1.255,2.29
1.26,2.29
1.265,2.29
1.27,2.26
1.275,2.23
1.28,2.24
1.285,2.24
1.29,2.24
1.295,2.26
1.3,2.25
1.305,2.29
1.31,2.31
1.315,2.29
1.32,2.3
1.325,2.31
1.33,2.3
1.335,2.32
1.34,2.36
1.345,2.36
1.35,2.38
1.355,2.38
1.36,2.38
1.365,2.39
1.37,2.4
1.375,2.42
1.38,2.43
1.385,2.42
1.39,2.45
1.395,2.44
1.4,2.47
1.405,2.49
1.41,2.47
1.415,2.48
1.42,2.49
1.425,2.49
1.43,2.52
1.435,2.57
1.44,2.57
1.445,2.58
1.45,2.64
1.455,2.63
1.46,2.65
1.465,2.67
1.47,2.67
1.475,2.69
1.48,2.71
1.485,2.72
1.49,2.72
1.495,2.72
1.5,2.75
1.505,2.78
1.51,2.82
1.515,2.79
1.52,2.81
1.525,2.8
1.53,2.84
1.535,2.86
1.54,2.84
1.545,2.86
1.55,2.88
1.555,2.88
1.56,2.88
1.565,2.88
1.57,2.89
1.575,2.95
1.58,2.94
1.585,2.94
1.59,2.97
1.595,3.0
1.6,3.01
1.605,3.04
1.61,3.06
1.615,3.07
1.62,3.12
1.625,3.23
1.63,3.22
1.635,3.2
1.64,3.24
1.645,3.26
1.65,3.32
1.655,3.36
1.66,3.41
1.665,3.43
1.67,3.48
1.675,3.48
1.68,3.54
1.685,3.56
1.69,3.59
1.695,3.58
1.7,3.6
1.705,3.61
1.71,3.66
1.715,3.71
1.72,3.72
1.725,3.69
1.73,3.73
1.735,3.74
1.74,3.71
1.745,3.72
1.75,3.71
1.755,3.69
1.76,3.7
