time,susceptible mean
0.0,99.0
0.005,98.93
0.01,98.9
0.015,98.85
0.02,98.85
0.025,98.79
0.03,98.79
0.035,98.75
0.04,98.71
0.045,98.7
0.05,98.65
0.055,98.59
0.06,98.58
0.065,98.5
0.07,98.47
0.075,98.45
0.08,98.4
0.085,98.38
0.09,98.33
0.095,98.3
0.1,98.29
0.105,98.29
0.11,98.28
0.115,98.27
0.12,98.22
0.125,98.17
0.13,98.13
0.135,98.07
0.14,98.06
0.145,98.05
0.15,98.01
0.155,97.95
0.16,97.89
0.165,97.83
0.17,97.82
0.175,97.78
0.18,97.72
0.185,97.68
0.19,97.63
0.195,97.6
0.2,97.59
0.205,97.54
0.21,97.5
0.215,97.47
0.22,97.46
0.225,97.41
0.23,97.37
0.235,97.33
0.24,97.29
0.245,97.27
0.25,97.27
0.255,97.2
0.26,97.15
0.265,97.13
0.27,97.06
0.275,97.03
0.28,96.98
0.285,96.97
0.29,96.94
0.295,96.91
0.3,96.88
0.305,96.85
0.31,96.81
0.315,96.78
0.32,96.76
0.325,96.75
0.33,96.73
0.335,96.68
0.34,96.65
0.345,96.63
0.35,96.62
0.355,96.61
0.36,96.59
0.365,96.55
0.37,96.51
0.375,96.51
0.38,96.51
0.385,96.46
0.39,96.44
0.395,96.41
0.4,96.4
0.405,96.38
0.41,96.33
0.415,96.27
0.42,96.26
0.425,96.2
0.43,96.18
0.435,96.16
0.44,96.14
0.445,96.1
0.45,96.08
0.455,96.07
0.46,96.04
0.465,95.98
0.47,95.95
0.475,95.92
0.48,95.9
0.485,95.87
0.49,95.86
0.495,95.82
0.5,95.79
0.505,95.76
0.51,95.73
0.515,95.72
0.52,95.7
0.525,95.68
0.53,95.67
0.535,95.63
0.54,95.6
0.545,95.55
0.55,95.54
0.555,95.51
0.56,95.49
0.565,95.47
0.57,95.42
0.575,95.41
0.58,95.34
0.585,95.31
0.59,95.3
0.595,95.28
0.6,95.25
0.605,95.23
0.61,95.1
0.615,95.09
0.62,95.05
0.625,94.98
0.63,94.96
0.635,94.93
0.64,94.9
0.645,94.87
0.65,94.81
0.655,94.77
0.66,94.74
0.665,94.72
0.67,94.69
0.675,94.61
0.68,94.6
0.685,94.58
0.69,94.53
0.695,94.51
0.7,94.46
0.705,94.43
0.71,94.36
0.715,94.32
0.72,94.32
0.725,94.27
0.73,94.21
0.735,94.17
0.74,94.1
0.745,94.05
0.75,93.99
0.755,93.96
0.76,93.92
0.765,93.89
0.77,93.84
0.775,93.77
0.78,93.73
0.785,93.72
0.79,93.7
0.795,93.65
0.8,93.62
0.805,93.58
0.81,93.53
0.815,93.52
0.82,93.48
0.825,93.44
0.83,93.41
0.835,93.41
0.84,93.36
0.845,93.34
0.85,93.3
0.855,93.25
0.86,93.2
0.865,93.16
0.87,93.1
0.875,93.09
0.88,93.01
0.885,92.93
0.89,92.9
0.895,92.86
0.9,92.81
0.905,92.77
0.91,92.73
0.915,92.69
0.92,92.64
0.925,92.58
0.93,92.54
0.935,92.54
0.94,92.49
0.945,92.43
0.95,92.38
0.955,92.31
0.96,92.28
0.965,92.26
0.97,92.22
0.975,92.2
0.98,92.17
0.985,92.05
0.99,92.05
0.995,92.05
1.0,91.99
1.005,91.97
1.01,91.93
1.015,91.91
1.02,91.86
1.025,91.84
1.03,91.77
1.035,91.69
1.04,91.65
1.045,91.62
1.05,91.54
1.055,91.53
1.06,91.44
1.065,91.34
1.07,91.28
1.075,91.24
1.08,91.22
1.085,91.15
1.09,91.13
1.095,91.07
1.1,91.01
1.105,90.98
1.11,90.95
1.115,90.87
1.12,90.82
1.125,90.78
1.13,90.72
1.135,90.65
1.14,90.57
1.145,90.52
1.15,90.45
1.155,90.36
1.16,90.31
1.165,90.25
1.17,90.17
1.175,90.08
1.18,90.0
1.185,89.95
1.19,89.87
1.195,89.85
1.2,89.78
1.205,89.72
1.21,89.69
1.215,89.65
1.22,89.61
1.225,89.55
1.23,89.48
1.235,89.41
1.24,89.35
1.245,89.28
1.25,89.23
1.255,89.21
1.26,89.12
1.265,89.08
1.27,88.98
1.275,88.95
1.28,88.84
1.285,88.81
1.29,88.78
1.295,88.69
1.3,88.61
1.305,88.54
1.31,88.44
1.315,88.34
1.32,88.33
1.325,88.25
1.33,88.19
1.335,88.13
1.34,88.07
1.345,88.03
1.35,87.99
1.355,87.97
1.36,87.92
1.365,87.83
1.37,87.71
1.375,87.64
1.38,87.51
1.385,87.4
1.39,87.33
1.395,87.27
1.4,87.2
1.405,87.12
1.41,87.04
1.415,86.98
1.42,86.95
1.425,86.91
1.43,86.87
1.435,86.79
1.44,86.75
1.445,86.7
1.45,86.63
1.455,86.57
1.46,86.55
1.465,86.5
1.47,86.43
1.475,86.32
1.48,86.2
1.485,86.1
1.49,86.02
1.495,85.94
1.5,85.88
1.505,85.83
1.51,85.76
1.515,85.67
1.52,85.57
1.525,85.47
1.53,85.37
1.535,85.31
1.54,85.24
1.545,85.19
1.55,85.13
1.555,85.07
1.56,84.99
1.565,84.93
1.57,84.9
1.575,84.81
1.58,84.73
1.585,84.68
1.59,84.58
1.595,84.49
1.6,84.4
1.605,84.25
1.61,84.19
1.615,84.12
1.62,84.03
1.625,83.86
1.63,83.72
1.635,83.64
1.64,83.56
1.645,83.46
1.65,83.38
1.655,83.31
1.66,83.28
1.665,83.2
1.67,83.09
1.675,83.03
1.68,82.95
1.685,82.92
1.69,82.85
1.695,82.79
1.7,82.72
1.705,82.59
1.71,82.54
1.715,82.44
1.72,82.35
1.725,82.2
1.73,82.13
1.735,82.06
1.74,81.98
1.745,81.81
1.75,81.75
1.755,81.69
1.76,81.54
1.765,81.47
1.77,81.36
1.775,81.26
1.78,81.17
1.785,81.01
1.79,80.91
1.795,80.83
1.8,80.77
1.805,80.67
1.81,80.59
1.815,80.54
1.82,80.45
1.825,80.42
1.83,80.28
1.835,80.16
1.84,80.11
1.845,80.04
1.85,79.97
1.855,79.85
1.86,79.73
1.865,79.66
1.87,79.55
1.875,79.43
1.88,79.31
1.885,79.21
1.89,79.13
1.895,78.99
1.9,78.81
1.905,78.66
1.91,78.55
1.915,78.46
1.92,78.43
1.925,78.28
1.93,78.2
1.935,78.13
1.94,78.06
1.945,77.9
1.95,77.85
1.955,77.76
1.96,77.63
1.965,77.49
1.97,77.32
1.975,77.25
1.98,77.19
1.985,77.07
1.99,77.0
1.995,76.87
2.0,76.77
2.005,76.64
2.01,76.56
2.015,76.42
2.02,76.3
2.025,76.22
2.03,76.08
2.035,75.97
2.04,75.83
2.045,75.74
2.05,75.64
2.055,75.47
2.06,75.33
2.065,75.19
2.07,75.16
2.075,74.99
2.08,74.89
2.085,74.74
2.09,74.67
2.095,74.54
2.1,74.36
2.105,74.26
2.11,74.1
2.115,74.02
2.12,73.93
2.125,73.85
2.13,73.75
2.135,73.61
2.14,73.52
2.145,73.42
2.15,73.26
2.155,73.15
2.16,73.03
