time,infected mean
0.0,10.0
0.005,10.3
0.01,10.47
0.015,10.68
0.02,10.98
0.025,11.32
0.03,11.63
0.035,12.02
0.04,12.24
0.045,12.54
0.05,12.99
0.055,13.44
0.06,13.9
0.065,14.24
0.07,14.5
0.075,14.82
0.08,15.12
0.085,15.48
0.09,15.9
0.095,16.25
0.1,16.58
0.105,16.88
0.11,17.21
0.115,17.58
0.12,17.92
0.125,18.36
0.13,18.82
0.135,19.29
0.14,19.56
0.145,20.03
0.15,20.51
0.155,21.09
0.16,21.54
0.165,21.88
0.17,22.37
0.175,22.83
0.18,23.22
0.185,23.86
0.19,24.38
0.195,24.86
0.2,25.3
0.205,25.72
0.21,26.51
0.215,27.01
0.22,27.51
0.225,27.96
0.23,28.54
0.235,29.1
0.24,29.7
0.245,30.29
0.25,30.93
0.255,31.38
0.26,31.92
0.265,32.5
0.27,33.01
0.275,33.44
0.28,33.92
0.285,34.41
0.29,35.01
0.295,35.47
0.3,36.02
0.305,36.43
0.31,36.97
0.315,37.47
0.32,37.91
0.325,38.49
0.33,39.16
0.335,39.59
0.34,40.25
0.345,40.69
0.35,41.24
0.355,41.67
0.36,42.32
0.365,42.75
0.37,43.41
0.375,43.84
0.38,44.17
0.385,44.7
0.39,45.23
0.395,45.75
0.4,46.08
0.405,46.41
0.41,46.9
0.415,47.25
0.42,47.78
0.425,48.16
0.43,48.61
0.435,49.05
0.44,49.14
0.445,49.55
0.45,49.96
0.455,50.4
0.46,50.73
0.465,50.95
0.47,51.3
0.475,51.7
0.48,52.08
0.485,52.29
0.49,52.82
0.495,53.02
0.5,53.21
0.505,53.45
0.51,53.86
0.515,54.15
0.52,54.55
0.525,54.76
0.53,54.94
0.535,55.34
0.54,55.58
0.545,55.74
0.55,56.01
0.555,56.28
0.56,56.4
0.565,56.65
0.57,56.96
0.575,57.13
0.58,57.31
0.585,57.56
0.59,57.73
0.595,57.84
0.6,57.96
0.605,58.17
0.61,58.29
0.615,58.39
0.62,58.55
0.625,58.87
0.63,58.9
0.635,58.94
0.64,59.06
0.645,59.18
0.65,59.25
0.655,59.44
0.66,59.51
0.665,59.38
0.67,59.33
0.675,59.53
0.68,59.61
0.685,59.63
0.69,59.7
0.695,59.7
0.7,59.65
0.705,59.61
0.71,59.57
0.715,59.53
0.72,59.59
0.725,59.5
0.73,59.37
0.735,59.45
0.74,59.35
0.745,59.24
0.75,59.1
0.755,59.16
0.76,59.08
0.765,59.0
0.77,58.84
0.775,58.79
0.78,58.74
0.785,58.63
0.79,58.52
0.795,58.37
0.8,58.3
0.805,58.2
0.81,58.11
0.815,57.95
0.82,57.91
0.825,57.76
0.83,57.71
