time,recovered mean
0.0,0.0
0.005,0.08
0.01,0.13
0.015,0.2
0.02,0.22
0.025,0.3
0.03,0.36
0.035,0.41
0.04,0.46
0.045,0.5
0.05,0.52
0.055,0.57
0.06,0.62
0.065,0.68
0.07,0.78
0.075,0.85
0.08,0.89
0.085,0.98
0.09,1.04
0.095,1.13
0.1,1.22
0.105,1.28
0.11,1.43
0.115,1.52
0.12,1.69
0.125,1.74
0.13,1.82
0.135,1.91
0.14,2.02
0.145,2.07
0.15,2.2
0.155,2.27
0.16,2.38
0.165,2.46
0.17,2.56
0.175,2.7
0.18,2.82
0.185,2.9
0.19,3.01
0.195,3.16
0.2,3.26
0.205,3.36
0.21,3.48
0.215,3.66
0.22,3.79
0.225,3.92
0.23,4.02
0.235,4.19
0.24,4.36
0.245,4.48
0.25,4.59
0.255,4.72
0.26,4.95
0.265,5.11
0.27,5.29
0.275,5.52
0.28,5.68
0.285,5.8
0.29,5.94
0.295,6.08
0.3,6.19
0.305,6.41
0.31,6.58
0.315,6.68
0.32,6.86
0.325,7.05
0.33,7.22
0.335,7.38
0.34,7.57
0.345,7.76
0.35,7.98
0.355,8.18
0.36,8.35
0.365,8.59
0.37,8.74
0.375,8.94
0.38,9.15
0.385,9.45
0.39,9.6
0.395,9.73
0.4,10.05
0.405,10.35
0.41,10.51
0.415,10.75
0.42,10.94
0.425,11.2
0.43,11.38
0.435,11.65
0.44,12.0
0.445,12.25
0.45,12.51
0.455,12.78
0.46,12.98
0.465,13.2
0.47,13.4
0.475,13.64
0.48,13.89
0.485,14.24
0.49,14.37
0.495,14.65
0.5,14.9
0.505,15.22
0.51,15.44
0.515,15.71
0.52,15.9
0.525,16.23
0.53,16.51
0.535,16.71
0.54,16.97
0.545,17.26
0.55,17.46
0.555,17.74
0.56,18.07
0.565,18.4
0.57,18.58
0.575,18.86
0.58,19.09
0.585,19.28
0.59,19.64
0.595,19.9
0.6,20.21
0.605,20.41
0.61,20.61
0.615,20.91
0.62,21.18
0.625,21.41
0.63,21.7
0.635,22.04
0.64,22.3
0.645,22.59
0.65,22.93
0.655,23.21
0.66,23.45
0.665,23.84
0.67,24.16
0.675,24.41
0.68,24.61
0.685,24.93
0.69,25.16
0.695,25.44
0.7,25.73
0.705,26.02
0.71,26.3
0.715,26.59
0.72,26.86
0.725,27.14
0.73,27.49
0.735,27.65
0.74,27.99
0.745,28.35
0.75,28.69
0.755,28.88
0.76,29.24
0.765,29.6
0.77,29.99
0.775,30.23
0.78,30.53
0.785,30.88
0.79,31.17
0.795,31.46
0.8,31.74
0.805,31.98
0.81,32.28
0.815,32.56
0.82,32.85
0.825,33.14
0.83,33.38
0.835,33.63
0.84,33.96
0.845,34.25
0.85,34.44
0.855,34.72
0.86,34.96
0.865,35.23
0.87,35.58
0.875,35.88
0.88,36.26
0.885,36.53
0.89,36.91
0.895,37.24
0.9,37.61
0.905,37.83
0.91,38.04
0.915,38.32
0.92,38.66
0.925,38.76
0.93,38.93
0.935,39.17
0.94,39.57
0.945,39.87
0.95,40.11
0.955,40.3
0.96,40.64
0.965,40.99
0.97,41.18
0.975,41.53
0.98,41.83
0.985,42.02
0.99,42.33
0.995,42.55
1.0,42.82
1.005,43.06
1.01,43.26
1.015,43.54
1.02,43.74
1.025,44.0
1.03,44.17
1.035,44.44
1.04,44.69
1.045,44.94
1.05,45.15
1.055,45.31
1.06,45.62
1.065,45.83
1.07,46.1
1.075,46.33
1.08,46.64
1.085,46.88
1.09,47.1
1.095,47.33
1.1,47.57
1.105,47.75
1.11,47.98
1.115,48.25
1.12,48.5
1.125,48.82
1.13,49.07
1.135,49.32
1.14,49.53
1.145,49.76
1.15,49.95
1.155,50.24
1.16,50.45
1.165,50.67
1.17,50.96
1.175,51.18
1.18,51.5
1.185,51.71
1.19,51.9
1.195,52.18
1.2,52.51
1.205,52.7
1.21,52.92
1.215,53.19
1.22,53.42
1.225,53.58
1.23,53.75
1.235,53.95
1.24,54.19
1.245,54.42
1.25,54.7
1.255,54.89
1.26,55.15
1.265,55.39
1.27,55.57
1.275,55.7
1.28,55.87
1.285,56.08
1.29,56.22
1.295,56.39
1.3,56.61
1.305,56.92
1.31,57.16
1.315,57.41
1.32,57.58
1.325,57.81
1.33,58.04
1.335,58.23
1.34,58.43
1.345,58.64
1.35,58.85
1.355,59.0
1.36,59.14
1.365,59.36
1.37,59.58
1.375,59.71
1.38,59.94
1.385,60.14
1.39,60.42
1.395,60.63
1.4,60.84
1.405,61.05
1.41,61.19
1.415,61.31
1.42,61.47
1.425,61.66
1.43,61.88
1.435,62.09
1.44,62.2
1.445,62.44
1.45,62.59
1.455,62.8
1.46,63.06
1.465,63.25
1.47,63.37
1.475,63.48
1.48,63.73
1.485,63.9
1.49,64.03
1.495,64.15
1.5,64.36
1.505,64.54
1.51,64.72
1.515,64.95
1.52,65.13
1.525,65.24
1.53,65.37
1.535,65.51
1.54,65.72
1.545,65.9
1.55,66.08
1.555,66.26
1.56,66.46
1.565,66.59
1.57,66.76
1.575,66.9
1.58,67.06
1.585,67.21
1.59,67.36
1.595,67.46
1.6,67.68
1.605,67.87
1.61,68.09
1.615,68.24
1.62,68.41
1.625,68.56
1.63,68.7
