Time,Susceptible,Infected,Recovered
0,90,10,0
0.005,89,11,0
0.01,87,13,0
0.015,86,14,0
0.02,85,15,0
0.025,85,14,1
0.03,83,16,1
0.035,82,16,2
0.04,82,16,2
0.045,81,17,2
0.05,79,19,2
0.055,79,19,2
0.06,77,21,2
0.065,76,22,2
0.07,76,22,2
0.075,76,22,2
0.08,76,21,3
0.085,75,22,3
0.09,75,22,3
0.095,75,22,3
0.1,74,23,3
0.105,73,24,3
0.11,73,24,3
0.115,73,24,3
0.12,72,25,3
0.125,71,25,4
0.13,71,25,4
0.135,70,25,5
0.14,68,27,5
0.145,68,27,5
0.15,68,26,6
0.155,67,27,6
0.16,67,27,6
0.165,67,27,6
0.17,66,28,6
0.175,66,28,6
0.18,66,28,6
0.185,66,28,6
0.19,66,28,6
0.195,65,29,6
0.2,64,30,6
0.205,64,29,7
0.21,64,29,7
0.215,64,29,7
0.22,62,31,7
0.225,61,32,7
0.23,59,33,8
0.235,57,34,9
0.24,56,35,9
0.245,55,36,9
0.25,54,37,9
0.255,54,37,9
0.26,54,37,9
0.265,53,38,9
0.27,52,38,10
0.275,50,39,11
0.28,50,39,11
0.285,50,39,11
0.29,50,39,11
0.295,49,40,11
0.3,47,42,11
0.305,46,43,11
0.31,45,44,11
0.315,45,44,11
0.32,44,45,11
0.325,44,45,11
0.33,44,45,11
0.335,42,47,11
0.34,39,50,11
0.345,37,52,11
0.35,37,52,11
0.355,35,54,11
0.36,33,56,11
0.365,33,56,11
0.37,32,57,11
0.375,32,57,11
0.38,32,56,12
0.385,32,56,12
0.39,31,57,12
0.395,30,58,12
0.4,29,59,12
0.405,26,61,13
0.41,24,63,13
0.415,24,63,13
0.42,23,64,13
0.425,23,64,13
0.43,23,63,14
0.435,22,64,14
0.44,22,63,15
0.445,21,63,16
0.45,21,62,17
0.455,21,62,17
0.46,19,64,17
0.465,17,66,17
0.47,16,67,17
0.475,15,68,17
0.48,15,68,17
0.485,15,68,17
0.49,15,68,17
0.495,10,73,17
0.5,8,74,18
0.505,7,74,19
0.51,7,72,21
0.515,7,71,22
0.52,7,70,23
0.525,7,69,24
0.53,7,69,24
0.535,7,69,24
0.54,7,69,24
0.545,6,70,24
0.55,6,70,24
0.555,6,70,24
0.56,6,70,24
0.565,6,70,24
0.57,6,70,24
0.575,6,69,25
0.58,6,67,27
0.585,6,67,27
0.59,6,67,27
0.595,6,67,27
0.6,6,67,27
0.605,6,67,27
0.61,6,66,28
0.615,5,66,29
0.62,5,66,29
0.625,4,67,29
0.63,4,67,29
0.635,4,66,30
0.64,4,66,30
0.645,4,63,33
0.65,4,63,33
0.655,4,63,33
0.66,4,63,33
0.665,4,62,34
0.67,4,62,34
0.675,4,62,34
0.68,4,62,34
0.685,4,62,34
0.69,4,62,34
0.695,4,62,34
0.7,4,62,34
0.705,4,61,35
0.71,4,60,36
0.715,4,60,36
0.72,4,60,36
0.725,4,60,36
0.73,3,61,36
0.735,3,61,36
0.74,3,60,37
0.745,3,59,38
0.75,3,59,38
0.755,3,59,38
0.76,3,59,38
0.765,3,59,38
0.77,3,59,38
0.775,3,59,38
0.78,3,59,38
0.785,2,60,38
0.79,2,59,39
0.795,2,59,39
0.8,2,59,39
0.805,2,59,39
0.81,2,59,39
0.815,2,59,39
0.82,2,58,40
0.825,2,56,42
0.83,2,56,42
0.835,2,56,42
0.84,2,56,42
0.845,2,55,43
0.85,2,55,43
0.855,2,55,43
0.86,2,55,43
0.865,2,55,43
0.87,2,55,43
0.875,2,55,43
0.88,2,54,44
0.885,2,54,44
0.89,2,54,44
0.895,2,54,44
0.9,2,54,44
0.905,2,54,44
0.91,2,53,45
0.915,2,52,46
0.92,2,52,46
0.925,2,52,46
0.93,2,52,46
0.935,1,53,46
0.94,1,53,46
0.945,1,53,46
0.95,1,52,47
0.955,1,52,47
0.96,1,50,49
0.965,1,50,49
0.97,1,49,50
0.975,1,49,50
0.98,1,48,51
0.985,1,48,51
0.99,1,48,51
0.995,1,46,53
1,1,46,53
1.005,1,46,53
1.01,1,46,53
1.015,1,46,53
1.02,1,46,53
1.025,1,46,53
1.03,1,46,53
1.035,1,46,53
1.04,1,46,53
1.045,1,46,53
1.05,1,46,53
1.055,1,46,53
1.06,1,46,53
1.065,1,46,53
1.07,1,46,53
1.075,1,46,53
1.08,1,46,53
1.085,1,46,53
1.09,1,45,54
1.095,1,45,54
1.1,1,44,55
1.105,1,44,55
1.11,1,44,55
1.115,1,44,55
1.12,1,44,55
1.125,1,44,55
1.13,1,44,55
1.135,1,44,55
1.14,1,44,55
1.145,1,44,55
1.15,1,44,55
1.155,1,44,55
1.16,1,44,55
1.165,1,44,55
1.17,1,44,55
1.175,1,43,56
1.18,1,43,56
1.185,1,42,57
1.19,1,42,57
1.195,1,42,57
1.2,1,42,57
1.205,1,41,58
1.21,1,41,58
1.215,1,41,58
1.22,1,41,58
1.225,1,40,59
1.23,1,40,59
1.235,1,40,59
1.24,1,40,59
1.245,1,40,59
1.25,1,40,59
1.255,1,39,60
1.26,1,39,60
1.265,1,39,60
1.27,1,39,60
1.275,1,38,61
1.28,1,38,61
1.285,1,38,61
1.29,1,38,61
1.295,1,38,61
1.3,1,38,61
1.305,1,38,61
1.31,1,38,61
1.315,1,38,61
1.32,1,38,61
1.325,1,37,62
1.33,1,36,63
1.335,1,36,63
1.34,1,36,63
1.345,1,36,63
1.35,1,36,63
1.355,1,36,63
1.36,1,36,63
1.365,1,36,63
1.37,1,36,63
1.375,1,36,63
1.38,1,36,63
1.385,1,36,63
1.39,1,35,64
1.395,1,35,64
1.4,1,35,64
1.405,1,35,64
1.41,1,35,64
1.415,1,35,64
1.42,1,35,64
1.425,1,35,64
1.43,1,35,64
1.435,1,35,64
1.44,1,35,64
1.445,1,34,65
1.45,1,33,66
1.455,1,33,66
1.46,1,33,66
1.465,1,33,66
1.47,1,32,67
1.475,1,31,68
1.48,1,31,68
1.485,1,31,68
1.49,1,31,68
1.495,1,31,68
1.5,1,31,68
1.505,1,31,68
1.51,1,31,68
1.515,1,31,68
1.52,1,31,68
1.525,1,31,68
1.53,1,31,68
1.535,1,31,68
1.54,1,31,68
1.545,1,31,68
1.55,1,31,68
1.555,1,31,68
1.56,1,31,68
1.565,1,31,68
1.57,1,31,68
1.575,1,31,68
1.58,1,31,68
1.585,1,31,68
1.59,1,31,68
1.595,1,31,68
1.6,1,30,69
1.605,1,30,69
1.61,1,30,69
1.615,1,30,69
1.62,1,30,69
1.625,1,30,69
1.63,1,30,69
1.635,1,30,69
1.64,1,30,69
1.645,1,30,69
1.65,1,30,69
1.655,1,30,69
1.66,1,30,69
1.665,1,30,69
1.67,1,30,69
1.675,1,30,69
1.68,1,30,69
1.685,1,30,69
1.69,1,30,69
1.695,1,30,69
1.7,1,30,69
1.705,1,29,70
1.71,1,29,70
1.715,1,29,70
1.72,1,29,70
1.725,1,29,70
1.73,1,28,71
1.735,1,27,72
1.74,1,27,72
1.745,1,27,72
1.75,1,27,72
1.755,1,27,72
1.76,1,26,73
1.765,1,26,73
1.77,1,26,73
1.775,1,26,73
1.78,1,26,73
1.785,1,25,74
1.79,1,25,74
1.795,1,25,74
1.8,1,25,74
1.805,1,25,74
1.81,1,25,74
1.815,1,25,74
1.82,1,24,75
1.825,1,24,75
1.83,1,23,76
1.835,1,23,76
1.84,1,23,76
1.845,1,23,76
1.85,1,23,76
1.855,1,23,76
1.86,1,23,76
1.865,1,23,76
1.87,1,23,76
1.875,1,23,76
1.88,1,23,76
1.885,1,23,76
1.89,1,23,76
1.895,1,22,77
1.9,1,22,77
1.905,1,22,77
1.91,1,22,77
1.915,1,22,77
1.92,1,22,77
1.925,1,22,77
1.93,1,22,77
1.935,1,22,77
1.94,1,22,77
1.945,1,22,77
1.95,1,22,77
1.955,1,22,77
1.96,1,21,78
1.965,1,21,78
1.97,1,21,78
1.975,1,21,78
1.98,1,21,78
1.985,1,21,78
1.99,1,21,78
1.995,1,20,79
2,1,20,79
2.005,1,20,79
2.01,1,20,79
2.015,1,20,79
2.02,1,19,80
2.025,1,19,80
2.03,1,19,80
2.035,1,18,81
2.04,1,18,81
2.045,1,18,81
2.05,1,18,81
2.055,1,18,81
2.06,1,18,81
2.065,1,18,81
2.07,1,18,81
2.075,1,18,81
2.08,1,18,81
2.085,1,18,81
2.09,1,18,81
2.095,1,18,81
2.1,1,18,81
2.105,1,18,81
2.11,1,18,81
2.115,1,18,81
2.12,1,18,81
2.125,1,18,81
2.13,1,17,82
2.135,1,17,82
2.14,1,16,83
2.145,1,16,83
2.15,1,16,83
2.155,1,16,83
2.16,1,15,84
2.165,1,15,84
2.17,1,15,84
2.175,1,15,84
2.18,1,15,84
2.185,1,15,84
2.19,1,15,84
2.195,1,15,84
2.2,1,15,84
2.205,1,15,84
2.21,1,15,84
2.215,1,14,85
2.22,1,14,85
2.225,1,14,85
2.23,1,14,85
2.235,1,14,85
2.24,1,14,85
2.245,1,14,85
2.25,1,14,85
2.255,1,14,85
2.26,1,14,85
2.265,1,14,85
2.27,1,14,85
2.275,1,14,85
2.28,1,14,85
2.285,1,14,85
2.29,1,14,85
2.295,1,14,85
2.3,1,14,85
2.305,1,14,85
2.31,1,14,85
2.315,1,14,85
2.32,1,14,85
2.325,1,14,85
2.33,1,14,85
2.335,1,14,85
2.34,1,14,85
2.345,1,14,85
2.35,1,14,85
2.355,1,14,85
2.36,1,14,85
2.365,1,14,85
2.37,1,14,85
2.375,1,14,85
2.38,1,14,85
2.385,1,14,85
2.39,1,14,85
2.395,1,14,85
2.4,1,14,85
2.405,1,14,85
2.41,1,14,85
2.415,1,14,85
2.42,1,14,85
2.425,1,13,86
2.43,1,13,86
2.435,1,13,86
2.44,1,13,86
2.445,1,13,86
2.45,1,13,86
2.455,1,13,86
2.46,1,13,86
2.465,1,13,86
2.47,1,12,87
2.475,1,12,87
2.48,1,12,87
2.485,1,12,87
2.49,1,11,88
2.495,1,11,88
2.5,1,11,88
2.505,1,10,89
2.51,1,10,89
2.515,1,10,89
2.52,1,10,89
2.525,1,10,89
2.53,1,10,89
2.535,1,10,89
2.54,1,10,89
2.545,1,10,89
2.55,1,10,89
2.555,1,10,89
2.56,1,10,89
2.565,1,10,89
2.57,1,10,89
2.575,1,10,89
2.58,1,10,89
2.585,1,10,89
2.59,1,10,89
2.595,1,10,89
2.6,1,10,89
2.605,1,10,89
2.61,1,10,89
2.615,1,10,89
2.62,1,10,89
2.625,1,10,89
2.63,1,10,89
2.635,1,9,90
2.64,1,9,90
2.645,1,9,90
2.65,1,9,90
2.655,1,9,90
2.66,1,9,90
2.665,1,9,90
2.67,1,9,90
2.675,1,9,90
2.68,1,9,90
2.685,1,9,90
2.69,1,9,90
2.695,1,9,90
2.7,1,9,90
2.705,1,9,90
2.71,1,9,90
2.715,1,9,90
2.72,1,9,90
2.725,1,9,90
2.73,1,9,90
2.735,1,9,90
2.74,1,9,90
2.745,1,9,90
2.75,1,9,90
2.755,1,9,90
2.76,1,9,90
2.765,1,9,90
2.77,0,10,90
2.775,0,10,90
2.78,0,10,90
2.785,0,10,90
2.79,0,10,90
2.795,0,10,90
2.8,0,10,90
2.805,0,10,90
2.81,0,10,90
2.815,0,10,90
2.82,0,10,90
2.825,0,10,90
2.83,0,10,90
2.835,0,10,90
2.84,0,10,90
2.845,0,10,90
2.85,0,10,90
2.855,0,10,90
2.86,0,10,90
2.865,0,10,90
2.87,0,10,90
2.875,0,10,90
2.88,0,10,90
2.885,0,10,90
2.89,0,10,90
2.895,0,10,90
2.9,0,10,90
2.905,0,9,91
2.91,0,9,91
2.915,0,9,91
2.92,0,9,91
2.925,0,9,91
2.93,0,9,91
2.935,0,9,91
2.94,0,9,91
2.945,0,9,91
2.95,0,9,91
2.955,0,9,91
2.96,0,9,91
2.965,0,9,91
2.97,0,9,91
2.975,0,9,91
2.98,0,9,91
2.985,0,9,91
2.99,0,9,91
2.995,0,9,91
3,0,9,91
3.005,0,8,92
3.01,0,8,92
3.015,0,8,92
3.02,0,8,92
3.025,0,8,92
3.03,0,8,92
3.035,0,8,92
3.04,0,8,92
3.045,0,8,92
3.05,0,8,92
3.055,0,8,92
3.06,0,8,92
3.065,0,8,92
3.07,0,8,92
3.075,0,8,92
3.08,0,8,92
3.085,0,8,92
3.09,0,8,92
3.095,0,8,92
3.1,0,8,92
3.105,0,8,92
3.11,0,8,92
3.115,0,8,92
3.12,0,8,92
3.125,0,8,92
3.13,0,8,92
3.135,0,8,92
3.14,0,8,92
3.145,0,8,92
3.15,0,8,92
3.155,0,8,92
3.16,0,8,92
3.165,0,8,92
3.17,0,8,92
3.175,0,8,92
3.18,0,8,92
3.185,0,8,92
3.19,0,8,92
3.195,0,8,92
3.2,0,8,92
3.205,0,8,92
3.21,0,8,92
3.215,0,8,92
3.22,0,8,92
3.225,0,8,92
3.23,0,8,92
3.235,0,8,92
3.24,0,8,92
3.245,0,8,92
3.25,0,8,92
3.255,0,8,92
3.26,0,8,92
3.265,0,8,92
3.27,0,8,92
3.275,0,8,92
3.28,0,8,92
3.285,0,8,92
3.29,0,8,92
3.295,0,8,92
3.3,0,8,92
3.305,0,7,93
3.31,0,7,93
3.315,0,7,93
