time,susceptible mean
0.0,90.0
0.005,89.62
0.01,89.4
0.015,89.12
0.02,88.8
0.025,88.38
0.03,88.01
0.035,87.57
0.04,87.3
0.045,86.96
0.05,86.49
0.055,85.99
0.06,85.48
0.065,85.08
0.07,84.72
0.075,84.33
0.08,83.99
0.085,83.54
0.09,83.06
0.095,82.62
0.1,82.2
0.105,81.84
0.11,81.36
0.115,80.9
0.12,80.39
0.125,79.9
0.13,79.36
0.135,78.8
0.14,78.42
0.145,77.9
0.15,77.29
0.155,76.64
0.16,76.08
0.165,75.66
0.17,75.07
0.175,74.47
0.18,73.96
0.185,73.24
0.19,72.61
0.195,71.98
0.2,71.44
0.205,70.92
0.21,70.01
0.215,69.33
0.22,68.7
0.225,68.12
0.23,67.44
0.235,66.71
0.24,65.94
0.245,65.23
0.25,64.48
0.255,63.9
0.26,63.13
0.265,62.39
0.27,61.7
0.275,61.04
0.28,60.4
0.285,59.79
0.29,59.05
0.295,58.45
0.3,57.79
0.305,57.16
0.31,56.45
0.315,55.85
0.32,55.23
0.325,54.46
0.33,53.62
0.335,53.03
0.34,52.18
0.345,51.55
0.35,50.78
0.355,50.15
0.36,49.33
0.365,48.66
0.37,47.85
0.375,47.22
0.38,46.68
0.385,45.85
0.39,45.17
0.395,44.52
0.4,43.87
0.405,43.24
0.41,42.59
0.415,42.0
0.42,41.28
0.425,40.64
0.43,40.01
0.435,39.3
0.44,38.86
0.445,38.2
0.45,37.53
0.455,36.82
0.46,36.29
0.465,35.85
0.47,35.3
0.475,34.66
0.48,34.03
0.485,33.47
0.49,32.81
0.495,32.33
0.5,31.89
0.505,31.33
0.51,30.7
0.515,30.14
0.52,29.55
0.525,29.01
0.53,28.55
0.535,27.95
0.54,27.45
0.545,27.0
0.55,26.53
0.555,25.98
0.56,25.53
0.565,24.95
0.57,24.46
0.575,24.01
0.58,23.6
0.585,23.16
0.59,22.63
0.595,22.26
0.6,21.83
0.605,21.42
0.61,21.1
0.615,20.7
0.62,20.27
0.625,19.72
0.63,19.4
0.635,19.02
0.64,18.64
0.645,18.23
0.65,17.82
0.655,17.35
0.66,17.04
0.665,16.78
0.67,16.51
0.675,16.06
0.68,15.78
0.685,15.44
0.69,15.14
0.695,14.86
0.7,14.62
0.705,14.37
0.71,14.13
0.715,13.88
0.72,13.55
0.725,13.36
0.73,13.14
0.735,12.9
0.74,12.66
0.745,12.41
0.75,12.21
0.755,11.96
0.76,11.68
0.765,11.4
0.77,11.17
0.775,10.98
0.78,10.73
0.785,10.49
0.79,10.31
0.795,10.17
0.8,9.96
0.805,9.82
0.81,9.61
0.815,9.49
0.82,9.24
0.825,9.1
0.83,8.91
0.835,8.62
0.84,8.51
0.845,8.37
0.85,8.2
0.855,8.01
0.86,7.93
0.865,7.77
0.87,7.64
0.875,7.53
0.88,7.36
0.885,7.25
0.89,7.08
0.895,6.91
0.9,6.8
0.905,6.67
0.91,6.54
0.915,6.44
0.92,6.32
0.925,6.18
0.93,6.04
0.935,5.94
0.94,5.83
0.945,5.75
0.95,5.61
0.955,5.5
0.96,5.43
0.965,5.34
0.97,5.23
0.975,5.13
0.98,5.02
0.985,4.94
0.99,4.8
0.995,4.7
1.0,4.56
1.005,4.47
1.01,4.42
1.015,4.32
1.02,4.23
1.025,4.17
1.03,4.12
1.035,4.08
1.04,3.97
1.045,3.92
1.05,3.75
1.055,3.68
1.06,3.65
1.065,3.56
1.07,3.5
1.075,3.41
1.08,3.35
1.085,3.3
1.09,3.23
1.095,3.13
1.1,3.09
1.105,3.03
1.11,2.98
1.115,2.96
1.12,2.9
1.125,2.87
1.13,2.82
1.135,2.76
1.14,2.72
1.145,2.66
1.15,2.63
1.155,2.59
1.16,2.51
1.165,2.47
1.17,2.46
1.175,2.41
1.18,2.37
1.185,2.33
1.19,2.31
1.195,2.25
1.2,2.23
1.205,2.2
1.21,2.15
1.215,2.1
1.22,2.09
1.225,2.07
1.23,2.01
1.235,1.98
1.24,1.96
1.245,1.95
1.25,1.92
1.255,1.92
1.26,1.9
1.265,1.87
1.27,1.87
1.275,1.87
1.28,1.84
1.285,1.83
1.29,1.82
1.295,1.79
1.3,1.77
1.305,1.76
1.31,1.7
1.315,1.69
1.32,1.63
1.325,1.58
1.33,1.58
1.335,1.57
1.34,1.56
1.345,1.55
1.35,1.54
1.355,1.52
1.36,1.52
1.365,1.49
1.37,1.46
1.375,1.44
1.38,1.44
1.385,1.41
1.39,1.39
1.395,1.38
1.4,1.35
1.405,1.34
1.41,1.31
1.415,1.28
1.42,1.27
1.425,1.27
1.43,1.22
1.435,1.21
1.44,1.19
1.445,1.16
1.45,1.16
1.455,1.16
1.46,1.16
1.465,1.16
1.47,1.14
1.475,1.13
1.48,1.12
1.485,1.08
1.49,1.08
1.495,1.05
1.5,1.04
1.505,1.03
1.51,1.01
1.515,0.99
1.52,0.98
1.525,0.97
1.53,0.95
1.535,0.95
1.54,0.93
1.545,0.91
1.55,0.9
1.555,0.88
1.56,0.87
1.565,0.85
1.57,0.85
1.575,0.84
