time,infected mean
0.0,10.0
0.005,10.13
0.01,10.3
0.015,10.33
0.02,10.41
0.025,10.48
0.03,10.52
0.035,10.64
0.04,10.75
0.045,10.88
0.05,11.0
0.055,11.08
0.06,11.16
0.065,11.26
0.07,11.33
0.075,11.5
0.08,11.54
0.085,11.66
0.09,11.78
0.095,11.9
0.1,11.99
0.105,12.04
0.11,12.13
0.115,12.25
0.12,12.32
0.125,12.34
0.13,12.43
0.135,12.48
0.14,12.63
0.145,12.72
0.15,12.81
0.155,12.9
0.16,13.09
0.165,13.1
0.17,13.21
0.175,13.32
0.18,13.43
0.185,13.51
0.19,13.69
0.195,13.78
0.2,13.89
0.205,14.05
0.21,14.23
0.215,14.31
0.22,14.46
0.225,14.55
0.23,14.7
0.235,14.82
0.24,14.88
0.245,14.93
0.25,15.12
0.255,15.29
0.26,15.31
0.265,15.38
0.27,15.54
0.275,15.51
0.28,15.66
0.285,15.84
0.29,15.92
0.295,16.05
0.3,16.25
0.305,16.43
0.31,16.46
0.315,16.62
0.32,16.7
0.325,16.79
0.33,16.93
0.335,17.0
0.34,17.16
0.345,17.25
0.35,17.43
0.355,17.62
0.36,17.7
0.365,17.77
0.37,17.86
0.375,17.98
0.38,18.26
0.385,18.38
0.39,18.48
0.395,18.48
0.4,18.61
0.405,18.74
0.41,18.86
0.415,18.94
0.42,19.01
0.425,19.17
0.43,19.28
0.435,19.35
0.44,19.44
0.445,19.54
0.45,19.72
0.455,19.83
0.46,19.99
0.465,20.06
0.47,20.18
0.475,20.25
0.48,20.39
0.485,20.55
0.49,20.68
0.495,20.78
0.5,20.96
0.505,21.04
0.51,21.19
0.515,21.35
0.52,21.47
0.525,21.62
0.53,21.8
0.535,21.96
0.54,22.12
0.545,22.33
0.55,22.53
0.555,22.54
0.56,22.74
0.565,23.06
0.57,23.24
0.575,23.33
0.58,23.43
0.585,23.51
0.59,23.56
0.595,23.76
0.6,23.84
0.605,23.92
0.61,24.13
0.615,24.28
0.62,24.34
0.625,24.53
0.63,24.69
0.635,24.91
0.64,25.03
0.645,25.11
0.65,25.22
0.655,25.33
0.66,25.53
0.665,25.65
0.67,25.92
0.675,26.04
0.68,26.28
0.685,26.49
0.69,26.64
0.695,26.85
0.7,27.0
0.705,27.14
0.71,27.33
0.715,27.45
0.72,27.62
0.725,27.73
0.73,27.88
0.735,27.97
0.74,28.14
0.745,28.29
0.75,28.38
0.755,28.46
0.76,28.58
0.765,28.7
0.77,28.88
0.775,29.19
0.78,29.4
0.785,29.55
0.79,29.7
0.795,29.86
0.8,29.99
