Time,Susceptible,Infected
0,99,1
1,99,1
2,99,1
3,98,2
4,98,2
5,98,2
6,98,2
7,98,2
8,98,2
9,97,3
10,97,3
11,97,3
12,97,3
13,97,3
14,97,3
15,97,3
16,97,3
17,97,3
18,97,3
19,97,3
20,96,4
21,96,4
22,96,4
23,96,4
24,96,4
25,96,4
26,96,4
27,96,4
28,96,4
29,95,5
30,95,5
31,94,6
32,94,6
33,94,6
34,94,6
35,94,6
36,92,8
37,92,8
38,91,9
39,90,10
40,89,11
41,89,11
42,88,12
43,87,13
44,85,15
45,85,15
46,85,15
47,85,15
48,82,18
49,80,20
50,78,22
51,75,25
52,74,26
53,68,32
54,68,32
55,66,34
56,66,34
57,65,35
58,63,37
59,64,36
60,61,39
61,61,39
62,57,43
63,56,44
64,53,47
65,52,48
66,49,51
67,47,53
68,45,55
69,43,57
70,41,59
71,36,64
72,35,65
73,30,70
74,29,71
75,26,74
76,25,75
77,24,76
78,25,75
79,21,79
80,19,81
81,17,83
82,18,82
83,15,85
84,14,86
85,15,85
86,14,86
87,14,86
88,13,87
89,14,86
90,11,89
91,9,91
92,8,92
93,10,90
94,9,91
95,8,92
96,8,92
97,8,92
98,10,90
99,10,90
100,12,88
101,13,87
102,14,86
103,12,88
104,11,89
105,10,90
106,11,89
107,11,89
108,10,90
109,9,91
110,11,89
111,12,88
112,11,89
113,9,91
114,7,93
115,7,93
116,8,92
117,8,92
118,10,90
119,9,91
120,8,92
121,9,91
122,9,91
123,12,88
124,13,87
125,12,88
126,10,90
127,10,90
128,10,90
129,10,90
130,11,89
131,11,89
132,10,90
133,10,90
134,12,88
135,13,87
136,13,87
137,11,89
138,11,89
139,11,89
140,10,90
141,10,90
142,9,91
143,10,90
144,10,90
145,10,90
146,14,86
147,14,86
148,15,85
149,15,85
150,14,86
151,12,88
152,11,89
153,10,90
154,10,90
155,8,92
156,8,92
157,9,91
158,9,91
159,10,90
160,10,90
161,11,89
162,11,89
163,11,89
164,12,88
165,9,91
166,7,93
167,8,92
168,11,89
169,12,88
170,11,89
171,12,88
172,11,89
173,11,89
174,11,89
175,11,89
176,10,90
177,9,91
178,9,91
179,7,93
180,6,94
181,6,94
182,7,93
183,8,92
184,11,89
185,12,88
186,11,89
187,12,88
188,11,89
189,13,87
190,12,88
191,10,90
192,10,90
193,8,92
194,9,91
195,8,92
196,8,92
197,8,92
198,8,92
199,8,92
200,8,92
201,8,92
202,9,91
203,7,93
204,8,92
205,9,91
206,11,89
207,11,89
208,10,90
209,12,88
210,10,90
211,8,92
212,8,92
213,8,92
214,9,91
215,10,90
216,10,90
217,9,91
218,9,91
219,9,91
220,10,90
221,10,90
222,11,89
223,9,91
224,8,92
225,7,93
226,6,94
227,4,96
228,7,93
229,9,91
230,8,92
231,7,93
232,8,92
233,8,92
234,8,92
235,9,91
236,10,90
237,9,91
238,7,93
239,6,94
240,6,94
241,4,96
242,4,96
243,6,94
244,6,94
245,9,91
246,10,90
247,12,88
248,13,87
249,13,87
250,11,89
251,11,89
252,12,88
253,13,87
254,14,86
255,12,88
256,13,87
257,15,85
258,13,87
259,11,89
260,11,89
261,9,91
262,9,91
263,9,91
264,6,94
265,8,92
266,6,94
267,5,95
268,5,95
269,6,94
270,7,93
271,9,91
272,10,90
273,12,88
274,13,87
275,15,85
276,15,85
277,14,86
278,14,86
279,14,86
280,15,85
281,15,85
282,15,85
283,13,87
284,12,88
285,13,87
286,12,88
287,10,90
288,9,91
289,9,91
290,8,92
291,9,91
292,10,90
293,9,91
294,9,91
295,9,91
296,8,92
297,8,92
298,9,91
299,9,91
300,10,90
301,8,92
302,8,92
303,8,92
304,8,92
305,9,91
306,9,91
307,9,91
308,8,92
309,8,92
310,9,91
311,10,90
312,8,92
313,8,92
314,8,92
315,8,92
316,8,92
317,7,93
318,8,92
319,10,90
320,10,90
321,11,89
322,13,87
323,13,87
324,13,87
325,14,86
326,13,87
327,15,85
328,17,83
329,16,84
330,16,84
331,17,83
332,17,83
333,15,85
334,14,86
335,13,87
336,14,86
337,14,86
338,15,85
339,15,85
340,16,84
341,16,84
342,16,84
343,14,86
344,13,87
345,11,89
346,12,88
347,11,89
348,12,88
349,12,88
350,11,89
351,13,87
352,12,88
353,11,89
354,11,89
355,9,91
356,10,90
357,10,90
358,9,91
359,10,90
360,9,91
361,9,91
362,9,91
363,8,92
364,7,93
365,8,92
366,7,93
367,7,93
368,8,92
369,8,92
370,6,94
371,5,95
372,5,95
373,4,96
374,5,95
375,5,95
376,8,92
377,9,91
378,7,93
379,8,92
380,9,91
381,7,93
382,6,94
383,7,93
384,7,93
385,7,93
386,8,92
387,6,94
388,6,94
389,7,93
390,6,94
391,6,94
392,5,95
393,6,94
394,6,94
395,5,95
396,7,93
397,9,91
398,8,92
399,10,90
400,10,90
401,9,91
402,9,91
403,10,90
404,10,90
405,12,88
406,13,87
407,12,88
408,11,89
409,10,90
410,11,89
411,12,88
412,12,88
413,13,87
414,11,89
415,10,90
416,7,93
417,9,91
418,11,89
419,10,90
420,10,90
421,11,89
422,12,88
423,12,88
424,12,88
425,10,90
426,10,90
427,10,90
428,11,89
429,12,88
430,9,91
431,10,90
432,9,91
433,11,89
434,12,88
435,10,90
436,10,90
437,11,89
438,12,88
439,13,87
440,13,87
441,10,90
442,11,89
443,10,90
444,10,90
445,10,90
446,10,90
447,9,91
448,11,89
449,11,89
450,9,91
451,11,89
452,11,89
453,10,90
454,10,90
455,10,90
456,10,90
457,10,90
458,12,88
459,11,89
460,12,88
461,12,88
462,8,92
463,10,90
464,10,90
465,10,90
466,12,88
467,12,88
468,12,88
469,12,88
470,11,89
471,11,89
472,10,90
473,10,90
474,11,89
475,11,89
476,12,88
477,14,86
478,13,87
479,11,89
480,11,89
481,9,91
482,9,91
483,11,89
484,12,88
485,12,88
486,13,87
487,14,86
488,15,85
489,14,86
490,16,84
491,17,83
492,17,83
493,20,80
494,19,81
495,18,82
496,22,78
497,21,79
498,20,80
499,18,82
500,13,87
501,14,86
502,14,86
503,13,87
504,11,89
505,11,89
506,11,89
507,11,89
508,9,91
509,11,89
510,13,87
511,12,88
512,12,88
513,12,88
514,13,87
515,14,86
516,17,83
517,18,82
518,16,84
519,15,85
520,16,84
521,15,85
522,16,84
523,17,83
524,18,82
525,14,86
526,14,86
527,14,86
528,12,88
529,13,87
530,14,86
531,15,85
532,13,87
533,12,88
534,11,89
535,10,90
536,13,87
537,12,88
538,11,89
539,10,90
540,12,88
541,11,89
542,10,90
543,10,90
544,8,92
545,8,92
546,8,92
547,8,92
548,8,92
549,8,92
550,8,92
551,9,91
552,10,90
553,11,89
554,10,90
555,7,93
556,6,94
557,8,92
558,7,93
559,7,93
560,8,92
561,8,92
562,9,91
563,8,92
564,6,94
565,5,95
566,5,95
567,4,96
568,3,97
569,3,97
570,5,95
571,6,94
572,5,95
573,5,95
574,6,94
575,7,93
576,7,93
577,6,94
578,8,92
579,8,92
580,9,91
581,10,90
582,11,89
583,10,90
584,11,89
585,9,91
586,9,91
587,11,89
588,9,91
589,9,91
590,10,90
591,9,91
592,9,91
593,9,91
594,9,91
595,10,90
596,9,91
597,9,91
598,9,91
599,9,91
600,10,90
601,9,91
602,9,91
603,10,90
604,10,90
605,11,89
606,13,87
607,14,86
608,15,85
609,11,89
610,8,92
611,9,91
612,11,89
613,11,89
614,11,89
615,11,89
616,10,90
617,11,89
618,12,88
619,13,87
620,14,86
621,12,88
622,11,89
623,9,91
624,9,91
625,8,92
626,7,93
627,7,93
628,11,89
629,10,90
630,12,88
631,11,89
632,11,89
633,9,91
634,5,95
635,3,97
636,4,96
637,5,95
638,4,96
639,4,96
640,4,96
641,6,94
642,5,95
643,6,94
644,6,94
645,5,95
646,6,94
647,6,94
648,4,96
649,6,94
650,6,94
651,8,92
652,6,94
653,7,93
654,8,92
655,7,93
656,7,93
657,8,92
658,8,92
659,9,91
660,12,88
661,12,88
662,14,86
663,15,85
664,16,84
665,17,83
666,18,82
667,13,87
668,15,85
669,15,85
670,16,84
671,16,84
672,16,84
673,16,84
674,17,83
675,17,83
676,15,85
677,12,88
678,11,89
679,11,89
680,10,90
681,10,90
682,11,89
683,10,90
684,10,90
685,8,92
686,8,92
687,8,92
688,6,94
689,4,96
690,5,95
691,3,97
692,4,96
693,7,93
694,7,93
695,7,93
696,9,91
697,8,92
698,6,94
699,6,94
700,7,93
701,7,93
702,7,93
703,7,93
704,6,94
705,7,93
706,8,92
707,7,93
708,6,94
709,6,94
710,6,94
711,7,93
712,8,92
713,9,91
714,9,91
715,9,91
716,9,91
