Time,Susceptible,Infected
0,99,1
0.005,99,1
0.01,99,1
0.015,99,1
0.02,99,1
0.025,99,1
0.03,99,1
0.035,99,1
0.04,99,1
0.045,99,1
0.05,99,1
0.055,99,1
0.06,99,1
0.065,99,1
0.07,99,1
0.075,99,1
0.08,99,1
0.085,99,1
0.09,99,1
0.095,99,1
0.1,99,1
0.105,99,1
0.11,99,1
0.115,99,1
0.12,99,1
0.125,99,1
0.13,98,2
0.135,98,2
0.14,98,2
0.145,97,3
0.15,97,3
0.155,97,3
0.16,97,3
0.165,96,4
0.17,96,4
0.175,96,4
0.18,96,4
0.185,97,3
0.19,97,3
0.195,97,3
0.2,97,3
0.205,97,3
0.21,97,3
0.215,97,3
0.22,97,3
0.225,97,3
0.23,97,3
0.235,96,4
0.24,96,4
0.245,95,5
0.25,94,6
0.255,94,6
0.26,94,6
0.265,94,6
0.27,94,6
0.275,94,6
0.28,94,6
0.285,94,6
0.29,94,6
0.295,94,6
0.3,94,6
0.305,94,6
0.31,94,6
0.315,94,6
0.32,94,6
0.325,94,6
0.33,94,6
0.335,94,6
0.34,94,6
0.345,94,6
0.35,94,6
0.355,94,6
0.36,94,6
0.365,94,6
0.37,93,7
0.375,93,7
0.38,93,7
0.385,93,7
0.39,93,7
0.395,92,8
0.4,92,8
0.405,92,8
0.41,92,8
0.415,92,8
0.42,92,8
0.425,92,8
0.43,92,8
0.435,92,8
0.44,92,8
0.445,92,8
0.45,92,8
0.455,92,8
0.46,92,8
0.465,92,8
0.47,92,8
0.475,92,8
0.48,90,10
0.485,89,11
0.49,90,10
0.495,90,10
0.5,90,10
0.505,89,11
0.51,89,11
0.515,89,11
0.52,89,11
0.525,90,10
0.53,90,10
0.535,88,12
0.54,88,12
0.545,88,12
0.55,88,12
0.555,87,13
0.56,87,13
0.565,87,13
0.57,87,13
0.575,87,13
0.58,86,14
0.585,86,14
0.59,84,16
0.595,82,18
0.6,81,19
0.605,80,20
0.61,79,21
0.615,79,21
0.62,78,22
0.625,77,23
0.63,76,24
0.635,76,24
0.64,75,25
0.645,74,26
0.65,74,26
0.655,74,26
0.66,73,27
0.665,74,26
0.67,72,28
0.675,72,28
0.68,72,28
0.685,72,28
0.69,71,29
0.695,72,28
0.7,73,27
0.705,72,28
0.71,72,28
0.715,72,28
0.72,71,29
0.725,70,30
0.73,70,30
0.735,69,31
0.74,68,32
0.745,68,32
0.75,68,32
0.755,64,36
0.76,65,35
0.765,65,35
0.77,65,35
0.775,65,35
0.78,65,35
0.785,64,36
0.79,63,37
0.795,63,37
0.8,63,37
0.805,63,37
0.81,63,37
0.815,62,38
0.82,62,38
0.825,63,37
0.83,62,38
0.835,60,40
0.84,60,40
0.845,59,41
0.85,57,43
0.855,57,43
0.86,57,43
0.865,54,46
0.87,53,47
0.875,53,47
0.88,53,47
0.885,53,47
0.89,53,47
0.895,53,47
0.9,52,48
0.905,51,49
0.91,50,50
0.915,51,49
0.92,50,50
0.925,50,50
0.93,48,52
0.935,48,52
0.94,49,51
0.945,48,52
0.95,48,52
0.955,46,54
0.96,45,55
0.965,46,54
0.97,47,53
0.975,46,54
0.98,46,54
0.985,45,55
0.99,43,57
0.995,43,57
1,42,58
1.005,41,59
1.01,40,60
1.015,40,60
1.02,40,60
1.025,39,61
1.03,39,61
1.035,37,63
1.04,38,62
1.045,40,60
1.05,39,61
1.055,40,60
1.06,40,60
1.065,39,61
1.07,38,62
1.075,38,62
1.08,38,62
1.085,38,62
1.09,38,62
1.095,37,63
1.1,35,65
1.105,35,65
1.11,36,64
1.115,37,63
1.12,37,63
1.125,36,64
1.13,37,63
1.135,36,64
1.14,36,64
1.145,35,65
1.15,35,65
1.155,35,65
1.16,35,65
1.165,32,68
1.17,33,67
1.175,33,67
1.18,33,67
1.185,32,68
1.19,31,69
1.195,32,68
1.2,33,67
1.205,31,69
1.21,29,71
1.215,28,72
1.22,27,73
1.225,27,73
1.23,24,76
1.235,24,76
1.24,23,77
1.245,22,78
1.25,22,78
1.255,22,78
1.26,22,78
1.265,23,77
1.27,21,79
1.275,21,79
1.28,21,79
1.285,20,80
1.29,21,79
1.295,19,81
1.3,19,81
1.305,19,81
1.31,19,81
1.315,20,80
1.32,17,83
1.325,17,83
1.33,17,83
1.335,18,82
1.34,17,83
1.345,18,82
1.35,19,81
1.355,20,80
1.36,21,79
1.365,20,80
1.37,20,80
1.375,20,80
1.38,21,79
1.385,21,79
1.39,21,79
1.395,20,80
1.4,21,79
1.405,21,79
1.41,19,81
1.415,19,81
1.42,19,81
1.425,18,82
1.43,18,82
1.435,18,82
1.44,18,82
1.445,20,80
1.45,21,79
1.455,22,78
1.46,23,77
1.465,23,77
1.47,23,77
1.475,25,75
1.48,25,75
1.485,24,76
1.49,24,76
1.495,24,76
1.5,24,76
1.505,23,77
1.51,23,77
1.515,25,75
1.52,26,74
1.525,26,74
1.53,26,74
1.535,26,74
1.54,26,74
1.545,27,73
1.55,27,73
1.555,30,70
1.56,29,71
1.565,29,71
1.57,29,71
1.575,27,73
1.58,26,74
1.585,28,72
1.59,29,71
1.595,28,72
1.6,28,72
1.605,27,73
1.61,26,74
1.615,25,75
1.62,25,75
1.625,23,77
1.63,24,76
1.635,24,76
1.64,23,77
1.645,22,78
1.65,20,80
1.655,19,81
1.66,17,83
1.665,17,83
1.67,16,84
1.675,16,84
1.68,16,84
1.685,17,83
1.69,16,84
1.695,16,84
1.7,16,84
1.705,17,83
1.71,19,81
1.715,18,82
1.72,19,81
1.725,18,82
1.73,18,82
1.735,18,82
1.74,17,83
1.745,17,83
1.75,17,83
1.755,17,83
1.76,17,83
1.765,18,82
1.77,18,82
1.775,18,82
1.78,19,81
1.785,19,81
1.79,19,81
1.795,18,82
1.8,19,81
1.805,18,82
1.81,19,81
1.815,19,81
1.82,19,81
1.825,21,79
1.83,21,79
1.835,22,78
1.84,22,78
1.845,23,77
1.85,23,77
1.855,23,77
1.86,23,77
1.865,23,77
1.87,20,80
1.875,21,79
1.88,21,79
1.885,22,78
1.89,21,79
1.895,19,81
1.9,19,81
1.905,18,82
1.91,18,82
1.915,19,81
1.92,19,81
1.925,18,82
1.93,18,82
1.935,18,82
1.94,18,82
1.945,18,82
1.95,17,83
1.955,17,83
1.96,16,84
1.965,16,84
1.97,16,84
1.975,17,83
1.98,18,82
1.985,19,81
1.99,18,82
1.995,17,83
2,18,82
2.005,18,82
2.01,18,82
2.015,17,83
2.02,18,82
2.025,18,82
2.03,17,83
2.035,17,83
2.04,17,83
2.045,18,82
2.05,15,85
2.055,14,86
2.06,14,86
2.065,13,87
2.07,12,88
2.075,12,88
2.08,12,88
2.085,13,87
2.09,12,88
2.095,12,88
2.1,13,87
2.105,14,86
2.11,14,86
2.115,14,86
2.12,14,86
2.125,12,88
