time,susceptible mean
0.0,90.0
0.005,89.87
0.01,89.7
0.015,89.67
0.02,89.59
0.025,89.52
0.03,89.48
0.035,89.36
0.04,89.25
0.045,89.12
0.05,89.0
0.055,88.92
0.06,88.84
0.065,88.74
0.07,88.67
0.075,88.5
0.08,88.46
0.085,88.34
0.09,88.22
0.095,88.1
0.1,88.01
0.105,87.96
0.11,87.87
0.115,87.75
0.12,87.68
0.125,87.66
0.13,87.57
0.135,87.52
0.14,87.37
0.145,87.28
0.15,87.19
0.155,87.1
0.16,86.91
0.165,86.9
0.17,86.79
0.175,86.68
0.18,86.57
0.185,86.49
0.19,86.31
0.195,86.22
0.2,86.11
0.205,85.95
0.21,85.77
0.215,85.69
0.22,85.54
0.225,85.45
0.23,85.3
0.235,85.18
0.24,85.12
0.245,85.07
0.25,84.88
0.255,84.71
0.26,84.69
0.265,84.62
0.27,84.46
0.275,84.49
0.28,84.34
0.285,84.16
0.29,84.08
0.295,83.95
0.3,83.75
0.305,83.57
0.31,83.54
0.315,83.38
0.32,83.3
0.325,83.21
0.33,83.07
0.335,83.0
0.34,82.84
0.345,82.75
0.35,82.57
0.355,82.38
0.36,82.3
0.365,82.23
0.37,82.14
0.375,82.02
0.38,81.74
0.385,81.62
0.39,81.52
0.395,81.52
0.4,81.39
0.405,81.26
0.41,81.14
0.415,81.06
0.42,80.99
0.425,80.83
0.43,80.72
0.435,80.65
0.44,80.56
0.445,80.46
0.45,80.28
0.455,80.17
0.46,80.01
0.465,79.94
0.47,79.82
0.475,79.75
0.48,79.61
0.485,79.45
0.49,79.32
0.495,79.22
0.5,79.04
0.505,78.96
0.51,78.81
0.515,78.65
0.52,78.53
0.525,78.38
0.53,78.2
0.535,78.04
0.54,77.88
0.545,77.67
0.55,77.47
0.555,77.46
0.56,77.26
0.565,76.94
0.57,76.76
0.575,76.67
0.58,76.57
0.585,76.49
0.59,76.44
0.595,76.24
0.6,76.16
0.605,76.08
0.61,75.87
0.615,75.72
0.62,75.66
0.625,75.47
0.63,75.31
0.635,75.09
0.64,74.97
0.645,74.89
0.65,74.78
0.655,74.67
0.66,74.47
0.665,74.35
0.67,74.08
0.675,73.96
0.68,73.72
0.685,73.51
0.69,73.36
0.695,73.15
0.7,73.0
0.705,72.86
0.71,72.67
0.715,72.55
0.72,72.38
0.725,72.27
0.73,72.12
0.735,72.03
0.74,71.86
0.745,71.71
0.75,71.62
0.755,71.54
0.76,71.42
0.765,71.3
0.77,71.12
0.775,70.81
0.78,70.6
0.785,70.45
0.79,70.3
0.795,70.14
0.8,70.01
0.805,70.01
0.81,69.82
0.815,69.56
0.82,69.52
0.825,69.37
0.83,69.29
0.835,69.15
0.84,69.05
0.845,68.94
0.85,68.81
0.855,68.63
0.86,68.4
0.865,68.17
0.87,67.89
0.875,67.78
0.88,67.66
0.885,67.5
0.89,67.34
0.895,67.26
0.9,67.18
0.905,67.04
0.91,66.93
0.915,66.72
0.92,66.49
0.925,66.39
0.93,66.27
0.935,66.11
0.94,66.0
0.945,65.87
0.95,65.79
0.955,65.57
0.96,65.52
0.965,65.24
0.97,65.01
0.975,64.92
0.98,64.75
0.985,64.66
0.99,64.48
0.995,64.43
1.0,64.29
1.005,64.09
1.01,63.94
1.015,63.81
1.02,63.64
1.025,63.5
1.03,63.34
1.035,63.26
1.04,63.03
1.045,62.92
1.05,62.76
1.055,62.67
1.06,62.57
1.065,62.48
1.07,62.22
1.075,62.1
1.08,62.09
1.085,61.89
1.09,61.66
1.095,61.43
1.1,61.23
1.105,61.14
1.11,60.96
1.115,60.83
1.12,60.83
1.125,60.74
1.13,60.56
1.135,60.49
1.14,60.39
1.145,60.25
1.15,60.18
1.155,60.03
1.16,59.9
1.165,59.64
1.17,59.53
1.175,59.28
1.18,59.2
1.185,58.94
1.19,58.78
1.195,58.66
1.2,58.54
1.205,58.31
1.21,58.19
1.215,58.02
1.22,57.88
1.225,57.65
1.23,57.42
1.235,57.29
1.24,56.98
1.245,56.89
1.25,56.79
1.255,56.59
1.26,56.43
1.265,56.32
1.27,56.13
1.275,56.0
1.28,55.79
1.285,55.59
1.29,55.39
1.295,55.21
1.3,55.06
1.305,54.96
1.31,54.76
1.315,54.62
1.32,54.53
1.325,54.34
1.33,54.41
1.335,54.44
1.34,54.2
1.345,54.04
1.35,53.79
1.355,53.57
1.36,53.52
1.365,53.35
1.37,53.31
1.375,53.21
1.38,53.19
1.385,53.1
1.39,53.02
1.395,52.77
1.4,52.72
1.405,52.59
1.41,52.5
1.415,52.32
1.42,52.31
1.425,52.18
1.43,52.09
1.435,52.0
1.44,51.86
1.445,51.77
1.45,51.65
1.455,51.61
1.46,51.4
1.465,51.34
1.47,51.34
1.475,51.16
1.48,50.96
1.485,50.78
1.49,50.5
1.495,50.34
1.5,50.23
1.505,50.07
1.51,50.04
1.515,49.91
1.52,49.75
1.525,49.73
1.53,49.6
1.535,49.58
1.54,49.54
1.545,49.39
1.55,49.14
1.555,48.96
1.56,48.87
1.565,48.8
1.57,48.79
1.575,48.77
1.58,48.49
1.585,48.38
1.59,48.24
1.595,48.11
1.6,47.89
1.605,47.7
1.61,47.52
1.615,47.44
1.62,47.29
1.625,47.27
1.63,47.22
1.635,46.93
1.64,46.79
1.645,46.73
1.65,46.85
1.655,46.65
1.66,46.55
1.665,46.53
1.67,46.53
1.675,46.45
1.68,46.37
1.685,46.33
1.69,46.26
1.695,46.21
1.7,46.18
1.705,46.0
1.71,45.88
1.715,45.82
1.72,45.56
1.725,45.54
1.73,45.56
1.735,45.38
1.74,45.21
1.745,45.02
1.75,44.81
1.755,44.87
1.76,44.82
1.765,44.57
1.77,44.48
1.775,44.36
1.78,44.26
1.785,44.24
1.79,44.16
1.795,44.14
1.8,44.26
1.805,44.21
1.81,44.18
1.815,44.14
1.82,43.98
1.825,43.93
1.83,43.93
1.835,43.91
1.84,43.78
1.845,43.76
1.85,43.71
1.855,43.6
1.86,43.64
1.865,43.55
1.87,43.43
1.875,43.27
1.88,43.2
1.885,43.12
1.89,43.27
1.895,43.04
1.9,42.94
1.905,43.06
1.91,43.18
1.915,43.17
1.92,43.2
1.925,43.27
1.93,43.24
1.935,43.13
1.94,43.15
1.945,43.24
1.95,43.25
1.955,43.11
1.96,43.03
1.965,43.04
1.97,42.79
1.975,42.76
1.98,42.7
1.985,42.62
1.99,42.51
1.995,42.41
2.0,42.41
2.005,42.4
2.01,42.21
2.015,42.11
2.02,42.0
2.025,41.82
2.03,41.8
2.035,41.88
2.04,41.8
2.045,41.69
2.05,41.67
2.055,41.66
2.06,41.6
2.065,41.64
2.07,41.61
2.075,41.52
2.08,41.45
2.085,41.62
2.09,41.73
2.095,41.67
2.1,41.71
2.105,41.47
2.11,41.32
2.115,41.28
2.12,41.26
2.125,41.19
2.13,41.11
2.135,40.98
2.14,40.94
2.145,40.92
2.15,40.89
2.155,40.74
2.16,40.7
2.165,40.69
2.17,40.65
2.175,40.6
2.18,40.61
2.185,40.46
2.19,40.42
2.195,40.63
2.2,40.47
2.205,40.42
2.21,40.32
2.215,40.29
2.22,40.31
2.225,40.39
2.23,40.29
2.235,40.09
2.24,40.15
2.245,40.16
2.25,40.1
2.255,40.02
2.26,39.92
2.265,39.74
2.27,39.73
2.275,39.8
2.28,39.79
2.285,39.63
2.29,39.79
2.295,39.68
2.3,39.71
2.305,39.62
2.31,39.49
2.315,39.49
2.32,39.46
2.325,39.46
2.33,39.36
2.335,39.33
2.34,39.31
2.345,39.26
2.35,39.29
2.355,39.19
2.36,38.99
2.365,38.95
2.37,38.92
2.375,38.8
2.38,38.87
2.385,38.85
2.39,38.79
2.395,38.79
2.4,38.71
2.405,38.67
2.41,38.6
2.415,38.59
2.42,38.44
2.425,38.3
2.43,38.08
2.435,38.03
2.44,37.98
2.445,37.99
2.45,37.89
2.455,37.82
2.46,37.62
2.465,37.75
2.47,37.81
2.475,37.78
2.48,37.85
2.485,37.97
2.49,37.91
2.495,37.74
2.5,37.78
2.505,37.55
2.51,37.6
2.515,37.53
2.52,37.64
2.525,37.63
2.53,37.65
2.535,37.5
2.54,37.44
2.545,37.35
2.55,37.42
2.555,37.46
2.56,37.43
2.565,37.3
2.57,37.27
2.575,37.25
2.58,37.26
2.585,37.27
2.59,37.14
2.595,37.08
2.6,37.22
2.605,37.0
2.61,36.94
2.615,36.94
2.62,36.85
2.625,36.76
2.63,36.83
2.635,36.9
2.64,36.85
2.645,36.76
2.65,36.81
2.655,36.87
2.66,36.85
2.665,36.74
2.67,36.71
2.675,36.59
