Time,Susceptible,Infected,Recovered
0,99,1,0
0.01,99,1,0
0.02,99,1,0
0.03,99,1,0
0.04,99,1,0
0.05,99,1,0
0.06,99,1,0
0.07,99,1,0
0.08,97,3,0
0.09,97,3,0
0.1,97,3,0
0.11,97,3,0
0.12,96,4,0
0.13,95,5,0
0.14,95,5,0
0.15,95,5,0
0.16,95,5,0
0.17,93,7,0
0.18,93,7,0
0.19,92,8,0
0.2,92,8,0
0.21,92,8,0
0.22,92,8,0
0.23,92,8,0
0.24,91,9,0
0.25,89,11,0
0.26,88,12,0
0.27,88,12,0
0.28,88,12,0
0.29,88,12,0
0.3,86,14,0
0.31,85,15,0
0.32,83,16,1
0.33,79,20,1
0.34,78,21,1
0.35,78,21,1
0.36,78,21,1
0.37,78,21,1
0.38,77,22,1
0.39,75,24,1
0.4,75,24,1
0.41,75,24,1
0.42,73,26,1
0.43,72,26,2
0.44,71,27,2
0.45,70,28,2
0.46,69,28,3
0.47,69,28,3
0.48,68,29,3
0.49,65,32,3
0.5,64,32,4
0.51,63,33,4
0.52,62,34,4
0.53,60,35,5
0.54,60,35,5
0.55,55,40,5
0.56,52,42,6
0.57,52,42,6
0.58,52,42,6
0.59,50,44,6
0.6,50,43,7
0.61,49,44,7
0.62,47,46,7
0.63,47,45,8
0.64,43,49,8
0.65,43,48,9
0.66,43,48,9
0.67,41,49,10
0.68,40,50,10
0.69,38,51,11
0.7,36,53,11
0.71,35,54,11
0.72,32,57,11
0.73,31,58,11
0.74,31,58,11
0.75,31,58,11
0.76,31,57,12
0.77,30,57,13
0.78,29,57,14
0.79,29,57,14
0.8,27,59,14
0.81,26,59,15
0.82,25,60,15
0.83,24,61,15
0.84,24,60,16
0.85,24,59,17
0.86,22,60,18
0.87,20,62,18
0.88,20,62,18
0.89,18,63,19
0.9,16,64,20
0.91,15,65,20
0.92,12,68,20
0.93,11,67,22
0.94,11,67,22
0.95,11,66,23
0.96,10,66,24
0.97,10,66,24
0.98,10,66,24
0.99,10,66,24
1,9,67,24
1.01,9,67,24
1.02,8,65,27
1.03,8,64,28
1.04,7,63,30
1.05,6,62,32
1.06,6,60,34
1.07,6,60,34
1.08,6,60,34
1.09,6,57,37
1.1,6,55,39
1.11,6,55,39
1.12,6,55,39
1.13,6,55,39
1.14,6,55,39
1.15,6,55,39
1.16,6,55,39
1.17,6,54,40
1.18,6,53,41
1.19,6,52,42
1.2,6,52,42
1.21,5,53,42
1.22,5,53,42
1.23,5,52,43
1.24,5,51,44
1.25,5,51,44
1.26,5,49,46
1.27,4,49,47
1.28,4,48,48
1.29,4,48,48
1.3,4,48,48
1.31,4,47,49
1.32,4,47,49
1.33,4,47,49
1.34,4,46,50
1.35,4,45,51
1.36,4,45,51
1.37,4,43,53
1.38,4,43,53
1.39,4,43,53
1.4,3,44,53
1.41,3,44,53
1.42,3,44,53
1.43,3,44,53
1.44,3,44,53
1.45,3,44,53
1.46,3,44,53
1.47,3,43,54
1.48,3,42,55
1.49,3,42,55
1.5,3,42,55
1.51,3,42,55
1.52,3,42,55
1.53,3,41,56
1.54,3,41,56
1.55,3,40,57
1.56,2,40,58
1.57,2,38,60
1.58,2,37,61
1.59,2,37,61
1.6,2,36,62
1.61,2,36,62
1.62,1,37,62
1.63,1,36,63
1.64,1,36,63
1.65,1,35,64
1.66,1,34,65
1.67,1,34,65
1.68,1,34,65
1.69,1,34,65
1.7,1,34,65
1.71,1,33,66
1.72,0,32,68
1.73,0,32,68
1.74,0,32,68
1.75,0,32,68
1.76,0,32,68
1.77,0,32,68
1.78,0,32,68
1.79,0,32,68
1.8,0,32,68
1.81,0,31,69
1.82,0,31,69
1.83,0,31,69
1.84,0,29,71
1.85,0,28,72
1.86,0,28,72
1.87,0,28,72
1.88,0,27,73
1.89,0,26,74
1.9,0,26,74
1.91,0,25,75
1.92,0,24,76
1.93,0,24,76
1.94,0,23,77
1.95,0,23,77
1.96,0,23,77
1.97,0,23,77
1.98,0,23,77
1.99,0,23,77
2,0,23,77
2.01,0,23,77
2.02,0,23,77
2.03,0,23,77
2.04,0,23,77
2.05,0,23,77
2.06,0,23,77
2.07,0,23,77
2.08,0,23,77
2.09,0,22,78
2.1,0,21,79
2.11,0,21,79
2.12,0,21,79
2.13,0,21,79
2.14,0,21,79
2.15,0,21,79
2.16,0,21,79
2.17,0,20,80
2.18,0,20,80
2.19,0,20,80
2.2,0,20,80
2.21,0,20,80
2.22,0,20,80
2.23,0,20,80
2.24,0,20,80
2.25,0,20,80
2.26,0,19,81
2.27,0,19,81
2.28,0,19,81
2.29,0,19,81
2.3,0,19,81
2.31,0,19,81
2.32,0,19,81
2.33,0,19,81
2.34,0,18,82
2.35,0,18,82
2.36,0,18,82
2.37,0,18,82
2.38,0,18,82
2.39,0,18,82
2.4,0,18,82
2.41,0,18,82
2.42,0,18,82
2.43,0,18,82
2.44,0,17,83
2.45,0,17,83
2.46,0,17,83
2.47,0,17,83
2.48,0,16,84
2.49,0,16,84
2.5,0,16,84
2.51,0,15,85
2.52,0,15,85
2.53,0,14,86
2.54,0,14,86
2.55,0,14,86
2.56,0,14,86
2.57,0,14,86
2.58,0,14,86
2.59,0,14,86
2.6,0,14,86
2.61,0,14,86
2.62,0,14,86
2.63,0,14,86
2.64,0,14,86
2.65,0,14,86
2.66,0,14,86
2.67,0,14,86
2.68,0,12,88
2.69,0,12,88
2.7,0,12,88
2.71,0,11,89
2.72,0,11,89
2.73,0,11,89
2.74,0,11,89
2.75,0,11,89
2.76,0,11,89
2.77,0,11,89
2.78,0,11,89
2.79,0,11,89
2.8,0,11,89
2.81,0,10,90
2.82,0,10,90
2.83,0,10,90
2.84,0,10,90
2.85,0,10,90
2.86,0,10,90
2.87,0,10,90
2.88,0,10,90
2.89,0,10,90
2.9,0,9,91
2.91,0,9,91
2.92,0,9,91
2.93,0,9,91
2.94,0,9,91
2.95,0,9,91
2.96,0,8,92
2.97,0,8,92
2.98,0,8,92
2.99,0,8,92
3,0,8,92
3.01,0,8,92
3.02,0,8,92
3.03,0,8,92
3.04,0,8,92
3.05,0,8,92
3.06,0,8,92
3.07,0,8,92
3.08,0,8,92
3.09,0,8,92
3.1,0,8,92
3.11,0,8,92
3.12,0,8,92
3.13,0,8,92
3.14,0,8,92
3.15,0,8,92
3.16,0,8,92
3.17,0,8,92
3.18,0,8,92
3.19,0,8,92
3.2,0,8,92
3.21,0,8,92
3.22,0,8,92
3.23,0,8,92
3.24,0,8,92
3.25,0,8,92
3.26,0,8,92
3.27,0,8,92
3.28,0,8,92
3.29,0,8,92
3.3,0,8,92
3.31,0,8,92
3.32,0,8,92
3.33,0,7,93
3.34,0,7,93
3.35,0,7,93
3.36,0,7,93
3.37,0,7,93
3.38,0,7,93
3.39,0,7,93
3.4,0,7,93
3.41,0,7,93
3.42,0,6,94
3.43,0,6,94
3.44,0,6,94
3.45,0,6,94
3.46,0,6,94
3.47,0,6,94
3.48,0,6,94
3.49,0,6,94
3.5,0,5,95
3.51,0,5,95
3.52,0,5,95
3.53,0,5,95
3.54,0,5,95
3.55,0,5,95
3.56,0,5,95
3.57,0,5,95
3.58,0,5,95
3.59,0,5,95
3.6,0,5,95
3.61,0,5,95
3.62,0,5,95
3.63,0,5,95
3.64,0,5,95
3.65,0,5,95
3.66,0,5,95
3.67,0,5,95
3.68,0,5,95
3.69,0,5,95
3.7,0,5,95
3.71,0,5,95
3.72,0,5,95
3.73,0,5,95
3.74,0,5,95
3.75,0,5,95
3.76,0,5,95
3.77,0,5,95
3.78,0,5,95
3.79,0,5,95
3.8,0,5,95
