time,state2Mean,state2lower,state2upper
0,1,1,1
0.001,1.01,0.910501,1.1095
0.002,1.01,0.910501,1.1095
0.003,1.01,0.910501,1.1095
0.004,1.02,0.88,1.16
0.005,1.03,0.859413,1.20059
0.006,1.04,0.844041,1.23596
0.007,1.04,0.844041,1.23596
0.008,1.05,0.832055,1.26794
0.009,1.05,0.832055,1.26794
0.01,1.05,0.832055,1.26794
0.011,1.05,0.832055,1.26794
0.012,1.05,0.832055,1.26794
0.013,1.05,0.832055,1.26794
0.014,1.05,0.832055,1.26794
0.015,1.06,0.822513,1.29749
0.016,1.06,0.822513,1.29749
0.017,1.06,0.822513,1.29749
0.018,1.06,0.822513,1.29749
0.019,1.07,0.778281,1.36172
0.02,1.07,0.778281,1.36172
0.021,1.09,0.770782,1.40922
0.022,1.11,0.766634,1.45337
0.023,1.12,0.765599,1.4744
0.024,1.12,0.765599,1.4744
0.025,1.12,0.765599,1.4744
0.026,1.12,0.765599,1.4744
0.027,1.12,0.765599,1.4744
0.028,1.12,0.765599,1.4744
0.029,1.12,0.765599,1.4744
0.03,1.13,0.765171,1.49483
0.031,1.13,0.765171,1.49483
0.032,1.13,0.765171,1.49483
0.033,1.13,0.765171,1.49483
0.034,1.14,0.7653,1.5147
0.035,1.13,0.73872,1.52128
0.036,1.12,0.71306,1.52694
0.037,1.12,0.71306,1.52694
0.038,1.12,0.71306,1.52694
0.039,1.12,0.71306,1.52694
0.04,1.12,0.71306,1.52694
0.041,1.12,0.71306,1.52694
0.042,1.12,0.71306,1.52694
0.043,1.13,0.713947,1.54605
0.044,1.15,0.694478,1.60552
0.045,1.15,0.652506,1.64749
0.046,1.15,0.652506,1.64749
0.047,1.15,0.652506,1.64749
0.048,1.16,0.655619,1.66438
0.049,1.16,0.655619,1.66438
0.05,1.16,0.655619,1.66438
0.051,1.16,0.655619,1.66438
0.052,1.16,0.655619,1.66438
0.053,1.16,0.655619,1.66438
0.054,1.16,0.636168,1.68383
0.055,1.16,0.636168,1.68383
0.056,1.17,0.639811,1.70019
0.057,1.18,0.643716,1.71628
0.058,1.19,0.647875,1.73213
0.059,1.19,0.647875,1.73213
0.06,1.18,0.643716,1.71628
0.061,1.18,0.625383,1.73462
0.062,1.18,0.625383,1.73462
0.063,1.18,0.625383,1.73462
0.064,1.18,0.625383,1.73462
0.065,1.2,0.634315,1.76569
0.066,1.2,0.634315,1.76569
0.067,1.2,0.634315,1.76569
0.068,1.21,0.639123,1.78088
0.069,1.21,0.639123,1.78088
0.07,1.21,0.639123,1.78088
0.071,1.21,0.639123,1.78088
0.072,1.21,0.639123,1.78088
0.073,1.23,0.632422,1.82758
0.074,1.22,0.61041,1.82959
0.075,1.23,0.599841,1.86016
0.076,1.24,0.590077,1.88992
0.077,1.24,0.590077,1.88992
0.078,1.25,0.56626,1.93374
0.079,1.25,0.56626,1.93374
0.08,1.25,0.56626,1.93374
0.081,1.26,0.558288,1.96171
0.082,1.26,0.558288,1.96171
0.083,1.26,0.516764,2.00324
0.084,1.26,0.516764,2.00324
0.085,1.27,0.510329,2.02967
0.086,1.27,0.510329,2.02967
0.087,1.27,0.510329,2.02967
0.088,1.28,0.504371,2.05563
0.089,1.29,0.486321,2.09368
0.09,1.3,0.469338,2.13066
0.091,1.3,0.469338,2.13066
0.092,1.3,0.469338,2.13066
0.093,1.3,0.469338,2.13066
0.094,1.29,0.449821,2.13018
0.095,1.29,0.449821,2.13018
0.096,1.29,0.449821,2.13018
0.097,1.29,0.449821,2.13018
0.098,1.28,0.43053,2.12947
0.099,1.29,0.438002,2.142
0.1,1.3,0.422504,2.1775
0.101,1.3,0.422504,2.1775
0.102,1.31,0.396819,2.22318
0.103,1.32,0.383197,2.2568
0.104,1.32,0.383197,2.2568
0.105,1.33,0.37026,2.28974
0.106,1.33,0.37026,2.28974
0.107,1.34,0.347831,2.33217
0.108,1.34,0.347831,2.33217
0.109,1.34,0.347831,2.33217
0.11,1.35,0.35627,2.34373
0.111,1.36,0.354813,2.36519
0.112,1.36,0.354813,2.36519
0.113,1.36,0.354813,2.36519
0.114,1.36,0.354813,2.36519
0.115,1.36,0.354813,2.36519
0.116,1.37,0.363471,2.37653
0.117,1.38,0.333291,2.42671
0.118,1.38,0.333291,2.42671
0.119,1.39,0.342193,2.43781
0.12,1.41,0.360286,2.45971
0.121,1.42,0.369476,2.47052
0.122,1.42,0.369476,2.47052
0.123,1.42,0.369476,2.47052
0.124,1.42,0.369476,2.47052
0.125,1.42,0.369476,2.47052
0.126,1.41,0.350802,2.4692
0.127,1.41,0.350802,2.4692
0.128,1.4,0.36077,2.43923
0.129,1.4,0.36077,2.43923
0.13,1.4,0.36077,2.43923
0.131,1.4,0.36077,2.43923
0.132,1.4,0.36077,2.43923
0.133,1.41,0.369856,2.45014
0.134,1.41,0.369856,2.45014
0.135,1.41,0.369856,2.45014
0.136,1.4,0.341699,2.4583
0.137,1.41,0.332085,2.48791
0.138,1.42,0.332066,2.50793
0.139,1.42,0.332066,2.50793
0.14,1.42,0.332066,2.50793
0.141,1.41,0.332085,2.48791
0.142,1.41,0.332085,2.48791
0.143,1.41,0.332085,2.48791
0.144,1.42,0.341297,2.4987
0.145,1.42,0.341297,2.4987
0.146,1.42,0.341297,2.4987
0.147,1.42,0.341297,2.4987
0.148,1.42,0.341297,2.4987
0.149,1.42,0.341297,2.4987
0.15,1.42,0.341297,2.4987
0.151,1.41,0.322848,2.49715
0.152,1.41,0.322848,2.49715
0.153,1.41,0.322848,2.49715
0.154,1.41,0.322848,2.49715
0.155,1.41,0.322848,2.49715
0.156,1.42,0.332066,2.50793
0.157,1.43,0.341377,2.51862
0.158,1.43,0.341377,2.51862
0.159,1.43,0.323158,2.53684
0.16,1.43,0.323158,2.53684
0.161,1.43,0.323158,2.53684
0.162,1.43,0.323158,2.53684
0.163,1.43,0.323158,2.53684
0.164,1.45,0.297828,2.60217
0.165,1.45,0.297828,2.60217
0.166,1.45,0.297828,2.60217
0.167,1.45,0.297828,2.60217
0.168,1.45,0.297828,2.60217
0.169,1.45,0.289181,2.61082
0.17,1.47,0.299915,2.64009
0.171,1.47,0.299915,2.64009
0.172,1.46,0.281696,2.6383
0.173,1.46,0.281696,2.6383
0.174,1.46,0.281696,2.6383
0.175,1.46,0.281696,2.6383
0.176,1.46,0.281696,2.6383
0.177,1.46,0.281696,2.6383
0.178,1.46,0.281696,2.6383
0.179,1.46,0.281696,2.6383
0.18,1.46,0.281696,2.6383
0.181,1.46,0.281696,2.6383
0.182,1.45,0.280598,2.6194
0.183,1.45,0.280598,2.6194
0.184,1.45,0.280598,2.6194
0.185,1.45,0.280598,2.6194
0.186,1.45,0.280598,2.6194
0.187,1.46,0.290214,2.62979
0.188,1.46,0.290214,2.62979
0.189,1.46,0.290214,2.62979
0.19,1.47,0.27455,2.66545
0.191,1.46,0.27324,2.64676
0.192,1.47,0.282945,2.65706
0.193,1.47,0.282945,2.65706
0.194,1.47,0.282945,2.65706
0.195,1.48,0.284341,2.67566
0.196,1.49,0.294216,2.68578
0.197,1.49,0.294216,2.68578
0.198,1.49,0.294216,2.68578
0.199,1.49,0.294216,2.68578
0.2,1.49,0.294216,2.68578
0.201,1.5,0.295841,2.70416
0.202,1.5,0.295841,2.70416
0.203,1.5,0.295841,2.70416
0.204,1.5,0.295841,2.70416
0.205,1.51,0.26505,2.75495
0.206,1.52,0.2513,2.7887
0.207,1.53,0.253638,2.80636
0.208,1.53,0.253638,2.80636
0.209,1.54,0.248334,2.83167
0.21,1.54,0.248334,2.83167
0.211,1.56,0.246075,2.87393
0.212,1.56,0.246075,2.87393
0.213,1.56,0.246075,2.87393
0.214,1.57,0.219037,2.92096
0.215,1.57,0.219037,2.92096
0.216,1.57,0.219037,2.92096
0.217,1.58,0.229593,2.93041
0.218,1.58,0.229593,2.93041
0.219,1.58,0.229593,2.93041
0.22,1.58,0.229593,2.93041
0.221,1.58,0.229593,2.93041
0.222,1.59,0.196479,2.98352
0.223,1.59,0.196479,2.98352
0.224,1.6,0.2,3
0.225,1.61,0.168508,3.05149
0.226,1.62,0.179306,3.06069
0.227,1.62,0.179306,3.06069
0.228,1.63,0.176349,3.08365
0.229,1.62,0.158631,3.08137
0.23,1.64,0.126593,3.15341
0.231,1.64,0.126593,3.15341
0.232,1.65,0.117845,3.18216
0.233,1.66,0.0648824,3.25512
0.234,1.67,0.0572074,3.28279
0.235,1.68,0.0133867,3.34661
0.236,1.68,0.0133867,3.34661
0.237,1.68,0.0133867,3.34661
0.238,1.69,0.0125317,3.36747
0.239,1.69,0.0125317,3.36747
0.24,1.7,0.0177396,3.38226
0.241,1.7,0.0177396,3.38226
0.242,1.7,0.0177396,3.38226
0.243,1.7,0.0177396,3.38226
0.244,1.7,0.0177396,3.38226
0.245,1.71,0.0289587,3.39104
0.246,1.71,0.0289587,3.39104
0.247,1.72,0.0342954,3.4057
0.248,1.72,0.0342954,3.4057
0.249,1.72,0.0342954,3.4057
0.25,1.73,0.0397042,3.4203
0.251,1.73,0.0397042,3.4203
0.252,1.74,0.0392943,3.44071
0.253,1.74,0.0392943,3.44071
0.254,1.74,0.0392943,3.44071
0.255,1.74,0.0392943,3.44071
0.256,1.76,0.0504971,3.4695
0.257,1.76,0.0504971,3.4695
0.258,1.76,0.0504971,3.4695
0.259,1.76,0.0740581,3.44594
0.26,1.76,0.0740581,3.44594
0.261,1.76,0.0740581,3.44594
0.262,1.78,0.0736589,3.48634
0.263,1.78,0.0736589,3.48634
0.264,1.78,0.121205,3.43879
0.265,1.78,0.121205,3.43879
0.266,1.77,0.109548,3.43045
0.267,1.79,0.114918,3.46508
0.268,1.78,0.109192,3.45081
0.269,1.8,0.0970614,3.50294
0.27,1.8,0.0970614,3.50294
0.271,1.8,0.0970614,3.50294
0.272,1.8,0.0564404,3.54356
0.273,1.81,0.0172647,3.60274
0.274,1.81,0.0172647,3.60274
0.275,1.8,0.0111456,3.58885
0.276,1.8,0.0111456,3.58885
0.277,1.8,0.0111456,3.58885
0.278,1.81,0.00614302,3.61386
0.279,1.81,0.00614302,3.61386
0.28,1.82,-0.00417104,3.64417
0.281,1.81,-0.0213656,3.64137
0.282,1.81,-0.0213656,3.64137
0.283,1.82,-0.0635074,3.70351
0.284,1.82,-0.0740961,3.7141
0.285,1.84,-0.0558903,3.73589
0.286,1.83,-0.0729188,3.73292
0.287,1.85,-0.075487,3.77549
0.288,1.84,-0.0924596,3.77246
0.289,1.84,-0.0924596,3.77246
0.29,1.85,-0.121674,3.82167
0.291,1.86,-0.125044,3.84504
0.292,1.86,-0.125044,3.84504
0.293,1.87,-0.11824,3.85824
0.294,1.88,-0.116397,3.8764
0.295,1.88,-0.116397,3.8764
0.296,1.89,-0.158878,3.93888
0.297,1.9,-0.171232,3.97123
0.298,1.88,-0.170756,3.93076
0.299,1.89,-0.163753,3.94375
0.3,1.89,-0.163753,3.94375
0.301,1.89,-0.163753,3.94375
0.302,1.89,-0.163753,3.94375
0.303,1.89,-0.163753,3.94375
0.304,1.89,-0.163753,3.94375
0.305,1.89,-0.163753,3.94375
0.306,1.91,-0.159275,3.97928
0.307,1.91,-0.159275,3.97928
0.308,1.91,-0.159275,3.97928
0.309,1.91,-0.159275,3.97928
0.31,1.91,-0.159275,3.97928
0.311,1.91,-0.159275,3.97928
0.312,1.92,-0.16173,4.00173
0.313,1.92,-0.16173,4.00173
0.314,1.94,-0.156759,4.03676
0.315,1.94,-0.156759,4.03676
0.316,1.94,-0.156759,4.03676
0.317,1.93,-0.115752,3.97575
0.318,1.93,-0.115752,3.97575
0.319,1.94,-0.142402,4.0224
0.32,1.95,-0.15891,4.05891
0.321,1.96,-0.165653,4.08565
0.322,1.96,-0.165653,4.08565
0.323,1.96,-0.165653,4.08565
0.324,1.97,-0.167545,4.10755
0.325,1.98,-0.155322,4.11532
0.326,1.98,-0.155322,4.11532
0.327,1.98,-0.155322,4.11532
0.328,1.98,-0.155322,4.11532
0.329,1.98,-0.155322,4.11532
0.33,1.98,-0.155322,4.11532
0.331,1.98,-0.155322,4.11532
0.332,1.98,-0.155322,4.11532
0.333,1.98,-0.155322,4.11532
0.334,1.96,-0.165653,4.08565
0.335,1.97,-0.153464,4.09346
0.336,1.98,-0.16,4.12
0.337,1.98,-0.16,4.12
0.338,1.98,-0.16,4.12
0.339,1.99,-0.157068,4.13707
0.34,1.98,-0.173973,4.13397
0.341,1.98,-0.173973,4.13397
0.342,2,-0.154066,4.15407
0.343,2,-0.154066,4.15407
0.344,2.01,-0.14172,4.16172
0.345,2,-0.154066,4.15407
0.346,2,-0.154066,4.15407
0.347,1.99,-0.166363,4.14636
0.348,2,-0.154066,4.15407
0.349,2.01,-0.17401,4.19401
0.35,2.01,-0.17401,4.19401
0.351,2.01,-0.17401,4.19401
0.352,2.03,-0.172067,4.23207
0.353,2.03,-0.172067,4.23207
0.354,2.02,-0.188982,4.22898
0.355,2.01,-0.205829,4.22583
0.356,2.02,-0.202521,4.24252
0.357,2.04,-0.186747,4.26675
0.358,2.04,-0.173233,4.25323
0.359,2.05,-0.169797,4.2698
0.36,2.06,-0.188644,4.30864
0.361,2.05,-0.183271,4.28327
0.362,2.06,-0.193087,4.31309
0.363,2.06,-0.193087,4.31309
0.364,2.06,-0.193087,4.31309
0.365,2.07,-0.180578,4.32058
0.366,2.08,-0.185745,4.34574
0.367,2.08,-0.185745,4.34574
0.368,2.09,-0.173162,4.35316
0.369,2.09,-0.173162,4.35316
0.37,2.09,-0.212586,4.39259
0.371,2.1,-0.221637,4.42164
0.372,2.13,-0.209466,4.46947
0.373,2.14,-0.192467,4.47247
0.374,2.15,-0.205313,4.50531
0.375,2.16,-0.226294,4.54629
0.376,2.16,-0.226294,4.54629
0.377,2.17,-0.234392,4.57439
0.378,2.18,-0.217415,4.57742
0.379,2.18,-0.217415,4.57742
0.38,2.18,-0.204869,4.56487
0.381,2.19,-0.196189,4.57619
0.382,2.2,-0.2,4.6
0.383,2.2,-0.228992,4.62899
0.384,2.21,-0.220206,4.64021
0.385,2.22,-0.211378,4.65138
0.386,2.23,-0.214811,4.67481
0.387,2.24,-0.201803,4.6818
0.388,2.25,-0.192847,4.69285
0.389,2.25,-0.192847,4.69285
0.39,2.25,-0.192847,4.69285
0.391,2.25,-0.192847,4.69285
0.392,2.27,-0.207317,4.74732
0.393,2.27,-0.207317,4.74732
0.394,2.27,-0.207317,4.74732
0.395,2.27,-0.215377,4.75538
0.396,2.28,-0.210301,4.7703
0.397,2.28,-0.210301,4.7703
0.398,2.31,-0.234386,4.85439
0.399,2.32,-0.232959,4.87296
0.4,2.34,-0.256998,4.937
0.401,2.34,-0.253145,4.93314
0.402,2.35,-0.239884,4.93988
0.403,2.35,-0.239884,4.93988
0.404,2.37,-0.25166,4.99166
0.405,2.37,-0.25166,4.99166
0.406,2.37,-0.25166,4.99166
0.407,2.37,-0.259277,4.99928
0.408,2.38,-0.257347,5.01735
0.409,2.39,-0.251572,5.03157
0.41,2.39,-0.251572,5.03157
0.411,2.4,-0.249528,5.04953
0.412,2.41,-0.243658,5.06366
0.413,2.41,-0.243658,5.06366
0.414,2.41,-0.243658,5.06366
0.415,2.4,-0.241969,5.04197
0.416,2.41,-0.266173,5.08617
0.417,2.41,-0.266173,5.08617
0.418,2.41,-0.266173,5.08617
0.419,2.42,-0.278815,5.11881
0.42,2.42,-0.278815,5.11881
0.421,2.42,-0.278815,5.11881
0.422,2.43,-0.269092,5.12909
0.423,2.44,-0.270424,5.15042
0.424,2.43,-0.280184,5.14018
0.425,2.44,-0.28147,5.16147
0.426,2.44,-0.28147,5.16147
0.427,2.45,-0.275344,5.17534
0.428,2.45,-0.275344,5.17534
0.429,2.46,-0.272837,5.19284
0.43,2.46,-0.272837,5.19284
0.431,2.46,-0.272837,5.19284
0.432,2.46,-0.272837,5.19284
0.433,2.46,-0.272837,5.19284
0.434,2.48,-0.253057,5.21306
0.435,2.49,-0.261345,5.24135
0.436,2.49,-0.254066,5.23407
0.437,2.5,-0.251363,5.25136
0.438,2.53,-0.275192,5.33519
0.439,2.53,-0.275192,5.33519
0.44,2.54,-0.247185,5.32718
0.441,2.55,-0.247767,5.34777
0.442,2.55,-0.262028,5.36203
0.443,2.56,-0.258936,5.37894
0.444,2.57,-0.280456,5.42046
0.445,2.58,-0.298124,5.45812
0.446,2.59,-0.287829,5.46783
0.447,2.59,-0.287829,5.46783
0.448,2.61,-0.301683,5.52168
0.449,2.62,-0.315234,5.55523
0.45,2.64,-0.361733,5.64173
0.451,2.64,-0.361733,5.64173
0.452,2.65,-0.38768,5.68768
0.453,2.67,-0.399381,5.73938
0.454,2.68,-0.388811,5.74881
0.455,2.68,-0.388811,5.74881
0.456,2.68,-0.388811,5.74881
0.457,2.68,-0.388811,5.74881
0.458,2.69,-0.391217,5.77122
0.459,2.69,-0.391217,5.77122
0.46,2.7,-0.406445,5.80644
0.461,2.71,-0.405429,5.82543
0.462,2.71,-0.405429,5.82543
0.463,2.73,-0.422317,5.88232
0.464,2.72,-0.4362,5.8762
0.465,2.72,-0.4362,5.8762
0.466,2.72,-0.4362,5.8762
0.467,2.72,-0.4362,5.8762
0.468,2.71,-0.424629,5.84463
0.469,2.71,-0.424629,5.84463
0.47,2.73,-0.453881,5.91388
0.471,2.73,-0.441293,5.90129
0.472,2.73,-0.441293,5.90129
0.473,2.74,-0.433704,5.9137
0.474,2.74,-0.433704,5.9137
0.475,2.73,-0.447593,5.90759
0.476,2.75,-0.432373,5.93237
0.477,2.75,-0.432373,5.93237
0.478,2.76,-0.43412,5.95412
0.479,2.76,-0.43412,5.95412
0.48,2.77,-0.46065,6.00065
0.481,2.77,-0.46065,6.00065
0.482,2.77,-0.46065,6.00065
0.483,2.77,-0.420157,5.96016
0.484,2.78,-0.449799,6.0098
0.485,2.79,-0.451281,6.03128
0.486,2.79,-0.451281,6.03128
0.487,2.79,-0.451281,6.03128
0.488,2.82,-0.452247,6.09225
0.489,2.82,-0.452247,6.09225
0.49,2.83,-0.447362,6.10736
0.491,2.83,-0.447362,6.10736
0.492,2.82,-0.461402,6.1014
0.493,2.84,-0.454602,6.1346
0.494,2.86,-0.477724,6.19772
0.495,2.87,-0.475609,6.21561
0.496,2.87,-0.508328,6.24833
