time,susceptible,infected,recovered
0,99,1,0
0.005,99,1,0
0.01,99,1,0
0.015,99,1,0
0.02,99,1,0
0.025,99,1,0
0.03,99,1,0
0.035,99,1,0
0.04,99,1,0
0.045,99,1,0
0.05,99,1,0
0.055,99,1,0
0.06,99,1,0
0.065,98,2,0
0.07,98,2,0
0.075,98,2,0
0.08,98,2,0
0.085,98,2,0
0.09,98,2,0
0.095,98,2,0
0.1,97,3,0
0.105,97,3,0
0.11,97,3,0
0.115,96,4,0
0.12,96,4,0
0.125,96,4,0
0.13,96,4,0
0.135,96,4,0
0.14,96,4,0
0.145,95,5,0
0.15,94,6,0
0.155,94,6,0
0.16,94,6,0
0.165,94,6,0
0.17,93,7,0
0.175,93,7,0
0.18,93,7,0
0.185,92,8,0
0.19,92,8,0
0.195,92,8,0
0.2,92,8,0
0.205,91,9,0
0.21,91,8,1
0.215,91,8,1
0.22,90,9,1
0.225,90,9,1
0.23,90,9,1
0.235,90,9,1
0.24,90,8,2
0.245,90,8,2
0.25,90,8,2
0.255,90,8,2
0.26,90,8,2
0.265,90,8,2
0.27,89,9,2
0.275,88,10,2
0.28,87,11,2
0.285,87,11,2
0.29,87,11,2
0.295,87,11,2
0.3,86,12,2
0.305,86,12,2
0.31,86,12,2
0.315,85,13,2
0.32,85,13,2
0.325,84,14,2
0.33,83,15,2
0.335,83,15,2
0.34,83,15,2
0.345,83,15,2
0.35,82,16,2
0.355,82,16,2
0.36,80,18,2
0.365,79,19,2
0.37,79,19,2
0.375,79,19,2
0.38,78,20,2
0.385,78,20,2
0.39,78,20,2
0.395,77,21,2
0.4,76,22,2
0.405,76,22,2
0.41,76,22,2
0.415,75,23,2
0.42,73,25,2
0.425,73,25,2
0.43,73,25,2
0.435,73,25,2
0.44,73,25,2
0.445,72,26,2
0.45,71,27,2
0.455,67,31,2
0.46,67,30,3
0.465,67,29,4
0.47,66,30,4
0.475,65,30,5
0.48,65,30,5
0.485,64,31,5
0.49,64,31,5
0.495,63,32,5
0.5,63,32,5
0.505,63,32,5
0.51,63,32,5
0.515,62,33,5
0.52,61,34,5
0.525,59,36,5
0.53,59,36,5
0.535,59,36,5
0.54,59,36,5
0.545,59,35,6
0.55,59,35,6
0.555,58,36,6
0.56,57,37,6
0.565,56,37,7
0.57,56,37,7
0.575,55,38,7
0.58,55,38,7
0.585,55,38,7
0.59,54,39,7
0.595,52,41,7
0.6,52,40,8
0.605,52,40,8
0.61,52,39,9
0.615,51,40,9
0.62,51,40,9
0.625,51,40,9
0.63,51,39,10
0.635,49,41,10
0.64,49,41,10
0.645,49,40,11
0.65,47,42,11
0.655,47,41,12
0.66,46,42,12
0.665,45,43,12
0.67,44,43,13
0.675,44,42,14
0.68,44,42,14
0.685,43,43,14
0.69,42,44,14
0.695,42,44,14
0.7,40,44,16
0.705,40,44,16
0.71,40,44,16
0.715,40,44,16
0.72,39,45,16
0.725,38,46,16
0.73,38,46,16
0.735,38,45,17
0.74,37,46,17
0.745,37,45,18
0.75,37,45,18
0.755,37,45,18
0.76,36,46,18
