time,susceptible,infected,recovered
0,99,1,0
0.005,99,1,0
0.01,99,1,0
0.015,99,1,0
0.02,99,1,0
0.025,99,1,0
0.03,99,1,0
0.035,99,1,0
0.04,99,1,0
0.045,99,1,0
0.05,99,1,0
0.055,99,1,0
0.06,99,1,0
0.065,99,1,0
0.07,99,1,0
0.075,99,1,0
0.08,99,1,0
0.085,99,1,0
0.09,99,1,0
0.095,99,1,0
0.1,99,1,0
0.105,99,1,0
0.11,99,1,0
0.115,99,1,0
0.12,99,1,0
0.125,99,1,0
0.13,99,1,0
0.135,99,1,0
0.14,99,1,0
0.145,99,1,0
0.15,99,1,0
0.155,99,1,0
0.16,99,1,0
0.165,99,1,0
0.17,99,1,0
0.175,99,1,0
0.18,99,1,0
0.185,99,1,0
0.19,99,1,0
0.195,99,1,0
0.2,99,1,0
0.205,99,1,0
0.21,99,1,0
0.215,99,1,0
0.22,99,1,0
0.225,99,1,0
0.23,99,1,0
0.235,99,1,0
0.24,99,1,0
0.245,99,1,0
0.25,99,1,0
0.255,99,1,0
0.26,99,1,0
0.265,99,1,0
0.27,99,1,0
0.275,99,1,0
0.28,98,2,0
0.285,98,2,0
0.29,97,3,0
0.295,97,3,0
0.3,97,3,0
0.305,97,3,0
0.31,97,3,0
0.315,97,3,0
0.32,97,3,0
0.325,97,3,0
0.33,96,4,0
0.335,96,4,0
0.34,96,4,0
0.345,96,4,0
0.35,96,4,0
0.355,96,4,0
0.36,96,4,0
0.365,96,4,0
0.37,95,5,0
0.375,95,5,0
0.38,95,5,0
0.385,95,5,0
0.39,94,6,0
0.395,94,6,0
0.4,94,6,0
0.405,94,6,0
0.41,94,6,0
0.415,94,6,0
0.42,94,6,0
0.425,94,6,0
0.43,93,7,0
0.435,93,7,0
0.44,93,7,0
0.445,93,7,0
0.45,93,7,0
0.455,93,7,0
0.46,93,7,0
0.465,93,7,0
0.47,92,8,0
0.475,92,8,0
0.48,92,8,0
0.485,91,9,0
0.49,91,9,0
0.495,90,10,0
0.5,88,12,0
0.505,87,12,1
0.51,86,13,1
0.515,84,15,1
0.52,82,17,1
0.525,82,17,1
0.53,81,18,1
0.535,80,19,1
0.54,80,19,1
0.545,78,21,1
0.55,78,21,1
0.555,78,20,2
0.56,78,19,3
0.565,78,19,3
0.57,75,22,3
0.575,75,22,3
0.58,74,23,3
0.585,73,24,3
0.59,73,24,3
0.595,73,24,3
0.6,73,24,3
0.605,71,26,3
0.61,70,27,3
0.615,68,29,3
0.62,67,30,3
0.625,66,31,3
0.63,66,31,3
0.635,64,32,4
0.64,63,33,4
0.645,63,33,4
0.65,63,33,4
0.655,63,33,4
0.66,63,33,4
0.665,63,33,4
0.67,63,32,5
0.675,63,32,5
0.68,61,34,5
0.685,60,35,5
0.69,60,35,5
0.695,59,36,5
0.7,59,36,5
0.705,59,36,5
0.71,59,36,5
0.715,59,36,5
0.72,59,36,5
0.725,59,36,5
0.73,59,35,6
0.735,56,38,6
0.74,56,38,6
0.745,56,38,6
0.75,55,39,6
0.755,54,37,9
0.76,54,37,9
