time,state2Mean,state2lower,state2upper
0,1,1,1
0.005,0.99,0.890501,1.0895
0.01,1.05,0.790192,1.30981
0.015,1.07,0.778281,1.36172
0.02,1.12,0.689187,1.55081
0.025,1.16,0.675851,1.64415
0.03,1.15,0.652506,1.64749
0.035,1.17,0.659021,1.68098
0.04,1.19,0.666645,1.71335
0.045,1.23,0.632422,1.82758
0.05,1.25,0.643782,1.85622
0.055,1.26,0.617816,1.90218
0.06,1.28,0.61547,1.94453
0.065,1.32,0.573274,2.06673
0.07,1.35,0.570577,2.12942
0.075,1.38,0.545974,2.21403
0.08,1.4,0.505573,2.29443
0.085,1.45,0.518603,2.3814
0.09,1.48,0.52627,2.43373
0.095,1.54,0.487194,2.59281
0.1,1.59,0.475594,2.70441
0.105,1.6,0.468629,2.73137
0.11,1.66,0.466518,2.85348
0.115,1.71,0.450675,2.96933
0.12,1.79,0.35965,3.22035
0.125,1.82,0.361371,3.27863
0.13,1.89,0.354454,3.42555
0.135,1.99,0.412058,3.56794
0.14,2.04,0.367158,3.71284
0.145,2.1,0.376631,3.82337
0.15,2.09,0.357401,3.8226
0.155,2.12,0.324004,3.916
0.16,2.14,0.306861,3.97314
0.165,2.19,0.299524,4.08048
0.17,2.26,0.292159,4.22784
0.175,2.29,0.308612,4.27139
0.18,2.33,0.309827,4.35017
0.185,2.44,0.36,4.52
0.19,2.51,0.400521,4.61948
0.195,2.62,0.398379,4.84162
0.2,2.76,0.427105,5.0929
0.205,2.87,0.341542,5.39846
0.21,3,0.350472,5.64953
0.215,3.09,0.321986,5.85801
0.22,3.15,0.257337,6.04266
0.225,3.24,0.307015,6.17298
0.23,3.36,0.341656,6.37834
0.235,3.47,0.428767,6.51123
0.24,3.57,0.397446,6.74255
0.245,3.71,0.371452,7.04855
0.25,3.8,0.4,7.2
0.255,3.86,0.390072,7.32993
0.26,3.98,0.368961,7.59104
0.265,4.06,0.36725,7.75275
0.27,4.23,0.406768,8.05323
0.275,4.31,0.305765,8.31424
0.28,4.35,0.287058,8.41294
0.285,4.43,0.234157,8.62584
0.29,4.54,0.210058,8.86994
0.295,4.63,0.244444,9.01556
0.3,4.69,0.2635,9.1165
0.305,4.85,0.233995,9.466
0.31,5.01,0.206886,9.81311
0.315,5.05,0.220145,9.87986
0.32,5.22,0.244902,10.1951
0.325,5.34,0.20732,10.4727
0.33,5.37,0.21703,10.523
0.335,5.59,0.204659,10.9753
0.34,5.84,0.267353,11.4126
0.345,5.94,0.232426,11.6476
0.35,6.09,0.291561,11.8884
0.355,6.3,0.381385,12.2186
0.36,6.52,0.474373,12.5656
0.365,6.7,0.471838,12.9282
0.37,6.97,0.504004,13.436
0.375,7.12,0.469767,13.7702
0.38,7.35,0.479229,14.2208
0.385,7.48,0.545333,14.4147
0.39,7.65,0.487075,14.8129
0.395,7.86,0.563398,15.1566
0.4,8.11,0.652259,15.5677
0.405,8.36,0.659974,16.06
0.41,8.56,0.742942,16.3771
0.415,8.64,0.823965,16.456
0.42,8.83,0.911597,16.7484
0.425,9.06,0.926342,17.1937
0.43,9.3,0.862583,17.7374
0.435,9.54,1.0037,18.0763
0.44,9.81,1.05135,18.5686
