time,state3Mean,state3lower,state3upper
0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0.01,-0.0894987,0.109499
0.5,0.01,-0.0894987,0.109499
0.6,0.01,-0.0894987,0.109499
0.7,0.01,-0.0894987,0.109499
0.8,0.01,-0.0894987,0.109499
0.9,0.01,-0.0894987,0.109499
1,0.01,-0.0894987,0.109499
1.1,0.01,-0.0894987,0.109499
1.2,0.01,-0.0894987,0.109499
1.3,0.01,-0.0894987,0.109499
1.4,0.01,-0.0894987,0.109499
1.5,0.01,-0.0894987,0.109499
1.6,0.01,-0.0894987,0.109499
1.7,0.01,-0.0894987,0.109499
1.8,0.02,-0.12,0.16
1.9,0.02,-0.12,0.16
2,0.02,-0.12,0.16
2.1,0.02,-0.12,0.16
2.2,0.02,-0.12,0.16
2.3,0.02,-0.12,0.16
2.4,0.02,-0.12,0.16
2.5,0.02,-0.12,0.16
2.6,0.02,-0.12,0.16
2.7,0.02,-0.12,0.16
2.8,0.02,-0.12,0.16
2.9,0.02,-0.12,0.16
3,0.02,-0.12,0.16
3.1,0.02,-0.12,0.16
3.2,0.02,-0.12,0.16
3.3,0.02,-0.12,0.16
3.4,0.02,-0.12,0.16
3.5,0.02,-0.12,0.16
3.6,0.02,-0.12,0.16
3.7,0.02,-0.12,0.16
3.8,0.02,-0.12,0.16
3.9,0.02,-0.12,0.16
4,0.02,-0.12,0.16
4.1,0.02,-0.12,0.16
4.2,0.02,-0.12,0.16
4.3,0.02,-0.12,0.16
4.4,0.02,-0.12,0.16
4.5,0.02,-0.12,0.16
4.6,0.02,-0.12,0.16
4.7,0.02,-0.12,0.16
4.8,0.02,-0.12,0.16
4.9,0.02,-0.12,0.16
5,0.02,-0.12,0.16
5.1,0.02,-0.12,0.16
5.2,0.02,-0.12,0.16
5.3,0.02,-0.12,0.16
5.4,0.02,-0.12,0.16
5.5,0.02,-0.12,0.16
5.6,0.02,-0.12,0.16
5.7,0.02,-0.12,0.16
5.8,0.02,-0.12,0.16
5.9,0.02,-0.12,0.16
6,0.02,-0.12,0.16
6.1,0.02,-0.12,0.16
6.2,0.02,-0.12,0.16
6.3,0.02,-0.12,0.16
6.4,0.02,-0.12,0.16
6.5,0.02,-0.12,0.16
6.6,0.02,-0.12,0.16
6.7,0.02,-0.12,0.16
6.8,0.02,-0.12,0.16
6.9,0.02,-0.12,0.16
7,0.02,-0.12,0.16
7.1,0.02,-0.12,0.16
7.2,0.02,-0.12,0.16
7.3,0.02,-0.12,0.16
7.4,0.02,-0.12,0.16
7.5,0.02,-0.12,0.16
