# time, mean
0,0
1,0.01
2,0.03
3,0.03
4,0.05
5,0.06
6,0.07
7,0.07
8,0.08
9,0.09
10,0.11
11,0.13
12,0.13
13,0.14
14,0.15
15,0.15
16,0.15
17,0.15
18,0.17
19,0.18
20,0.19
21,0.2
22,0.2
23,0.21
24,0.21
25,0.21
26,0.21
27,0.24
28,0.24
29,0.26
30,0.26
31,0.26
32,0.27
33,0.29
34,0.29
35,0.29
36,0.31
37,0.32
38,0.34
39,0.37
40,0.39
41,0.39
42,0.4
43,0.42
44,0.43
45,0.44
46,0.45
47,0.46
48,0.5
49,0.51
50,0.52
51,0.53
52,0.53
53,0.54
54,0.56
55,0.56
56,0.59
57,0.6
58,0.62
59,0.63
60,0.65
61,0.65
62,0.65
63,0.65
64,0.67
65,0.67
66,0.67
67,0.67
68,0.68
69,0.71
70,0.71
71,0.73
72,0.74
73,0.75
74,0.77
75,0.77
76,0.78
77,0.79
78,0.79
79,0.8
80,0.81
81,0.81
82,0.81
83,0.82
84,0.83
85,0.85
86,0.85
87,0.85
88,0.86
89,0.87
90,0.89
91,0.89
92,0.89
93,0.9
94,0.9
95,0.91
96,0.93
97,0.94
98,0.94
99,0.94
100,0.94
101,0.96
102,0.98
103,1
104,1.02
105,1.03
106,1.05
107,1.06
108,1.08
109,1.08
110,1.08
111,1.08
112,1.12
113,1.12
114,1.13
115,1.14
116,1.15
117,1.15
118,1.16
119,1.19
120,1.2
121,1.2
122,1.2
123,1.2
124,1.2
125,1.21
126,1.21
127,1.22
128,1.22
129,1.22
130,1.23
131,1.23
132,1.23
133,1.25
134,1.26
135,1.28
136,1.28
137,1.29
138,1.29
139,1.3
140,1.32
141,1.33
142,1.34
143,1.34
144,1.34
145,1.37
146,1.38
147,1.4
148,1.4
149,1.4
150,1.41
151,1.43
152,1.44
153,1.45
154,1.45
155,1.45
156,1.45
157,1.45
158,1.46
159,1.46
160,1.47
161,1.48
162,1.48
163,1.5
164,1.5
165,1.51
166,1.51
167,1.51
168,1.51
169,1.51
170,1.51
171,1.54
172,1.54
173,1.55
174,1.57
175,1.57
176,1.58
177,1.58
178,1.59
179,1.6
180,1.6
181,1.6
182,1.61
183,1.61
184,1.62
185,1.64
186,1.64
187,1.64
188,1.64
189,1.64
190,1.65
191,1.66
192,1.66
193,1.66
194,1.66
195,1.67
196,1.67
197,1.68
198,1.68
199,1.69
200,1.69
201,1.69
202,1.69
203,1.73
204,1.73
205,1.77
206,1.78
207,1.79
208,1.83
209,1.84
210,1.86
211,1.86
212,1.87
213,1.87
214,1.87
215,1.89
216,1.89
217,1.9
218,1.91
219,1.91
220,1.92
221,1.93
222,1.95
223,1.95
224,1.95
225,1.95
226,1.96
227,1.97
228,1.97
229,1.97
230,1.98
231,1.99
232,2
233,2
234,2.01
235,2.03
236,2.04
237,2.05
238,2.05
239,2.06
240,2.06
241,2.07
242,2.07
243,2.08
244,2.1
245,2.11
246,2.11
247,2.11
248,2.12
249,2.13
250,2.13
251,2.13
252,2.13
253,2.13
254,2.13
255,2.15
256,2.15
257,2.16
258,2.17
259,2.17
260,2.18
261,2.18
262,2.19
263,2.19
264,2.21
265,2.22
266,2.22
267,2.22
268,2.22
269,2.22
270,2.24
271,2.25
272,2.27
273,2.27
274,2.28
275,2.3
276,2.32
277,2.33
278,2.34
279,2.36
280,2.36
281,2.36
282,2.36
283,2.36
284,2.38
285,2.4
286,2.41
287,2.43
288,2.44
289,2.44
290,2.45
291,2.46
292,2.46
293,2.46
294,2.47
295,2.47
296,2.49
297,2.49
298,2.49
299,2.49
300,2.54
301,2.55
302,2.55
303,2.56
304,2.56
305,2.57
306,2.57
307,2.57
308,2.57
309,2.57
310,2.58
311,2.58
312,2.59
313,2.6
314,2.62
315,2.63
316,2.63
317,2.66
318,2.66
319,2.66
320,2.69
321,2.69
322,2.69
323,2.7
324,2.7
325,2.71
326,2.71
327,2.71
328,2.72
329,2.74
330,2.74
331,2.74
332,2.76
333,2.76
334,2.76
335,2.77
336,2.77
337,2.78
338,2.79
339,2.8
340,2.8
341,2.8
342,2.8
343,2.8
344,2.8
345,2.81
346,2.81
347,2.82
348,2.83
349,2.83
350,2.84
351,2.84
352,2.84
353,2.86
354,2.88
355,2.88
356,2.9
