# time, mean
0,95
1,95
2,95
3,95
4,95
5,95
6,95
7,95
8,95
9,95
10,95
11,95
12,95
13,95
14,95
15,95
16,95
17,95
18,95
19,95
20,95
21,95
22,95
23,95
24,95
25,95
26,95
27,95
28,95
29,95
30,95
31,95
32,95
33,95
34,95
35,95
36,95
37,95
38,95
39,95
40,95
41,95
42,95
43,95
44,95
45,95
46,95
47,95
48,95
49,95
50,95
51,94.99
52,94.99
53,94.98
54,94.98
55,94.98
56,94.98
57,94.98
58,94.98
59,94.98
60,94.98
61,94.98
62,94.98
63,94.98
64,94.98
65,94.98
66,94.97
67,94.97
68,94.97
69,94.97
70,94.97
71,94.97
72,94.97
73,94.97
74,94.97
75,94.97
76,94.96
77,94.96
78,94.96
79,94.96
80,94.96
81,94.96
82,94.95
83,94.95
84,94.94
85,94.94
86,94.94
87,94.92
88,94.91
89,94.91
90,94.91
91,94.9
92,94.9
93,94.9
94,94.89
95,94.89
96,94.89
97,94.88
98,94.88
99,94.88
100,94.88
101,94.88
102,94.88
103,94.88
104,94.88
105,94.88
106,94.88
107,94.88
108,94.88
109,94.88
110,94.88
111,94.88
112,94.88
113,94.87
114,94.86
115,94.86
116,94.85
117,94.85
118,94.85
119,94.85
120,94.84
121,94.84
122,94.84
123,94.84
124,94.84
125,94.84
126,94.84
127,94.84
128,94.84
129,94.83
130,94.83
131,94.82
132,94.81
133,94.81
134,94.81
135,94.81
136,94.8
137,94.8
138,94.8
139,94.8
140,94.8
141,94.8
142,94.8
143,94.8
144,94.8
145,94.79
146,94.79
147,94.79
148,94.79
149,94.78
150,94.77
151,94.77
152,94.75
153,94.75
154,94.75
155,94.75
156,94.75
157,94.75
158,94.75
159,94.75
160,94.74
161,94.74
162,94.74
163,94.74
164,94.73
165,94.72
166,94.72
167,94.72
168,94.72
169,94.72
170,94.72
171,94.72
172,94.7
173,94.68
174,94.67
175,94.67
176,94.67
177,94.67
178,94.67
179,94.67
180,94.67
181,94.67
182,94.67
183,94.66
184,94.65
185,94.64
186,94.64
187,94.64
188,94.64
189,94.64
190,94.64
191,94.63
192,94.63
193,94.62
194,94.61
195,94.61
196,94.6
197,94.6
198,94.6
199,94.6
200,94.6
201,94.6
202,94.6
203,94.59
204,94.57
205,94.57
206,94.57
207,94.57
208,94.57
209,94.57
210,94.57
211,94.56
212,94.56
213,94.56
214,94.56
215,94.56
216,94.55
217,94.53
218,94.53
219,94.52
220,94.52
221,94.52
222,94.52
223,94.51
224,94.51
225,94.51
226,94.51
227,94.51
228,94.51
229,94.48
230,94.48
231,94.48
232,94.48
233,94.48
234,94.48
235,94.48
236,94.47
237,94.47
238,94.44
239,94.44
240,94.44
241,94.44
242,94.44
243,94.43
244,94.41
245,94.41
246,94.39
247,94.39
248,94.38
249,94.38
250,94.37
251,94.37
252,94.37
253,94.37
254,94.36
255,94.36
256,94.36
257,94.35
258,94.34
259,94.34
260,94.33
261,94.32
262,94.32
263,94.3
264,94.3
265,94.28
266,94.26
267,94.26
268,94.25
269,94.22
270,94.22
271,94.21
272,94.21
273,94.19
274,94.18
275,94.18
276,94.17
277,94.17
278,94.17
279,94.16
280,94.14
281,94.14
282,94.14
283,94.14
284,94.14
285,94.14
286,94.13
287,94.11
288,94.11
289,94.1
290,94.1
291,94.1
292,94.1
293,94.08
294,94.07
295,94.05
296,94.05
297,94.02
298,94.02
299,94.01
300,94.01
301,94.01
302,94
303,93.99
304,93.97
305,93.96
306,93.96
307,93.96
308,93.96
309,93.95
310,93.93
311,93.92
312,93.92
313,93.9
314,93.9
315,93.9
316,93.9
317,93.9
318,93.89
319,93.87
320,93.87
321,93.87
322,93.86
323,93.86
324,93.85
325,93.83
326,93.81
327,93.79
328,93.78
329,93.77
330,93.76
331,93.75
332,93.74
333,93.73
334,93.73
335,93.7
336,93.69
337,93.69
338,93.67
339,93.67
340,93.67
341,93.65
342,93.65
343,93.64
344,93.61
345,93.61
346,93.61
347,93.6
348,93.59
349,93.59
350,93.59
351,93.56
352,93.55
353,93.54
354,93.53
355,93.53
356,93.51
357,93.51
358,93.51
359,93.51
360,93.49
361,93.49
362,93.48
363,93.46
364,93.44
365,93.42
366,93.4
367,93.39
368,93.39
369,93.39
370,93.37
371,93.36
372,93.34
373,93.33
374,93.32
375,93.3
376,93.29
377,93.27
378,93.26
379,93.25
380,93.24
381,93.24
382,93.24
383,93.23
384,93.2
385,93.19
386,93.19
387,93.19
388,93.19
389,93.19
390,93.18
391,93.17
392,93.17
393,93.17
394,93.17
395,93.16
396,93.15
397,93.14
398,93.1
399,93.09
400,93.07
401,93.06
402,93.04
403,93.04
404,93.03
405,93.02
406,93.02
407,93.02
408,93
409,93
410,92.99
411,92.98
412,92.95
413,92.91
414,92.9
415,92.89
416,92.87
417,92.85
418,92.81
419,92.79
420,92.78
421,92.76
422,92.74
423,92.73
424,92.73
425,92.71
426,92.71
427,92.71
428,92.71
429,92.7
430,92.69
431,92.67
432,92.67
433,92.66
434,92.64
435,92.63
436,92.63
437,92.62
438,92.6
439,92.58
440,92.57
441,92.56
442,92.56
443,92.56
444,92.56
445,92.56
446,92.53
447,92.52
448,92.51
449,92.5
450,92.5
451,92.49
452,92.49
453,92.48
454,92.47
455,92.47
456,92.46
457,92.46
458,92.45
459,92.43
460,92.42
461,92.41
462,92.41
463,92.39
464,92.39
465,92.38
466,92.36
467,92.35
468,92.33
469,92.29
470,92.29
471,92.25
472,92.24
473,92.19
474,92.17
475,92.15
476,92.14
477,92.13
478,92.12
479,92.12
480,92.12
481,92.11
482,92.11
483,92.09
484,92.08
485,92.06
486,92.04
487,92.03
488,91.99
489,91.97
490,91.94
491,91.94
492,91.92
493,91.91
494,91.9
495,91.89
496,91.88
497,91.85
498,91.85
499,91.83
500,91.82
501,91.8
502,91.76
503,91.72
504,91.7
505,91.7
506,91.67
507,91.64
508,91.62
509,91.62
510,91.59
511,91.5
512,91.48
513,91.46
514,91.45
515,91.43
516,91.4
517,91.38
518,91.38
519,91.36
520,91.35
521,91.33
522,91.32
523,91.29
524,91.28
525,91.27
526,91.26
527,91.24
528,91.22
529,91.21
530,91.21
531,91.19
532,91.17
533,91.16
534,91.16
535,91.15
536,91.13
537,91.12
538,91.08
539,91.07
540,91.05
541,91.03
542,91.02
543,91.01
544,90.97
545,90.93
546,90.92
547,90.9
548,90.88
549,90.87
550,90.87
551,90.86
552,90.86
553,90.82
554,90.82
555,90.8
556,90.79
557,90.77
558,90.73
559,90.72
560,90.72
561,90.71
562,90.69
563,90.67
564,90.66
565,90.65
566,90.64
567,90.6
568,90.57
569,90.56
570,90.53
571,90.49
572,90.46
573,90.43
574,90.41
575,90.41
576,90.4
577,90.38
578,90.36
579,90.35
580,90.33
581,90.32
582,90.29
583,90.26
584,90.24
585,90.2
586,90.2
587,90.19
588,90.18
589,90.17
590,90.17
591,90.15
592,90.1
593,90.08
