# time, std
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0.1
52,0.1
53,0.140705
54,0.140705
55,0.140705
56,0.140705
57,0.140705
58,0.140705
59,0.140705
60,0.140705
61,0.140705
62,0.140705
63,0.140705
64,0.140705
65,0.140705
66,0.171447
67,0.171447
68,0.171447
69,0.171447
70,0.171447
71,0.171447
72,0.171447
73,0.171447
74,0.171447
75,0.171447
76,0.196946
77,0.196946
78,0.196946
79,0.196946
80,0.196946
81,0.196946
82,0.219043
83,0.219043
84,0.238683
85,0.238683
86,0.238683
87,0.27266
88,0.287623
89,0.287623
90,0.287623
91,0.301511
92,0.301511
93,0.301511
94,0.345096
95,0.345096
96,0.345096
97,0.383498
98,0.383498
99,0.383498
100,0.383498
101,0.383498
102,0.383498
103,0.383498
104,0.383498
105,0.383498
106,0.383498
107,0.383498
108,0.383498
109,0.383498
110,0.383498
111,0.383498
112,0.383498
113,0.393251
114,0.402517
115,0.402517
116,0.411329
117,0.411329
118,0.411329
119,0.411329
120,0.419716
121,0.419716
122,0.419716
123,0.419716
124,0.419716
125,0.419716
126,0.419716
127,0.419716
128,0.419716
129,0.427702
130,0.427702
131,0.43531
132,0.442559
133,0.442559
134,0.442559
135,0.442559
136,0.449467
137,0.449467
138,0.449467
139,0.449467
140,0.449467
141,0.449467
142,0.449467
143,0.449467
144,0.449467
145,0.456048
146,0.456048
147,0.456048
148,0.456048
149,0.462317
150,0.468287
151,0.468287
152,0.5
153,0.5
154,0.5
155,0.5
156,0.5
157,0.5
158,0.5
159,0.5
160,0.504925
161,0.504925
162,0.504925
163,0.504925
164,0.509605
165,0.514045
166,0.514045
167,0.514045
168,0.514045
169,0.514045
170,0.514045
171,0.514045
172,0.541229
173,0.566399
174,0.58698
175,0.58698
176,0.58698
177,0.58698
178,0.58698
179,0.58698
180,0.58698
181,0.58698
182,0.58698
183,0.589813
184,0.592461
185,0.611671
186,0.611671
187,0.611671
188,0.611671
189,0.611671
190,0.611671
191,0.613896
192,0.613896
193,0.61595
194,0.617833
195,0.617833
196,0.619547
197,0.619547
198,0.619547
199,0.619547
200,0.619547
201,0.619547
202,0.619547
203,0.621094
204,0.655282
205,0.655282
206,0.655282
207,0.655282
208,0.655282
209,0.655282
210,0.655282
211,0.656283
212,0.656283
213,0.656283
214,0.656283
215,0.656283
216,0.657129
217,0.658357
218,0.658357
219,0.6739
220,0.6739
221,0.6739
222,0.6739
223,0.674125
224,0.674125
225,0.674125
226,0.674125
227,0.674125
228,0.674125
229,0.6739
230,0.6739
231,0.6739
232,0.6739
233,0.6739
234,0.6739
235,0.6739
236,0.673525
237,0.673525
238,0.700937
239,0.700937
240,0.700937
241,0.700937
242,0.700937
243,0.7
244,0.697687
245,0.697687
246,0.709175
247,0.709175
248,0.749141
249,0.749141
250,0.760847
251,0.760847
252,0.760847
253,0.760847
254,0.772246
255,0.772246
256,0.772246
257,0.783349
258,0.794171
259,0.794171
260,0.792069
261,0.815011
262,0.815011
263,0.834847
264,0.834847
265,0.8655
266,0.916956
267,0.916956
268,0.925235
269,0.959587
270,0.959587
271,0.956583
272,0.956583
273,0.981598
274,0.998787
275,0.998787
276,0.995495
277,0.995495
278,0.995495
279,1.00222
280,1.03494
281,1.03494
282,1.03494
283,1.03494
284,1.03494
285,1.03494
286,1.03138
287,1.04345
288,1.04345
289,1.05887
290,1.05887
291,1.05887
292,1.05887
293,1.05102
294,1.05653
295,1.09521
296,1.09521
297,1.16324
298,1.16324
299,1.17632
300,1.17632
301,1.17632
302,1.18065
303,1.18488
304,1.20985
305,1.21373
306,1.21373
307,1.21373
308,1.21373
309,1.24215
310,1.27331
311,1.26874
312,1.26874
313,1.25931
314,1.25931
315,1.25931
316,1.25931
317,1.25931
318,1.27045
319,1.31545
320,1.31545
321,1.31545
322,1.31825
323,1.31825
324,1.3133
325,1.33375
326,1.3536
327,1.35807
