# time, std
0,0
1,0.1
2,0.171447
3,0.171447
4,0.219043
5,0.238683
6,0.256432
7,0.256432
8,0.27266
9,0.287623
10,0.314466
11,0.337998
12,0.337998
13,0.348735
14,0.35887
15,0.35887
16,0.35887
17,0.35887
18,0.377525
19,0.386123
20,0.419114
21,0.426401
22,0.426401
23,0.456048
24,0.456048
25,0.456048
26,0.456048
27,0.494822
28,0.494822
29,0.504925
30,0.504925
31,0.504925
32,0.509605
33,0.518253
34,0.518253
35,0.518253
36,0.525991
37,0.529532
38,0.554504
39,0.562372
40,0.58422
41,0.58422
42,0.586033
43,0.622475
44,0.655282
45,0.656283
46,0.657129
47,0.673
48,0.703526
49,0.71767
50,0.758521
51,0.758521
52,0.758521
53,0.758521
54,0.783929
55,0.783929
56,0.794616
57,0.793662
58,0.80403
59,0.815197
60,0.82456
61,0.82456
62,0.82456
63,0.82456
64,0.845368
65,0.845368
66,0.835089
67,0.835089
68,0.833333
69,0.827312
70,0.827312
71,0.84686
72,0.844411
73,0.841835
74,0.836298
75,0.836298
76,0.84829
77,0.857233
78,0.857233
79,0.865967
80,0.86287
81,0.86287
82,0.865967
83,0.86287
84,0.86287
85,0.85629
86,0.85629
87,0.839131
88,0.839131
89,0.835814
90,0.828775
91,0.820138
92,0.820138
93,0.828775
94,0.832363
95,0.840875
96,0.857292
97,0.880542
98,0.880542
99,0.880542
100,0.880542
101,0.872938
102,0.8648
103,0.879394
104,0.893297
105,0.888706
106,0.890522
107,0.896908
108,0.898034
109,0.898034
110,0.898034
111,0.898034
112,0.932034
113,0.937383
114,0.937383
115,0.932034
116,0.932034
117,0.932034
118,0.937383
119,0.931166
120,0.941952
121,0.941952
122,0.941952
123,0.941952
124,0.941952
125,0.936089
126,0.936089
127,0.940879
128,0.940879
129,0.936089
130,0.930081
131,0.936089
132,0.941952
133,0.951554
134,0.95616
135,0.954468
136,0.950066
137,0.954468
138,0.954468
139,0.97959
140,1.01782
141,1.03138
142,1.02514
143,1.02514
144,1.02514
145,1.03201
146,1.03529
147,1.06073
148,1.06073
149,1.06723
150,1.06723
151,1.05409
152,1.07021
153,1.06363
154,1.06363
155,1.06363
156,1.06363
157,1.06363
158,1.05692
159,1.05692
160,1.06643
161,1.06913
162,1.06913
163,1.06477
164,1.07172
165,1.0527
