# time, std
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0.1
49,0.1
50,0.1
51,0.1
52,0.140705
53,0.140705
54,0.140705
55,0.140705
56,0.140705
57,0.140705
58,0.171447
59,0.171447
60,0.171447
61,0.171447
62,0.171447
63,0.171447
64,0.171447
65,0.242878
66,0.242878
67,0.242878
68,0.242878
69,0.242878
70,0.242878
71,0.242878
72,0.261116
73,0.261116
74,0.261116
75,0.261116
76,0.342893
77,0.342893
78,0.342893
79,0.342893
80,0.342893
81,0.342893
82,0.342893
83,0.342893
84,0.342893
85,0.342893
86,0.342893
87,0.342893
88,0.342893
89,0.342893
90,0.355477
91,0.355477
92,0.367355
93,0.404395
94,0.404395
95,0.404395
96,0.404395
97,0.404395
98,0.460566
99,0.460566
100,0.460566
101,0.460566
102,0.460566
103,0.460566
104,0.460566
105,0.490207
106,0.490207
107,0.498077
108,0.498077
109,0.505625
110,0.505625
111,0.505625
112,0.505625
113,0.505625
114,0.505625
115,0.505625
116,0.505625
117,0.512865
118,0.512865
119,0.512865
120,0.512865
121,0.512865
122,0.512865
123,0.512865
124,0.512865
125,0.512865
126,0.512865
127,0.512865
128,0.512865
129,0.512865
130,0.512865
131,0.512865
132,0.512865
133,0.512865
134,0.512865
135,0.512865
136,0.512865
137,0.51981
138,0.51981
139,0.51981
140,0.51981
141,0.51981
142,0.563539
143,0.563539
144,0.563539
145,0.569512
146,0.569512
147,0.569512
148,0.569512
149,0.569512
150,0.569512
151,0.569512
152,0.569512
153,0.569512
154,0.569512
155,0.569512
156,0.569512
157,0.569512
158,0.569512
159,0.569512
160,0.569512
161,0.569512
162,0.569512
163,0.575247
164,0.580752
165,0.580752
166,0.580752
167,0.580752
168,0.580752
169,0.586033
170,0.586033
171,0.586033
172,0.586033
173,0.586033
174,0.591096
175,0.595946
176,0.595946
177,0.600589
178,0.600589
179,0.653197
180,0.653197
181,0.653197
182,0.653197
183,0.653197
184,0.701729
185,0.701729
186,0.701729
187,0.701729
188,0.705247
189,0.722719
190,0.728843
191,0.731679
192,0.731679
193,0.731679
194,0.747994
195,0.747994
196,0.747994
197,0.747994
198,0.747994
199,0.747994
200,0.763829
201,0.763829
202,0.763829
203,0.763829
204,0.763829
205,0.794171
206,0.794171
207,0.794171
208,0.794171
209,0.821123
210,0.835089
211,0.83672
212,0.83672
213,0.83672
214,0.850193
215,0.850193
216,0.850193
217,0.850193
218,0.850193
219,0.850193
220,0.87496
221,0.87496
222,0.87496
223,0.876172
224,0.876172
225,0.889671
226,0.889671
227,0.913645
228,0.913645
229,0.914253
230,0.914253
231,0.936574
232,0.936952
233,0.936952
234,0.936952
235,0.936952
236,0.936952
237,0.937221
238,0.937221
239,0.937221
240,0.937221
241,0.937221
242,0.937221
243,0.969171
244,0.969171
245,0.969171
246,0.969171
247,0.969171
248,0.969171
249,0.969223
250,0.969223
251,0.969223
252,0.969171
253,0.999798
254,0.999798
255,0.999798
256,0.999798
257,0.999798
258,1.02942
259,1.02942
260,1.02942
261,1.02942
262,1.04809
263,1.04809
264,1.05715
265,1.12079
266,1.12079
267,1.12079
268,1.12079
269,1.12079
270,1.12815
271,1.12815
272,1.12815
273,1.12815
274,1.12721
275,1.16042
276,1.21622
277,1.21622
278,1.21622
279,1.22169
280,1.22841
281,1.22841
282,1.2673
283,1.2673
284,1.26567
285,1.26567
286,1.26395
287,1.29377
288,1.29377
289,1.29377
290,1.3133
291,1.3133
292,1.3133
293,1.3133
294,1.3133
295,1.3133
296,1.31901
297,1.34731
298,1.34731
299,1.34525
300,1.34525
301,1.34525
302,1.35061
303,1.35061
304,1.35587
305,1.38082
306,1.38082
307,1.38082
308,1.38082
309,1.40504
310,1.40504
311,1.40504
312,1.40504
313,1.40504
314,1.40256
315,1.40256
316,1.40256
317,1.40256
318,1.40256
319,1.40256
320,1.40256
321,1.40256
322,1.43562
323,1.43562
324,1.43305
