# time, mean
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,99.99
41,99.99
42,99.99
43,99.99
44,99.99
45,99.99
46,99.99
47,99.98
48,99.98
49,99.98
50,99.97
51,99.97
52,99.97
53,99.97
54,99.97
55,99.96
56,99.95
57,99.94
58,99.94
59,99.94
60,99.94
61,99.94
62,99.94
63,99.94
64,99.94
65,99.93
66,99.93
67,99.93
68,99.92
69,99.91
70,99.91
71,99.9
72,99.9
73,99.9
74,99.9
75,99.9
76,99.9
77,99.89
78,99.89
79,99.88
80,99.88
81,99.88
82,99.88
83,99.88
84,99.88
85,99.88
86,99.88
87,99.88
88,99.88
89,99.88
90,99.87
91,99.86
92,99.86
93,99.86
94,99.86
95,99.86
96,99.86
97,99.86
98,99.86
99,99.86
100,99.85
101,99.84
102,99.84
103,99.84
104,99.83
105,99.83
106,99.83
107,99.83
108,99.83
109,99.83
110,99.82
111,99.82
112,99.81
113,99.81
114,99.81
115,99.81
116,99.8
117,99.8
118,99.8
119,99.8
120,99.8
121,99.8
122,99.8
123,99.79
124,99.79
125,99.78
126,99.78
127,99.78
128,99.78
129,99.77
130,99.76
131,99.76
132,99.76
133,99.76
134,99.76
135,99.76
136,99.75
137,99.75
138,99.74
139,99.74
140,99.74
141,99.74
142,99.74
143,99.74
144,99.74
145,99.73
146,99.73
147,99.73
148,99.73
149,99.73
150,99.72
151,99.71
152,99.71
153,99.69
154,99.69
155,99.68
156,99.68
157,99.68
158,99.68
159,99.67
160,99.65
161,99.65
162,99.63
163,99.63
164,99.62
165,99.62
166,99.62
167,99.62
168,99.62
169,99.62
170,99.62
171,99.61
172,99.61
173,99.61
174,99.61
175,99.61
176,99.6
177,99.6
178,99.59
179,99.58
180,99.58
181,99.58
182,99.58
183,99.57
184,99.56
185,99.56
186,99.55
187,99.54
188,99.54
189,99.53
190,99.52
191,99.52
192,99.52
193,99.52
194,99.52
195,99.52
196,99.52
197,99.51
198,99.5
199,99.49
200,99.49
201,99.49
202,99.49
203,99.47
204,99.47
205,99.47
206,99.45
207,99.43
208,99.43
209,99.43
210,99.43
211,99.43
212,99.43
213,99.43
214,99.43
215,99.43
216,99.43
217,99.43
218,99.43
219,99.43
220,99.43
221,99.42
222,99.42
223,99.42
224,99.42
225,99.41
226,99.41
227,99.4
228,99.39
229,99.39
230,99.38
231,99.38
232,99.38
233,99.37
234,99.36
235,99.36
236,99.36
237,99.36
238,99.35
239,99.34
240,99.34
241,99.34
242,99.32
243,99.32
244,99.32
245,99.31
246,99.31
247,99.3
248,99.27
249,99.27
250,99.25
251,99.25
252,99.25
253,99.25
254,99.25
255,99.24
256,99.24
257,99.24
258,99.22
259,99.21
260,99.21
261,99.19
262,99.17
263,99.17
264,99.17
265,99.16
266,99.16
267,99.16
268,99.15
269,99.15
270,99.15
271,99.14
272,99.11
273,99.11
274,99.1
275,99.1
276,99.1
277,99.09
278,99.09
279,99.09
280,99.09
281,99.08
282,99.08
283,99.07
284,99.07
285,99.07
286,99.07
287,99.07
288,99.05
289,99.04
290,99.03
291,99.03
292,99.03
293,99.03
294,99.02
295,99.02
296,98.99
297,98.99
298,98.99
299,98.99
300,98.98
301,98.98
302,98.98
303,98.98
304,98.98
305,98.98
306,98.98
307,98.97
308,98.96
309,98.96
310,98.95
311,98.93
312,98.93
313,98.93
314,98.92
315,98.92
316,98.91
317,98.91
318,98.9
319,98.9
320,98.89
321,98.89
322,98.89
323,98.89
324,98.87
325,98.87
326,98.87
327,98.86
328,98.86
329,98.86
330,98.85
331,98.82
332,98.82
333,98.79
334,98.79
335,98.78
336,98.78
337,98.78
338,98.75
339,98.74
340,98.74
341,98.71
342,98.71
343,98.7
344,98.7
345,98.7
346,98.69
347,98.68
348,98.67
349,98.66
350,98.64
351,98.63
352,98.62
353,98.62
354,98.61
355,98.6
356,98.6
357,98.6
358,98.58
359,98.56
360,98.53
361,98.51
362,98.49
363,98.47
364,98.46
365,98.44
366,98.41
367,98.39
368,98.38
369,98.35
370,98.35
371,98.35
372,98.32
373,98.32
374,98.31
375,98.31
376,98.31
377,98.29
378,98.27
379,98.25
380,98.24
381,98.24
382,98.24
383,98.22
384,98.21
385,98.2
386,98.2
387,98.19
388,98.18
389,98.18
390,98.17
391,98.15
392,98.15
393,98.15
394,98.13
395,98.11
396,98.1
397,98.06
398,98.06
399,98.06
400,98.03
401,98.03
402,98.02
403,98.02
404,98.01
405,98
406,97.99
407,97.97
408,97.93
409,97.92
410,97.91
411,97.9
412,97.9
413,97.9
414,97.89
415,97.86
416,97.82
417,97.8
418,97.77
419,97.77
420,97.77
421,97.76
422,97.71
423,97.71
424,97.7
425,97.67
426,97.65
427,97.64
428,97.62
429,97.61
430,97.6
431,97.59
432,97.59
433,97.59
434,97.59
435,97.59
436,97.59
437,97.58
438,97.57
439,97.57
440,97.56
441,97.53
442,97.51
443,97.51
444,97.5
445,97.49
446,97.46
447,97.44
448,97.42
449,97.41
450,97.4
451,97.38
452,97.36
453,97.32
454,97.31
455,97.3
456,97.27
457,97.27
458,97.27
459,97.23
460,97.22
461,97.18
462,97.18
463,97.16
464,97.15
465,97.11
466,97.09
467,97.06
468,97.03
469,97.01
470,97
471,96.99
472,96.96
473,96.95
474,96.93
475,96.92
476,96.89
477,96.88
478,96.88
479,96.88
480,96.86
481,96.85
482,96.82
483,96.8
484,96.78
485,96.76
486,96.75
487,96.73
488,96.71
489,96.7
490,96.7
491,96.66
492,96.66
493,96.65
494,96.65
495,96.64
496,96.64
497,96.63
498,96.62
499,96.59
500,96.58
501,96.56
502,96.55
503,96.51
504,96.49
505,96.49
506,96.46
507,96.41
508,96.34
509,96.34
510,96.34
511,96.3
512,96.27
513,96.25
514,96.22
515,96.2
516,96.19
517,96.16
518,96.15
519,96.15
520,96.12
521,96.11
522,96.09
523,96.07
524,96.04
525,96.03
526,96.02
527,96.02
528,95.99
529,95.99
530,95.98
531,95.95
532,95.95
533,95.94
534,95.93
535,95.91
536,95.9
537,95.88
538,95.85
539,95.84
540,95.83
541,95.82
542,95.77
543,95.74
544,95.71
545,95.69
546,95.65
547,95.63
548,95.61
549,95.57
550,95.54
551,95.51
552,95.5
553,95.5
554,95.46
555,95.45
556,95.4
557,95.39
558,95.37
559,95.37
560,95.36
561,95.34
562,95.3
563,95.28
564,95.25
565,95.21
566,95.19
567,95.18
568,95.18
