Number of Sentinels, EDP Mean
0,0.00396
1,0.00393
2,0.00376
3,0.00381
4,0.00373
5,0.00374
6,0.00379
7,0.00382
8,0.00382
9,0.00382
10,0.00399
11,0.00411
12,0.0041
13,0.00411
14,0.00411
15,0.00418
16,0.00421
17,0.0044
18,0.00442
19,0.00447
20,0.00454
21,0.00455
22,0.00454
23,0.00452
24,0.0046
25,0.00483
26,0.00528
27,0.00549
28,0.00598
29,0.00617
30,0.00645
31,0.00662
32,0.00662
33,0.00669
34,0.0067
35,0.00699
36,0.00711
37,0.0075
38,0.00811
39,0.00833
40,0.00931
41,0.00958
42,0.00993
43,0.01034
44,0.01206
45,0.01321
46,0.01385
47,0.01579
48,0.01776
49,0.0212
50,0.02297
