Number of Sentinels, EDP STD
0,0.0033057
1,0.00333411
2,0.00308506
3,0.00309674
4,0.00289498
5,0.00289416
6,0.00288603
7,0.0028723
8,0.0028723
9,0.0028723
10,0.00324269
11,0.00325327
12,0.00325825
13,0.00326257
14,0.00326257
15,0.00331321
16,0.00333423
17,0.00352194
18,0.00351958
19,0.00360823
20,0.00372385
21,0.00372373
22,0.00373198
23,0.00373214
24,0.0038059
25,0.00410974
26,0.00513077
27,0.0053626
28,0.00567109
29,0.00588622
30,0.00614534
31,0.00630981
32,0.00630981
33,0.00630808
34,0.00631097
35,0.0065805
36,0.00651943
37,0.00684828
38,0.0075517
39,0.00786638
40,0.00918243
41,0.00971636
42,0.00976621
43,0.0101057
44,0.0125367
45,0.0129094
46,0.0137645
47,0.0159692
48,0.0181888
49,0.0211531
50,0.0226611
