Time, position_x, position_y
0, 33, 18
0.1, 33, 18
0.2, 33, 18
0.3, 33, 18
0.4, 33, 18
0.5, 33, 18
0.6, 33, 18
0.7, 33, 18
0.8, 33, 18
0.9, 33, 18
1, 33, 18
1.1, 33, 18
1.2, 33, 18
1.3, 33, 18
1.4, 33, 18
1.5, 33, 18
1.6, 33, 18
1.7, 33, 18
1.8, 33, 18
1.9, 33, 18
2, 33, 18
2.1, 33, 18
2.2, 33, 18
2.3, 33, 18
2.4, 33, 18
2.5, 33, 18
2.6, 33, 18
2.7, 33, 18
2.8, 33, 18
2.9, 33, 19
3, 33, 19
3.1, 33, 19
3.2, 33, 19
3.3, 33, 19
3.4, 33, 19
3.5, 32, 19
3.6, 32, 19
3.7, 31, 19
3.8, 31, 19
3.9, 31, 19
4, 31, 19
4.1, 31, 19
4.2, 31, 19
4.3, 31, 19
4.4, 31, 19
4.5, 31, 19
4.6, 31, 19
4.7, 31, 19
4.8, 31, 19
4.9, 31, 19
5, 31, 19
5.1, 31, 19
5.2, 31, 19
5.3, 31, 19
5.4, 31, 19
5.5, 31, 19
5.6, 31, 19
5.7, 31, 19
5.8, 31, 19
5.9, 31, 19
6, 31, 19
6.1, 31, 19
6.2, 31, 19
6.3, 31, 19
6.4, 31, 19
6.5, 31, 19
6.6, 31, 19
6.7, 31, 19
6.8, 31, 19
6.9, 31, 19
7, 31, 19
7.1, 31, 19
7.2, 31, 19
7.3, 31, 19
7.4, 31, 19
7.5, 31, 19
7.6, 31, 19
7.7, 31, 19
7.8, 31, 19
7.9, 32, 19
8, 32, 19
8.1, 32, 19
8.2, 32, 19
8.3, 32, 19
8.4, 32, 19
8.5, 32, 19
8.6, 32, 19
8.7, 32, 18
8.8, 32, 18
8.9, 32, 18
9, 32, 18
9.1, 32, 18
9.2, 32, 18
9.3, 32, 18
9.4, 32, 18
9.5, 32, 18
9.6, 32, 18
9.7, 32, 18
9.8, 32, 18
9.9, 32, 18
10, 32, 18
10.1, 32, 18
10.2, 32, 18
10.3, 32, 18
10.4, 32, 18
10.5, 32, 18
10.6, 32, 18
10.7, 32, 18
10.8, 32, 18
10.9, 32, 18
11, 32, 18
11.1, 32, 18
11.2, 32, 18
11.3, 32, 18
11.4, 32, 18
11.5, 32, 18
11.6, 32, 18
11.7, 32, 18
11.8, 32, 18
11.9, 32, 18
12, 32, 18
12.1, 32, 18
12.2, 32, 18
12.3, 32, 18
12.4, 32, 18
12.5, 32, 18
12.6, 32, 18
12.7, 32, 18
12.8, 32, 18
12.9, 32, 18
13, 32, 18
13.1, 32, 18
13.2, 32, 18
13.3, 32, 18
13.4, 32, 18
13.5, 32, 18
13.6, 32, 18
13.7, 32, 17
13.8, 32, 17
13.9, 32, 17
14, 32, 17
14.1, 32, 17
14.2, 32, 17
14.3, 32, 17
14.4, 32, 17
14.5, 32, 17
14.6, 32, 17
14.7, 33, 17
14.8, 33, 17
14.9, 32, 17
15, 32, 17
15.1, 32, 17
15.2, 32, 17
15.3, 32, 17
15.4, 32, 17
15.5, 33, 17
15.6, 33, 17
15.7, 33, 17
15.8, 33, 17
15.9, 33, 18
16, 33, 18
16.1, 33, 18
16.2, 33, 18
16.3, 33, 18
16.4, 33, 18
16.5, 33, 18
16.6, 33, 18
16.7, 33, 18
16.8, 33, 18
16.9, 33, 18
17, 33, 18
17.1, 33, 17
17.2, 33, 17
17.3, 33, 17
17.4, 33, 17
17.5, 33, 17
17.6, 33, 17
17.7, 33, 17
17.8, 33, 17
17.9, 33, 17
18, 33, 17
18.1, 33, 17
18.2, 33, 17
18.3, 33, 17
18.4, 33, 17
18.5, 33, 18
18.6, 33, 18
18.7, 33, 18
18.8, 33, 18
18.9, 33, 18
19, 33, 18
19.1, 33, 18
19.2, 33, 18
19.3, 33, 18
19.4, 33, 18
19.5, 33, 18
19.6, 33, 18
19.7, 33, 18
19.8, 33, 18
19.9, 33, 18
20, 33, 18
20.1, 33, 18
20.2, 33, 18
20.3, 33, 18
20.4, 33, 18
20.5, 33, 18
20.6, 33, 18
20.7, 33, 18
20.8, 33, 18
20.9, 33, 18
21, 33, 18
21.1, 33, 18
21.2, 33, 18
21.3, 33, 18
21.4, 33, 18
21.5, 34, 18
21.6, 34, 18
21.7, 34, 18
21.8, 34, 18
21.9, 34, 18
22, 34, 18
22.1, 34, 18
22.2, 34, 18
22.3, 34, 18
22.4, 34, 18
22.5, 34, 18
22.6, 34, 18
22.7, 34, 18
22.8, 34, 18
22.9, 34, 18
23, 34, 18
23.1, 34, 18
23.2, 34, 18
23.3, 34, 18
23.4, 34, 18
23.5, 34, 18
23.6, 34, 18
23.7, 34, 18
23.8, 34, 18
23.9, 34, 18
24, 34, 18
24.1, 34, 18
24.2, 34, 18
24.3, 34, 18
24.4, 34, 18
24.5, 34, 18
24.6, 34, 18
24.7, 34, 18
24.8, 34, 18
24.9, 34, 18
25, 34, 18
25.1, 34, 18
25.2, 34, 18
25.3, 34, 18
25.4, 34, 18
25.5, 34, 18
25.6, 34, 18
25.7, 34, 18
25.8, 34, 18
25.9, 34, 18
26, 34, 18
26.1, 34, 18
26.2, 34, 18
26.3, 34, 18
26.4, 34, 18
26.5, 34, 18
26.6, 34, 18
26.7, 34, 18
26.8, 34, 18
26.9, 34, 18
27, 34, 18
27.1, 34, 18
27.2, 34, 18
27.3, 34, 18
27.4, 34, 18
27.5, 34, 18
27.6, 34, 18
27.7, 34, 19
27.8, 34, 19
27.9, 34, 19
28, 34, 19
28.1, 34, 19
28.2, 34, 19
28.3, 34, 19
28.4, 34, 19
28.5, 34, 19
28.6, 34, 19
28.7, 34, 19
28.8, 34, 19
28.9, 34, 19
29, 34, 19
29.1, 34, 19
29.2, 34, 19
29.3, 34, 19
29.4, 34, 19
29.5, 34, 19
29.6, 34, 19
29.7, 33, 19
29.8, 33, 19
29.9, 32, 19
30, 32, 19
30.1, 32, 20
30.2, 32, 20
30.3, 32, 20
30.4, 32, 20
30.5, 32, 20
30.6, 32, 20
30.7, 32, 20
30.8, 32, 20
30.9, 32, 20
31, 32, 20
31.1, 32, 20
31.2, 32, 20
31.3, 32, 20
31.4, 32, 20
31.5, 32, 20
31.6, 32, 20
31.7, 32, 20
31.8, 32, 20
31.9, 32, 20
32, 32, 20
32.1, 32, 20
32.2, 32, 20
32.3, 32, 20
32.4, 32, 20
32.5, 32, 20
32.6, 32, 20
32.7, 32, 20
32.8, 32, 20
32.9, 32, 20
33, 32, 20
33.1, 32, 20
33.2, 32, 20
33.3, 32, 20
