Time,Susceptible,Infected,Recovered
0,99,1,0
0.1,99,1,0
0.2,98,2,0
0.3,96,4,0
0.4,95,5,0
0.5,95,5,0
0.6,93,7,0
0.7,92,8,0
0.8,92,8,0
0.9,92,8,0
1,92,8,0
1.1,92,8,0
1.2,91,9,0
1.3,89,11,0
1.4,89,11,0
1.5,87,13,0
1.6,86,14,0
1.7,85,15,0
1.8,85,15,0
1.9,84,16,0
2,82,18,0
2.1,81,19,0
2.2,81,19,0
2.3,80,20,0
2.4,79,21,0
2.5,79,21,0
2.6,79,21,0
2.7,78,21,1
2.8,78,21,1
2.9,78,21,1
3,77,22,1
3.1,76,23,1
3.2,76,23,1
3.3,75,24,1
3.4,74,25,1
3.5,74,25,1
3.6,73,26,1
3.7,73,26,1
3.8,72,27,1
3.9,71,28,1
4,71,28,1
4.1,71,28,1
4.2,70,29,1
4.3,69,30,1
4.4,68,31,1
4.5,66,33,1
4.6,66,33,1
4.7,65,34,1
4.8,65,34,1
4.9,63,36,1
5,62,37,1
5.1,62,37,1
5.2,62,37,1
5.3,62,37,1
5.4,62,37,1
5.5,62,37,1
5.6,61,38,1
5.7,61,38,1
5.8,60,39,1
5.9,60,39,1
6,59,40,1
6.1,58,41,1
6.2,58,41,1
6.3,58,41,1
6.4,58,41,1
6.5,58,41,1
6.6,57,42,1
6.7,57,42,1
6.8,57,42,1
6.9,56,43,1
7,56,43,1
7.1,56,43,1
7.2,55,44,1
7.3,55,44,1
7.4,55,44,1
7.5,55,44,1
7.6,55,44,1
7.7,53,46,1
7.8,53,46,1
7.9,53,46,1
8,53,46,1
8.1,53,46,1
8.2,52,47,1
8.3,52,47,1
8.4,52,47,1
8.5,52,47,1
8.6,52,47,1
8.7,48,51,1
8.8,47,52,1
8.9,47,52,1
9,47,52,1
9.1,47,52,1
9.2,46,53,1
9.3,46,53,1
9.4,46,53,1
9.5,46,53,1
9.6,45,54,1
9.7,45,54,1
9.8,44,55,1
9.9,44,55,1
10,43,56,1
10.1,41,58,1
10.2,41,58,1
10.3,41,58,1
10.4,39,60,1
10.5,39,60,1
10.6,38,61,1
10.7,38,61,1
10.8,38,61,1
10.9,38,61,1
11,37,62,1
11.1,35,64,1
11.2,35,64,1
11.3,35,64,1
11.4,35,64,1
11.5,34,65,1
11.6,33,66,1
11.7,33,66,1
11.8,33,66,1
11.9,33,66,1
12,32,67,1
12.1,32,67,1
12.2,32,67,1
12.3,32,67,1
12.4,32,67,1
12.5,30,69,1
12.6,30,69,1
12.7,30,69,1
12.8,30,69,1
12.9,30,69,1
13,30,69,1
13.1,30,69,1
13.2,30,69,1
13.3,29,70,1
13.4,28,71,1
13.5,28,71,1
13.6,26,73,1
13.7,25,74,1
13.8,25,74,1
13.9,25,74,1
14,25,74,1
14.1,25,74,1
14.2,25,74,1
14.3,25,74,1
14.4,23,76,1
14.5,23,76,1
14.6,22,77,1
14.7,22,77,1
14.8,22,77,1
14.9,22,77,1
15,22,77,1
15.1,22,77,1
15.2,21,78,1
15.3,21,78,1
15.4,20,79,1
15.5,20,79,1
15.6,20,79,1
15.7,19,80,1
15.8,19,80,1
15.9,19,80,1
16,19,80,1
16.1,19,80,1
16.2,19,80,1
16.3,19,80,1
16.4,19,80,1
16.5,19,80,1
16.6,19,80,1
16.7,19,80,1
16.8,19,80,1
16.9,19,80,1
17,19,80,1
17.1,19,80,1
17.2,19,80,1
17.3,19,80,1
17.4,19,80,1
17.5,18,81,1
17.6,18,81,1
17.7,18,81,1
17.8,18,81,1
17.9,18,81,1
18,17,82,1
18.1,17,82,1
18.2,17,82,1
18.3,17,82,1
18.4,17,82,1
18.5,17,82,1
18.6,17,82,1
18.7,17,82,1
18.8,17,82,1
18.9,17,82,1
19,17,82,1
19.1,16,83,1
19.2,16,83,1
19.3,16,83,1
19.4,16,83,1
19.5,16,83,1
19.6,16,83,1
19.7,16,83,1
19.8,16,83,1
19.9,16,83,1
20,16,83,1
20.1,16,83,1
20.2,15,84,1
20.3,15,84,1
20.4,15,84,1
20.5,15,84,1
20.6,15,84,1
20.7,15,84,1
20.8,15,84,1
20.9,15,84,1
21,15,84,1
21.1,15,84,1
21.2,15,84,1
21.3,15,84,1
21.4,15,84,1
21.5,15,84,1
21.6,15,84,1
21.7,14,85,1
21.8,14,85,1
21.9,14,85,1
22,14,85,1
22.1,14,85,1
22.2,13,86,1
22.3,13,86,1
22.4,13,86,1
22.5,13,86,1
22.6,13,86,1
22.7,13,86,1
22.8,13,86,1
22.9,13,86,1
23,13,86,1
23.1,13,86,1
23.2,13,86,1
23.3,13,86,1
23.4,12,87,1
23.5,12,87,1
23.6,11,88,1
23.7,10,89,1
23.8,9,90,1
23.9,9,90,1
24,9,90,1
24.1,9,90,1
24.2,9,90,1
24.3,9,90,1
24.4,8,91,1
24.5,8,91,1
