Time, position_x, position_y
0, 23, 44
0.1, 23, 44
0.2, 23, 44
0.3, 23, 44
0.4, 23, 44
0.5, 23, 44
0.6, 23, 44
0.7, 23, 44
0.8, 23, 44
0.9, 23, 44
1, 23, 44
1.1, 23, 44
1.2, 23, 44
1.3, 23, 44
1.4, 23, 44
1.5, 23, 44
1.6, 23, 44
1.7, 23, 44
1.8, 23, 44
1.9, 23, 44
2, 23, 44
2.1, 23, 44
2.2, 23, 44
2.3, 23, 44
2.4, 23, 44
2.5, 23, 44
2.6, 23, 44
2.7, 23, 44
2.8, 23, 44
2.9, 23, 44
3, 23, 44
3.1, 23, 44
3.2, 23, 44
3.3, 23, 44
3.4, 23, 44
3.5, 23, 44
3.6, 23, 44
3.7, 23, 44
3.8, 23, 44
3.9, 23, 44
4, 23, 44
4.1, 23, 44
4.2, 23, 44
4.3, 23, 44
4.4, 23, 44
4.5, 24, 44
4.6, 24, 44
4.7, 24, 44
4.8, 24, 44
4.9, 24, 44
5, 24, 44
5.1, 24, 44
5.2, 24, 44
5.3, 24, 44
5.4, 24, 44
5.5, 24, 45
5.6, 24, 45
5.7, 24, 45
5.8, 24, 45
5.9, 24, 45
6, 24, 45
6.1, 24, 45
6.2, 24, 45
6.3, 24, 45
6.4, 24, 45
6.5, 24, 45
6.6, 24, 45
6.7, 24, 45
6.8, 24, 45
6.9, 24, 44
7, 24, 44
7.1, 24, 44
7.2, 24, 44
7.3, 24, 44
7.4, 24, 44
7.5, 24, 44
7.6, 24, 44
7.7, 24, 44
7.8, 24, 44
7.9, 24, 44
8, 24, 44
8.1, 24, 44
8.2, 24, 44
8.3, 24, 44
8.4, 24, 44
8.5, 24, 44
8.6, 24, 44
8.7, 24, 44
8.8, 24, 44
8.9, 24, 44
9, 24, 44
9.1, 24, 44
9.2, 24, 44
9.3, 23, 44
9.4, 23, 44
9.5, 23, 44
9.6, 23, 44
9.7, 23, 44
9.8, 23, 44
9.9, 23, 44
10, 23, 44
10.1, 23, 44
10.2, 23, 44
10.3, 23, 44
10.4, 23, 44
10.5, 23, 44
10.6, 23, 44
10.7, 23, 44
10.8, 23, 44
10.9, 23, 44
11, 23, 44
11.1, 23, 44
11.2, 23, 44
11.3, 23, 44
11.4, 23, 44
11.5, 23, 44
11.6, 23, 44
11.7, 23, 44
11.8, 23, 44
11.9, 23, 44
12, 23, 44
12.1, 23, 44
12.2, 23, 44
12.3, 23, 44
12.4, 23, 44
12.5, 23, 44
12.6, 23, 44
12.7, 23, 44
12.8, 23, 44
12.9, 23, 44
13, 23, 44
13.1, 23, 44
13.2, 23, 44
13.3, 23, 44
13.4, 23, 44
13.5, 23, 44
13.6, 23, 44
13.7, 23, 44
13.8, 23, 44
13.9, 23, 44
14, 23, 44
14.1, 23, 44
14.2, 23, 44
14.3, 23, 44
14.4, 23, 44
14.5, 23, 44
14.6, 23, 44
14.7, 23, 44
14.8, 23, 44
14.9, 23, 44
15, 23, 44
15.1, 23, 44
15.2, 23, 44
15.3, 23, 44
15.4, 23, 44
15.5, 23, 44
15.6, 23, 44
15.7, 23, 44
15.8, 23, 44
15.9, 23, 44
16, 23, 44
16.1, 23, 44
16.2, 23, 44
16.3, 23, 44
16.4, 23, 44
16.5, 23, 44
16.6, 23, 44
16.7, 24, 44
16.8, 24, 44
16.9, 24, 44
17, 24, 44
17.1, 24, 44
17.2, 24, 44
17.3, 24, 44
17.4, 24, 44
17.5, 24, 44
17.6, 24, 44
17.7, 24, 44
17.8, 24, 44
17.9, 24, 44
18, 24, 44
18.1, 23, 44
18.2, 23, 44
18.3, 23, 44
18.4, 23, 44
18.5, 23, 44
18.6, 23, 44
18.7, 23, 44
18.8, 23, 44
18.9, 23, 44
19, 23, 44
19.1, 23, 44
19.2, 23, 44
19.3, 23, 44
19.4, 23, 44
19.5, 23, 44
19.6, 23, 44
19.7, 23, 44
19.8, 23, 44
19.9, 23, 44
20, 23, 44
20.1, 23, 44
20.2, 23, 44
20.3, 23, 44
20.4, 23, 44
20.5, 23, 44
20.6, 23, 44
20.7, 23, 44
20.8, 23, 44
20.9, 23, 44
21, 23, 44
21.1, 23, 44
21.2, 23, 44
21.3, 23, 44
21.4, 23, 44
21.5, 24, 44
21.6, 24, 44
21.7, 24, 44
21.8, 24, 44
21.9, 24, 44
22, 24, 44
22.1, 24, 44
22.2, 24, 44
22.3, 24, 44
22.4, 24, 44
22.5, 24, 44
22.6, 24, 44
22.7, 24, 44
22.8, 24, 44
22.9, 24, 44
23, 24, 44
23.1, 24, 44
23.2, 24, 44
23.3, 24, 44
23.4, 24, 44
23.5, 24, 44
23.6, 24, 44
23.7, 24, 44
23.8, 24, 44
23.9, 24, 44
24, 24, 44
24.1, 24, 45
24.2, 24, 45
24.3, 24, 45
24.4, 24, 45
24.5, 24, 45
