Time,Susceptible,Infected,Recovered
0,99,1,0
0.219088,98,2,0
0.234905,97,3,0
0.284469,96,4,0
0.296805,96,3,1
0.557346,95,4,1
0.562266,94,5,1
0.634104,93,6,1
0.644446,93,5,2
0.662832,92,6,2
0.676055,91,7,2
0.683606,90,8,2
0.691091,89,9,2
0.725537,88,10,2
0.729273,87,11,2
0.729618,86,12,2
0.733568,86,11,3
0.749593,85,12,3
0.772671,84,13,3
0.787403,83,14,3
0.808978,83,13,4
0.840343,83,12,5
0.867977,82,13,5
0.933615,81,14,5
1.00887,80,15,5
1.03937,80,14,6
1.05704,79,15,6
1.14355,78,16,6
1.15541,77,17,6
1.15545,77,16,7
1.19255,77,15,8
1.19298,76,16,8
1.22057,76,15,9
1.23811,76,14,10
1.24717,75,15,10
1.25185,74,16,10
1.27061,73,17,10
1.27541,72,18,10
1.28228,72,17,11
1.29248,71,18,11
1.31282,70,19,11
1.33106,69,20,11
1.38286,68,21,11
1.41751,67,22,11
1.42376,66,23,11
1.44351,65,24,11
1.4462,64,25,11
1.44963,63,26,11
1.46769,63,25,12
1.47372,62,26,12
1.47642,61,27,12
1.49611,60,28,12
1.50904,59,29,12
1.55388,59,28,13
1.55929,58,29,13
1.63973,57,30,13
1.65038,57,29,14
1.66535,56,30,14
1.67261,55,31,14
1.68313,55,30,15
1.69112,55,29,16
1.70312,55,28,17
1.71094,54,29,17
1.72131,53,30,17
1.73589,52,31,17
1.75543,51,32,17
1.76726,51,31,18
1.7744,51,30,19
1.77679,50,31,19
1.77914,49,32,19
1.78458,48,33,19
1.81579,47,34,19
1.82544,46,35,19
1.82781,46,34,20
1.82904,45,35,20
1.83653,44,36,20
1.83676,44,35,21
1.84713,44,34,22
1.84822,43,35,22
1.85741,43,34,23
1.8654,43,33,24
1.86724,43,32,25
1.87351,43,31,26
1.8931,43,30,27
1.8936,42,31,27
1.9066,41,32,27
1.90813,41,31,28
1.91123,41,30,29
1.9228,40,31,29
1.96007,39,32,29
1.97528,39,31,30
2.02223,38,32,30
2.03452,37,33,30
2.05513,36,34,30
2.05528,36,33,31
2.09693,36,32,32
2.09829,35,33,32
2.10849,34,34,32
2.11434,33,35,32
2.12298,33,34,33
2.13083,33,33,34
2.13985,33,32,35
2.15848,33,31,36
2.19284,33,30,37
2.19292,32,31,37
2.21495,32,30,38
2.21879,31,31,38
2.2401,30,32,38
2.2646,29,33,38
2.27229,28,34,38
2.27774,27,35,38
2.34469,26,36,38
2.37849,25,37,38
2.41571,25,36,39
2.42205,25,35,40
2.47107,24,36,40
2.48692,24,35,41
2.49031,23,36,41
2.50277,23,35,42
2.52904,23,34,43
2.53267,22,35,43
2.53512,21,36,43
2.54233,20,37,43
2.54834,20,36,44
2.55095,20,35,45
2.56092,20,34,46
2.58539,20,33,47
2.59381,20,32,48
2.59446,20,31,49
2.60088,20,30,50
2.62351,20,29,51
2.7403,20,28,52
2.76972,20,27,53
2.78457,19,28,53
2.81489,19,27,54
2.82758,19,26,55
2.8413,18,27,55
2.84282,18,26,56
2.85497,18,25,57
2.8714,18,24,58
2.91406,18,23,59
2.98953,18,22,60
2.99179,18,21,61
2.99994,18,20,62
3.05795,17,21,62
3.07382,17,20,63
3.07744,17,19,64
3.09243,16,20,64
3.12434,16,19,65
3.19863,16,18,66
3.29105,16,17,67
3.31407,16,16,68
3.38776,16,15,69
3.41759,15,16,69
3.42445,15,15,70
3.47543,15,14,71
3.50465,15,13,72
3.69763,14,14,72
3.7213,14,13,73
3.75356,13,14,73
3.76573,13,13,74
3.9187,12,14,74
3.94426,11,15,74
3.95215,11,14,75
3.95662,11,13,76
4.03973,11,12,77
4.05449,11,11,78
4.07142,11,10,79
4.07198,11,9,80
4.13542,10,10,80
4.21374,10,9,81
4.2242,10,8,82
4.39114,10,7,83
4.58157,10,6,84
4.78478,9,7,84
4.79082,9,6,85
4.90194,8,7,85
5.14711,8,6,86
5.16734,7,7,86
5.26001,7,6,87
5.36165,7,5,88
5.82878,7,4,89
5.94221,6,5,89
5.96598,6,4,90
6.26868,6,3,91
6.77699,6,2,92
7.58551,6,1,93
8.00049,6,0,94
