Time,Susceptible,Infected,Recovered
0,99,1,0
0.026472,98,2,0
0.0796708,97,3,0
0.176487,96,4,0
0.186284,95,5,0
0.187661,94,6,0
0.225273,93,7,0
0.26603,92,8,0
0.271414,91,9,0
0.276373,90,10,0
0.278701,89,11,0
0.281012,88,12,0
0.286343,88,11,1
0.326294,87,12,1
0.326673,86,13,1
0.330867,85,14,1
0.336443,84,15,1
0.35162,83,16,1
0.353557,82,17,1
0.354168,81,18,1
0.366654,80,19,1
0.402857,79,20,1
0.411859,78,21,1
0.412246,77,22,1
0.412869,76,23,1
0.413891,75,24,1
0.415242,74,25,1
0.418109,73,26,1
0.419539,72,27,1
0.420596,71,28,1
0.421091,70,29,1
0.436476,69,30,1
0.437422,68,31,1
0.443939,68,30,2
0.446839,67,31,2
0.448203,66,32,2
0.453009,65,33,2
0.468363,64,34,2
0.46879,63,35,2
0.479715,63,34,3
0.481302,62,35,3
0.482658,61,36,3
0.493646,61,35,4
0.494939,61,34,5
0.500683,60,35,5
0.500905,59,36,5
0.515232,58,37,5
0.519134,57,38,5
0.519914,56,39,5
0.520232,55,40,5
0.522819,55,39,6
0.525503,54,40,6
0.527306,53,41,6
0.532042,53,40,7
0.558022,52,41,7
0.561366,51,42,7
0.564521,50,43,7
0.572895,50,42,8
0.5767,49,43,8
0.581351,49,42,9
0.583273,48,43,9
0.588207,48,42,10
0.601292,47,43,10
0.606136,46,44,10
0.624787,45,45,10
0.641428,45,44,11
0.642625,45,43,12
0.6574,44,44,12
0.661002,44,43,13
0.666112,43,44,13
0.66731,43,43,14
0.674898,42,44,14
0.681258,41,45,14
0.6935,40,46,14
0.697306,39,47,14
0.709699,38,48,14
0.712678,37,49,14
0.730642,37,48,15
0.737487,36,49,15
0.750049,35,50,15
0.759901,34,51,15
0.765209,33,52,15
0.768361,32,53,15
0.804021,32,52,16
0.814028,31,53,16
0.8176,31,52,17
0.81874,30,53,17
0.835722,29,54,17
0.841207,28,55,17
0.843055,28,54,18
0.852734,27,55,18
0.860554,27,54,19
0.867772,27,53,20
0.870167,27,52,21
0.872507,26,53,21
0.898213,25,54,21
0.902778,24,55,21
0.914594,23,56,21
0.917639,23,55,22
0.920393,22,56,22
0.922728,21,57,22
0.923791,20,58,22
0.927774,19,59,22
0.942286,18,60,22
0.945779,18,59,23
0.947039,18,58,24
0.948284,17,59,24
0.965907,16,60,24
0.970268,15,61,24
0.980143,14,62,24
0.992918,14,61,25
0.997002,13,62,25
1.01384,13,61,26
1.01744,12,62,26
1.0328,12,61,27
1.03843,12,60,28
1.06433,12,59,29
1.07614,11,60,29
1.08046,11,59,30
1.08436,11,58,31
1.08537,11,57,32
1.08799,10,58,32
1.10462,9,59,32
1.11067,8,60,32
1.11279,7,61,32
1.12118,7,60,33
1.17048,7,59,34
1.18719,7,58,35
1.19869,6,59,35
1.20117,6,58,36
1.20861,5,59,36
1.21355,4,60,36
1.21682,4,59,37
1.21952,4,58,38
1.22946,4,57,39
1.23276,4,56,40
1.24294,4,55,41
1.25208,4,54,42
1.25866,4,53,43
1.2588,4,52,44
1.26457,4,51,45
1.27542,4,50,46
1.27581,4,49,47
1.28767,4,48,48
1.31137,3,49,48
1.33729,3,48,49
1.37569,3,47,50
1.41188,3,46,51
1.42087,3,45,52
1.44765,3,44,53
1.47003,3,43,54
1.53166,2,44,54
1.53804,2,43,55
1.56684,2,42,56
1.57677,1,43,56
1.57795,1,42,57
1.57966,1,41,58
1.58742,1,40,59
1.66581,1,39,60
1.68923,1,38,61
1.71051,1,37,62
1.76421,1,36,63
1.80901,0,37,63
1.89207,0,36,64
1.91641,0,35,65
1.92071,0,34,66
1.98133,0,33,67
1.98763,0,32,68
2.0211,0,31,69
2.02437,0,30,70
2.0672,0,29,71
2.17133,0,28,72
2.17587,0,27,73
2.17681,0,26,74
2.17698,0,25,75
2.22363,0,24,76
2.28858,0,23,77
2.29116,0,22,78
2.33377,0,21,79
2.40568,0,20,80
2.41388,0,19,81
2.41448,0,18,82
2.4458,0,17,83
2.47818,0,16,84
2.49413,0,15,85
2.51413,0,14,86
2.55044,0,13,87
2.6865,0,12,88
2.72248,0,11,89
2.82456,0,10,90
2.86088,0,9,91
2.8843,0,8,92
2.90713,0,7,93
3.12843,0,6,94
3.23535,0,5,95
3.23723,0,4,96
3.3153,0,3,97
3.76679,0,2,98
4.09141,0,1,99
4.51078,0,0,100
