time,detectable crops mean
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.5
34.0,0.5
35.0,0.5
36.0,0.5
37.0,0.5
38.0,0.5
39.0,0.5
40.0,0.5
41.0,0.5
42.0,0.5
43.0,0.5
44.0,0.5
45.0,0.5
46.0,0.5
47.0,0.5
48.0,0.5
49.0,0.5
50.0,0.5
51.0,0.5
52.0,0.5
53.0,0.5
54.0,0.5
55.0,0.5
56.0,0.5
57.0,0.5
58.0,0.5
59.0,0.5
60.0,0.5
61.0,0.5
62.0,0.5
63.0,0.5
64.0,0.5
65.0,0.5
66.0,0.5
67.0,0.5
68.0,0.5
69.0,0.5
70.0,0.5
71.0,0.5
72.0,0.5
73.0,0.5
74.0,0.5
75.0,0.5
76.0,0.5
77.0,0.5
78.0,0.5
79.0,0.5
80.0,0.5
81.0,0.5
82.0,0.5
83.0,0.5
84.0,0.5
85.0,0.5
86.0,0.5
87.0,0.5
88.0,0.5
89.0,0.5
90.0,0.5
91.0,0.5
92.0,0.5
93.0,0.5
94.0,0.5
95.0,0.5
96.0,1.0
97.0,1.0
98.0,1.0
99.0,1.0
100.0,1.0
101.0,1.0
102.0,1.0
103.0,1.0
104.0,1.0
105.0,1.0
106.0,1.0
107.0,1.0
108.0,1.0
109.0,1.0
110.0,1.5
111.0,1.5
112.0,1.5
113.0,1.5
114.0,1.5
115.0,1.5
116.0,1.5
117.0,1.5
118.0,1.5
119.0,1.5
120.0,1.5
121.0,1.5
122.0,1.5
123.0,1.5
124.0,1.5
125.0,1.5
126.0,1.5
127.0,1.5
128.0,1.5
129.0,1.5
130.0,1.5
131.0,1.5
132.0,1.5
133.0,1.5
134.0,1.5
135.0,1.5
136.0,1.5
137.0,1.5
138.0,1.5
139.0,1.5
140.0,1.5
141.0,1.5
142.0,1.5
143.0,1.5
144.0,1.5
145.0,1.5
146.0,1.5
147.0,1.5
148.0,1.5
149.0,1.5
150.0,1.5
151.0,1.5
152.0,1.5
153.0,1.5
154.0,1.5
155.0,1.5
156.0,1.5
157.0,1.5
158.0,1.5
159.0,1.5
160.0,1.5
161.0,1.5
162.0,1.5
163.0,1.5
164.0,1.5
165.0,1.5
166.0,1.5
167.0,1.5
168.0,1.5
169.0,1.5
170.0,1.5
171.0,1.5
172.0,1.5
173.0,1.5
174.0,1.5
175.0,1.5
176.0,1.5
177.0,1.5
178.0,1.5
179.0,1.5
180.0,1.5
181.0,1.5
182.0,1.5
183.0,1.5
184.0,1.5
185.0,1.5
186.0,1.5
187.0,1.5
188.0,1.5
189.0,1.5
190.0,1.5
191.0,2.0
192.0,2.5
193.0,2.5
194.0,2.5
195.0,2.5
196.0,2.5
197.0,2.5
198.0,2.5
199.0,2.5
200.0,2.5
201.0,2.5
202.0,2.5
203.0,2.5
204.0,2.5
205.0,2.5
206.0,2.5
207.0,2.5
208.0,2.5
209.0,2.5
210.0,2.5
211.0,2.5
212.0,2.5
213.0,2.5
214.0,2.5
215.0,2.5
216.0,3.0
217.0,3.0
218.0,3.0
219.0,3.0
220.0,3.0
221.0,3.0
222.0,3.0
223.0,3.0
224.0,3.0
225.0,3.0
226.0,3.0
227.0,3.0
228.0,3.5
229.0,3.5
230.0,3.5
231.0,4.0
232.0,4.0
233.0,4.0
