0,0|0.1,0|0.2,0|0.3,0|0.4,0|0.5,0|0.6,0|0.7,0|0.8,0|0.9,0|1,0|
0.05,0.0866025|0.15,0.0866025|0.25,0.0866025|0.35,0.0866025|0.45,0.0866025|0.55,0.0866025|0.65,0.0866025|0.75,0.0866025|0.85,0.0866025|0.95,0.0866025|
0.1,0.173205|0.2,0.173205|0.3,0.173205|0.4,0.173205|0.5,0.173205|0.6,0.173205|0.7,0.173205|0.8,0.173205|0.9,0.173205|1,0.173205|
0.05,0.259808|0.15,0.259808|0.25,0.259808|0.35,0.259808|0.45,0.259808|0.55,0.259808|0.65,0.259808|0.75,0.259808|0.85,0.259808|0.95,0.259808|
0.1,0.34641|0.2,0.34641|0.3,0.34641|0.4,0.34641|0.5,0.34641|0.6,0.34641|0.7,0.34641|0.8,0.34641|0.9,0.34641|1,0.34641|
0.05,0.433013|0.15,0.433013|0.25,0.433013|0.35,0.433013|0.45,0.433013|0.55,0.433013|0.65,0.433013|0.75,0.433013|0.85,0.433013|0.95,0.433013|
0.1,0.519615|0.2,0.519615|0.3,0.519615|0.4,0.519615|0.5,0.519615|0.6,0.519615|0.7,0.519615|0.8,0.519615|0.9,0.519615|1,0.519615|
0.05,0.606218|0.15,0.606218|0.25,0.606218|0.35,0.606218|0.45,0.606218|0.55,0.606218|0.65,0.606218|0.75,0.606218|0.85,0.606218|0.95,0.606218|
0.1,0.69282|0.2,0.69282|0.3,0.69282|0.4,0.69282|0.5,0.69282|0.6,0.69282|0.7,0.69282|0.8,0.69282|0.9,0.69282|1,0.69282|
0.05,0.779423|0.15,0.779423|0.25,0.779423|0.35,0.779423|0.45,0.779423|0.55,0.779423|0.65,0.779423|0.75,0.779423|0.85,0.779423|0.95,0.779423|
0.1,0.866025|0.2,0.866025|0.3,0.866025|0.4,0.866025|

